,hpso01 (Ingest) [Na=64] [Bmax=32500.0],hpso01 (RCAL) [Na=64] [Bmax=32500.0],hpso01 (FastImg) [Na=64] [Bmax=32500.0],hpso01 (ICAL) [Na=64] [Bmax=32500.0],hpso01 (DPrepA) [Na=64] [Bmax=32500.0],hpso01 (DPrepB) [Na=64] [Bmax=32500.0],hpso01 (DPrepC) [Na=64] [Bmax=32500.0],hpso01 (DPrepD) [Na=64] [Bmax=32500.0],hpso02a (Ingest) [Na=64] [Bmax=32500.0],hpso02a (RCAL) [Na=64] [Bmax=32500.0],hpso02a (FastImg) [Na=64] [Bmax=32500.0],hpso02a (ICAL) [Na=64] [Bmax=32500.0],hpso02a (DPrepA) [Na=64] [Bmax=32500.0],hpso02a (DPrepB) [Na=64] [Bmax=32500.0],hpso02a (DPrepC) [Na=64] [Bmax=32500.0],hpso02a (DPrepD) [Na=64] [Bmax=32500.0],hpso02b (Ingest) [Na=64] [Bmax=32500.0],hpso02b (RCAL) [Na=64] [Bmax=32500.0],hpso02b (FastImg) [Na=64] [Bmax=32500.0],hpso02b (ICAL) [Na=64] [Bmax=32500.0],hpso02b (DPrepA) [Na=64] [Bmax=32500.0],hpso02b (DPrepB) [Na=64] [Bmax=32500.0],hpso02b (DPrepC) [Na=64] [Bmax=32500.0],hpso02b (DPrepD) [Na=64] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=64] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=64] [Bmax=32500.0]
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time pred2 [s],,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,7.065105722721194,7.065105722721194,7.065105722721194,3.6,
Coalesce time pred3 [s],,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,5.639535483366697,1.0,,,5.639535483366697,1.0,,,5.6520845781769555,1.0,5.6520845781769555,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.8,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time bw2 [s],,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,10.0,10.0,7.067678920932487,3.6,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,7.065105722721194,7.065105722721194,7.065105722721194,3.6,
Coalesce time bw3 [s],,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,7.067678920932487,1.0,7.067678920932487,8.481214705118983,2.8270715683729946,1.8,,,5.639535483366697,1.0,,,5.639535483366697,1.0,,,5.6520845781769555,1.0,5.6520845781769555,2.8260422890884778,2.8260422890884778,2.8260422890884778,1.8,
Combined samples full0,21.0,8.0,1.1111111111111112,8.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,12.0,21.0,21.0,17.0,17.0,21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,(undefined),21.0,8.0,1.1111111111111112,8.0,21.0,21.0,21.0,17.0,17.0
Combined samples full1,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,6.0,10.0,10.0,8.0,8.0,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,,10.0,4.0,1.1111111111111112,4.0,10.0,10.0,10.0,8.0,8.0
Combined samples full2,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,3.0,5.0,5.0,4.0,4.0,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,,5.0,2.0,1.1111111111111112,2.0,5.0,5.0,5.0,4.0,4.0
Combined samples full3,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,,2.0,1.0,1.1111111111111112,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),40.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),40.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),40.0,1.1111111111111112,40.0,54.0,21.0,17.0,(undefined),(undefined),33.0,1.1111111111111112,(undefined),(undefined),33.0,1.1111111111111112,(undefined),(undefined),33.0,1.1111111111111112,33.0,21.0,21.0,21.0,17.0,(undefined)
Combined samples facet1,,20.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,20.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,20.0,1.1111111111111112,20.0,27.0,10.0,8.0,,,16.0,1.1111111111111112,,,16.0,1.1111111111111112,,,16.0,1.1111111111111112,16.0,10.0,10.0,10.0,8.0,
Combined samples facet2,,10.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,10.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,10.0,1.1111111111111112,10.0,13.0,5.0,4.0,,,8.0,1.1111111111111112,,,8.0,1.1111111111111112,,,8.0,1.1111111111111112,8.0,5.0,5.0,5.0,4.0,
Combined samples facet3,,5.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,5.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,5.0,1.1111111111111112,5.0,6.0,2.0,2.0,,,4.0,1.1111111111111112,,,4.0,1.1111111111111112,,,4.0,1.1111111111111112,4.0,2.0,2.0,2.0,2.0,
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.787254045750926,32.567468020591605,1.7872540457420965,2.5270538064380794,2.5082617473581896,2.1707234509359608,38.9611007998764,(undefined)
Visibilities kernel pred1,,2.9433878747533653,64.99502025817469,2.9433878747501097,2.3188186987810537,4.046309118246127,5.763657445703939,,,2.9433878747533653,64.99502025817469,2.943387874748954,2.3188186987810537,4.046309118246127,5.763657445703939,,,2.9433878747533653,64.99502025817469,2.943387874748954,2.3188186987810537,4.046309118246127,5.763657445703939,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,3.5713843773356078,65.03229589341818,3.571384377317964,5.051242938078793,5.013680122646284,4.33898616409653,36.767957034360116,
Visibilities kernel pred2,,5.8836847625756015,128.46894958994176,5.883684762569093,4.6343518260201755,11.446929164743805,23.05126274776612,,,5.8836847625756015,128.46894958994176,5.883684762566784,4.6343518260201755,11.446929164743805,23.05126274776612,,,5.8836847625756015,128.46894958994176,5.883684762566784,4.6343518260201755,11.446929164743805,23.05126274776612,,,7.0445665926183825,130.1123243148036,,,7.0445665926183825,130.1123243148036,,,7.139643675024201,128.72715467010218,7.139643674988929,14.295073259554238,14.188770077342406,12.279378728821023,68.16238788485485,
Visibilities kernel pred3,,16.64517850643689,236.03076050479265,16.64517850641848,10.924634310520524,57.22652234486187,92.19831642925756,,,16.64517850643689,236.03076050479265,16.645178506411945,10.924634310520524,57.22652234486187,92.19831642925756,,,16.64517850643689,236.03076050479265,16.645178506411945,10.924634310520524,57.22652234486187,92.19831642925756,,,24.977333561533577,254.6009197916123,,,24.977333561533577,254.6009197916123,,,25.258223561860817,238.79478730842976,25.258223561736035,71.46522528419685,70.93378478527404,61.38818257672459,136.3247757697097,
Visibilities kernel bw0,(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.5397922189429074,32.55476508226232,1.5397922189429074,1.2296755237398123,2.0243023535196727,2.623489762382756,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.9942492890919892,32.64426593397331,(undefined),(undefined),1.787254045750926,32.567468020591605,1.7872540457420965,2.5270538064380794,2.5082617473581896,2.1707234509359608,38.9611007998764,(undefined)
Visibilities kernel bw1,,2.9433878747533653,64.99502025817469,2.9433878747501097,2.3188186987810537,4.046309118246127,5.763657445703939,,,2.9433878747533653,64.99502025817469,2.943387874748954,2.3188186987810537,4.046309118246127,5.763657445703939,,,2.9433878747533653,64.99502025817469,2.943387874748954,2.3188186987810537,4.046309118246127,5.763657445703939,,,3.634010980443172,65.24680525561551,,,3.634010980443172,65.24680525561551,,,3.5713843773356078,65.03229589341818,3.571384377317964,5.051242938078793,5.013680122646284,4.33898616409653,36.767957034360116,
Visibilities kernel bw2,,5.8836847625756015,128.46894958994176,5.883684762569093,4.6343518260201755,11.446929164743805,23.05126274776612,,,5.8836847625756015,128.46894958994176,5.883684762566784,4.6343518260201755,11.446929164743805,23.05126274776612,,,5.8836847625756015,128.46894958994176,5.883684762566784,4.6343518260201755,11.446929164743805,23.05126274776612,,,7.0445665926183825,130.1123243148036,,,7.0445665926183825,130.1123243148036,,,7.139643675024201,128.72715467010218,7.139643674988929,14.295073259554238,14.188770077342406,12.279378728821023,68.16238788485485,
Visibilities kernel bw3,,16.64517850643689,236.03076050479265,16.64517850641848,10.924634310520524,57.22652234486187,92.19831642925756,,,16.64517850643689,236.03076050479265,16.645178506411945,10.924634310520524,57.22652234486187,92.19831642925756,,,16.64517850643689,236.03076050479265,16.645178506411945,10.924634310520524,57.22652234486187,92.19831642925756,,,24.977333561533577,254.6009197916123,,,24.977333561533577,254.6009197916123,,,25.258223561860817,238.79478730842976,25.258223561736035,71.46522528419685,70.93378478527404,61.38818257672459,136.3247757697097,
Oversampling used pred0,(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.7762494405173115,25.678964643980194,1.776249440508657,2.4969886940474737,2.4787845499429153,2.1508871244714456,29.349583003602447,(undefined)
Oversampling used pred1,,2.89891887268805,41.00404563732292,2.8989188726849164,2.294967059287565,3.9510319842443806,5.553316327085369,,,2.89891887268805,41.00404563732292,2.898918872683808,2.294967059287565,3.9510319842443806,5.553316327085369,,,2.89891887268805,41.00404563732292,2.898918872683808,2.294967059287565,3.9510319842443806,5.553316327085369,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,3.500224921753251,41.01754099116667,3.5002249217364394,4.893889806428966,4.8589150880485406,4.2271717642302065,28.13190538355017,
Oversampling used pred2,,5.66368983049157,55.53696204160445,5.663689830485595,4.50456086099846,10.557155449053646,19.483336976861104,,,5.66368983049157,55.53696204160445,5.66368983048347,4.50456086099846,10.557155449053646,19.483336976861104,,,5.66368983049157,55.53696204160445,5.66368983048347,4.50456086099846,10.557155449053646,19.483336976861104,,,6.720503413326696,55.753179318800974,,,6.720503413326696,55.753179318800974,,,6.806204275950854,55.57130546895441,6.806204275919086,12.901294368433732,12.815678356907668,11.253203334533303,42.1229647667909,
Oversampling used pred3,,14.757903851637543,62.44451652847898,14.757903851623261,10.115759964841153,38.011363587426516,49.01707702277129,,,14.757903851637543,62.44451652847898,14.757903851618195,10.115759964841153,38.011363587426516,49.01707702277129,,,14.757903851637543,62.44451652847898,14.757903851618195,10.115759964841153,38.011363587426516,49.01707702277129,,,20.813363016152273,62.8389358978542,,,20.813363016152273,62.8389358978542,,,21.003979610620924,62.51077249767815,21.003979610536433,43.23179513816304,43.0572501039249,39.66002475482059,56.521802021952,
Oversampling used bw0,(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.5332830662125545,25.671297738388773,1.5332830662125545,1.2274601534343148,2.00810521128556,2.5903229090141977,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.9787583472150985,25.725283657850348,(undefined),(undefined),1.7762494405173115,25.678964643980194,1.776249440508657,2.4969886940474737,2.4787845499429153,2.1508871244714456,29.349583003602447,(undefined)
Oversampling used bw1,,2.89891887268805,41.00404563732292,2.8989188726849164,2.294967059287565,3.9510319842443806,5.553316327085369,,,2.89891887268805,41.00404563732292,2.898918872683808,2.294967059287565,3.9510319842443806,5.553316327085369,,,2.89891887268805,41.00404563732292,2.898918872683808,2.294967059287565,3.9510319842443806,5.553316327085369,,,3.559864384033311,41.09504865417958,,,3.559864384033311,41.09504865417958,,,3.500224921753251,41.01754099116667,3.5002249217364394,4.893889806428966,4.8589150880485406,4.2271717642302065,28.13190538355017,
Oversampling used bw2,,5.66368983049157,55.53696204160445,5.663689830485595,4.50456086099846,10.557155449053646,19.483336976861104,,,5.66368983049157,55.53696204160445,5.66368983048347,4.50456086099846,10.557155449053646,19.483336976861104,,,5.66368983049157,55.53696204160445,5.66368983048347,4.50456086099846,10.557155449053646,19.483336976861104,,,6.720503413326696,55.753179318800974,,,6.720503413326696,55.753179318800974,,,6.806204275950854,55.57130546895441,6.806204275919086,12.901294368433732,12.815678356907668,11.253203334533303,42.1229647667909,
Oversampling used bw3,,14.757903851637543,62.44451652847898,14.757903851623261,10.115759964841153,38.011363587426516,49.01707702277129,,,14.757903851637543,62.44451652847898,14.757903851618195,10.115759964841153,38.011363587426516,49.01707702277129,,,14.757903851637543,62.44451652847898,14.757903851618195,10.115759964841153,38.011363587426516,49.01707702277129,,,20.813363016152273,62.8389358978542,,,20.813363016152273,62.8389358978542,,,21.003979610620924,62.51077249767815,21.003979610536433,43.23179513816304,43.0572501039249,39.66002475482059,56.521802021952,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels predict, no-smear2",,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels predict, no-smear3",,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
"Channels backward, no-smear0",(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1186.6956875807953,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),242.71959454507825,727.1815092638062,(undefined),(undefined),556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,659.7017142056897,2372.6984303939844,659.7017142056897,488.8474934882089,1221.0797008176821,2372.6984303939844,,,485.0159097761033,1453.9394929925988,,,485.0159097761033,1453.9394929925988,,,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear2",,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,1318.7106453111485,4744.703814848597,1318.7106453111485,977.0023310935779,2441.466451169051,4744.703814848597,,,969.6083556181683,2907.4553987723175,,,969.6083556181683,2907.4553987723175,,,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,6662.459115881312,
"Channels backward, no-smear3",,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,2636.728325593491,9488.714533153065,2636.728325593491,1953.3117608590187,4882.239853545328,9488.714533153065,,,1938.7931548514175,5814.487179478897,,,1938.7931548514175,5814.487179478897,,,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,13323.945347729323,
Frequencies predict ifft,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,200.0,200,200.0,200.0,32768.0,32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,(undefined),32768.0,200.0,40.0,200.0,200,200.0,200.0,200.0,32768.0
Frequencies predict kernels0,(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),214.44261309807425,364.52288461678205,214.44261309807425,199.05237204583554,301.77617802639844,571.7575198912311,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),121.7097560834995,222.75933872570835,(undefined),(undefined),311.2014335368844,511.6591552951528,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,841.0439984309672,(undefined)
Frequencies predict kernels1,,224.13006449616088,365.0584953999703,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,365.0584953999703,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,365.0584953999703,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,133.46572489358715,222.83688638800666,,,133.46572489358715,222.83688638800666,,,311.2014335368844,512.317136997464,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1237.7927625562772,
Frequencies predict kernels2,,224.13006449616088,369.3268941633874,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,369.3268941633874,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,369.3268941633874,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,137.63917806301498,223.45734073105942,,,137.63917806301498,223.45734073105942,,,311.2014335368844,517.5643890331957,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1335.3731441448906,
Frequencies predict kernels3,,224.13006449616088,402.0117764676013,224.1300644964088,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,402.0117764676013,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,224.13006449616088,402.0117764676013,224.13006449649674,210.81747087220927,301.77617802639844,571.7575198912311,,,137.63917806301498,228.37651899443185,,,137.63917806301498,228.37651899443185,,,311.2014335368844,557.9663399653687,311.20143353842184,339.44634647980524,341.9895004405989,395.1674183016864,1335.3731441448906,
Frequencies predict de-grid0,32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,330.1970670581991,1186.6956875807953,330.1970670581991,244.76982984711475,610.88622741501,1500.0,(undefined),32768.0,242.71959454507825,727.1815092638062,(undefined),32768.0,242.71959454507825,727.1815092638062,(undefined),32768.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
