,hpso01 (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=512] [Bmax=8125.0],hpso04a (Ingest) [Na=512] [Bmax=8125.0],hpso04a (RCAL) [Na=512] [Bmax=8125.0],hpso04a (FastImg) [Na=512] [Bmax=8125.0],hpso04a (PSS) [Na=512] [Bmax=8125.0],hpso05a (Ingest) [Na=512] [Bmax=8125.0],hpso05a (RCAL) [Na=512] [Bmax=8125.0],hpso05a (FastImg) [Na=512] [Bmax=8125.0],hpso05a (PST) [Na=512] [Bmax=8125.0],max_low (Ingest) [Na=512] [Bmax=8125.0],max_low (RCAL) [Na=512] [Bmax=8125.0],max_low (FastImg) [Na=512] [Bmax=8125.0],max_low (ICAL) [Na=512] [Bmax=8125.0],max_low (DPrepA) [Na=512] [Bmax=8125.0],max_low (DPrepA_Image) [Na=512] [Bmax=8125.0],max_low (DPrepB) [Na=512] [Bmax=8125.0],max_low (DPrepC) [Na=512] [Bmax=8125.0],max_low (DPrepD) [Na=512] [Bmax=8125.0]
W kernel support pred0 [uv-pixels],(undefined),2.9809273580569915,0.18455205923435844,2.9809273580033957,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.9809273580569915,0.18455205923435844,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.9809273580569915,0.18455205923435844,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.5998941994127365,0.08981558727294352,(undefined),(undefined),2.5998941994127365,0.08981558727294352,(undefined),(undefined),2.6256977768515886,0.17264561380323334,2.6256977768721934,1.0947360388817573,1.0988766552041294,1.5141928630087456,1.9100014325883905,(undefined)
W kernel support pred1 [uv-pixels],,2.9809273580569915,0.5223171648161031,2.9809273580033957,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.9809273580569915,0.5223171648161031,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.9809273580569915,0.5223171648161031,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.5998941994127365,0.25413590611873005,,,2.5998941994127365,0.25413590611873005,,,2.6256977768515886,0.48860920411313985,2.6256977768721934,1.0947360388817573,1.0988766552041294,1.5141928630087456,1.9100014325883905,
AW kernel support pred0 [uv-pixels],(undefined),9.480818947433425,9.001891993496013,9.480818947416575,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.480818947433425,9.001891993496013,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.480818947433425,9.001891993496013,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.368001379597466,9.000448146604544,(undefined),(undefined),9.368001379597466,9.000448146604544,(undefined),(undefined),9.375195401449687,9.001655764800468,9.375195401455459,9.066335918927034,9.066836819053965,9.12648782535684,9.200440504263353,(undefined)
AW kernel support pred1 [uv-pixels],,9.480818947433425,9.01514366056701,9.480818947416575,9.085589842150432,9.162963503949836,9.151529803111032,,,9.480818947433425,9.01514366056701,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,,,9.480818947433425,9.01514366056701,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,,,9.368001379597466,9.003587343874596,,,9.368001379597466,9.003587343874596,,,9.375195401449687,9.013253516591226,9.375195401455459,9.066335918927034,9.066836819053965,9.12648782535684,9.200440504263353,
W kernel support bw0 [uv-pixels],(undefined),2.9809273580569915,0.18455205923435844,2.9809273580033957,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.9809273580569915,0.18455205923435844,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.9809273580569915,0.18455205923435844,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,(undefined),(undefined),2.5998941994127365,0.08981558727294352,(undefined),(undefined),2.5998941994127365,0.08981558727294352,(undefined),(undefined),2.6256977768515886,0.17264561380323334,2.6256977768721934,1.0947360388817573,1.0988766552041294,1.5141928630087456,1.9100014325883905,(undefined)
W kernel support bw1 [uv-pixels],,2.9809273580569915,0.5223171648161031,2.9809273580033957,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.9809273580569915,0.5223171648161031,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.9809273580569915,0.5223171648161031,2.030929310075951,1.2441634859563784,1.720436042030233,1.6584624618089723,,,2.5998941994127365,0.25413590611873005,,,2.5998941994127365,0.25413590611873005,,,2.6256977768515886,0.48860920411313985,2.6256977768721934,1.0947360388817573,1.0988766552041294,1.5141928630087456,1.9100014325883905,
AW kernel support bw0 [uv-pixels],(undefined),9.480818947433425,9.001891993496013,9.480818947416575,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.480818947433425,9.001891993496013,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.480818947433425,9.001891993496013,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,(undefined),(undefined),9.368001379597466,9.000448146604544,(undefined),(undefined),9.368001379597466,9.000448146604544,(undefined),(undefined),9.375195401449687,9.001655764800468,9.375195401455459,9.066335918927034,9.066836819053965,9.12648782535684,9.200440504263353,(undefined)
AW kernel support bw1 [uv-pixels],,9.480818947433425,9.01514366056701,9.480818947416575,9.085589842150432,9.162963503949836,9.151529803111032,,,9.480818947433425,9.01514366056701,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,,,9.480818947433425,9.01514366056701,9.22630336930916,9.085589842150432,9.162963503949836,9.151529803111032,,,9.368001379597466,9.003587343874596,,,9.368001379597466,9.003587343874596,,,9.375195401449687,9.013253516591226,9.375195401455459,9.066335918927034,9.066836819053965,9.12648782535684,9.200440504263353,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.30851317395413796,25.41945819755437,0.08622671042840246,25.41945819755437,0.9417979353755809,0.7534383483004646,0.948512811977853,0.5996418254175394,0.30851317395413796,25.41945819755437,0.08622671042840246,16.948087194734786,0.9417979353755809,0.7534383483004646,0.948512811977853,0.5996418254175394,0.30851317395413796,25.41945819755437,0.08622671042840246,16.948087194734786,0.9417979353755809,0.7534383483004646,0.948512811977853,0.5996418254175394,0.30931229181080533,15.616857115356185,0.052837907269097754,(undefined),0.30931229181080533,15.616857115356185,0.052837907269097754,(undefined),0.3086255382383447,35.70671325541872,0.12107855933824202,35.70671325541872,1.3229433998517257,6.614716999258628,1.0583547198813805,0.5998602223295089,0.5998602223295089
Snapshot vis size1 [GB],0.08707375714108961,7.17430539961628,0.024336346959478266,7.17430539961628,0.2658099932972831,0.21264799463782647,0.26770517828081164,0.16924096306437864,0.08707375714108961,7.17430539961628,0.024336346959478266,4.7833731360195415,0.2658099932972831,0.21264799463782647,0.26770517828081164,0.16924096306437864,0.08707375714108961,7.17430539961628,0.024336346959478266,4.7833731360195415,0.2658099932972831,0.21264799463782647,0.26770517828081164,0.16924096306437864,0.08729929757194625,4.407651078043641,0.014912799497102716,,0.08729929757194625,4.407651078043641,0.014912799497102716,,0.08710547047206006,10.077746886656584,0.03417281970713616,10.077746886656584,0.3733832524351802,1.8669162621759012,0.2987066019481442,0.16930260270015,0.16930260270015
Facet size [GB],(undefined),0.30664532102074094,0.015142978815839061,0.30664532102074094,0.042063830043997386,0.042063830043997386,0.042063830043997386,(undefined),(undefined),0.30664532102074094,0.015142978815839061,0.1362868093425515,0.042063830043997386,0.042063830043997386,0.042063830043997386,(undefined),(undefined),0.30664532102074094,0.015142978815839061,0.1362868093425515,0.042063830043997386,0.042063830043997386,0.042063830043997386,(undefined),(undefined),0.30983480532464913,0.015300484213562919,(undefined),(undefined),0.30983480532464913,0.015300484213562919,(undefined),(undefined),0.3070923010970638,0.015165051906027833,0.3070923010970638,0.042125144183410665,0.042125144183410665,0.042125144183410665,0.042125144183410665,(undefined)
Image size [GB],0.04206383004399739,0.306645321020741,0.015142978815839057,0.306645321020741,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.306645321020741,0.015142978815839057,0.13628680934255152,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.306645321020741,0.015142978815839057,0.13628680934255152,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.04206383004399739,0.042501345037674755,0.3098348053246491,0.015300484213562915,(undefined),0.042501345037674755,0.3098348053246491,0.015300484213562915,(undefined),0.042125144183410665,0.30709230109706365,0.015165051906027838,0.30709230109706365,0.042125144183410665,0.042125144183410665,0.042125144183410665,0.042125144183410665,0.042125144183410665
Image cube size [GB],22053.561326107305,98.12650272663711,2.4228766105342494,98.12650272663711,6.7302128070395835,168.25532017598957,504.7659605279687,2756.695165763413,22053.561326107305,98.12650272663711,2.4228766105342494,43.61177898961648,6.7302128070395835,168.25532017598957,504.7659605279687,2756.695165763413,22053.561326107305,98.12650272663711,2.4228766105342494,43.61177898961648,6.7302128070395835,168.25532017598957,504.7659605279687,2756.695165763413,11141.472593556211,49.573568851943854,1.2240387370850332,(undefined),11141.472593556211,49.573568851943854,1.2240387370850332,(undefined),11042.853796816005,49.13476817553018,1.213204152482227,49.13476817553018,3.3700115346728534,3.3700115346728534,84.25028836682134,11042.853796816005,2760.7134492040013
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,(undefined),0.0,0.3145728,0.0,(undefined),0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,59.645470171693056,0.0,18639.209428654078,0.0,0.0,0.0,0.0,0.0,59.645470171693056,0.0,18639.209428654078,0.0,0.0,0.0,0.0,0.0,59.645470171693056,0.0,18639.209428654078,0.0,0.0,0.0,0.0,0.0,99.40911695282176,0.0,(undefined),0.0,99.40911695282176,0.0,(undefined),0.0,42.60390726549504,0.0,18426.189892326605,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.43690666666666667,0.0,(undefined),0.0,0.43690666666666667,0.0,(undefined),0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),9.965972933174081e-05,1.3670744764299153e-05,0.0013670744764299153,0.0041012234292897454,(undefined),(undefined),(undefined),(undefined),4.429321303632924e-05,1.3670744764299153e-05,0.0013670744764299153,0.0041012234292897454,(undefined),(undefined),(undefined),(undefined),4.429321303632924e-05,1.3670744764299153e-05,0.0013670744764299153,0.0041012234292897454,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.00013972699699916404,1.9166940603451856e-05,1.9166940603451856e-05,0.0013690671859608466,0.1794463741982601,(undefined)
Working (cache) memory [TeraBytes],(undefined),2.169921996439763e-06,1.1673278265312134e-08,2.169921996322719e-06,1.5776922705600168e-07,4.1716276767900563e-07,3.736860465959408e-07,(undefined),(undefined),2.169921996439763e-06,1.1673278265312134e-08,6.862373717530531e-07,1.5776922705600168e-07,4.1716276767900563e-07,3.736860465959408e-07,(undefined),(undefined),2.169921996439763e-06,1.1673278265312134e-08,6.862373717530531e-07,1.5776922705600168e-07,4.1716276767900563e-07,3.736860465959408e-07,(undefined),(undefined),4.3189504699761807e-07,4.033752867097489e-10,(undefined),(undefined),4.3189504699761807e-07,4.033752867097489e-10,(undefined),(undefined),1.0380593701544483e-06,6.6891804943158076e-09,1.0380593701788869e-06,7.523435979966803e-08,7.609126870045165e-08,1.990818043234335e-07,3.995664937027352e-07,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],1.565765898390077,1.565765898390077,4.4265322540665855,1.565765898390077,0.7828829491950385,1.565765898390077,3.043301877367257,3.043301877367257,1.565765898390077,1.565765898390077,4.4265322540665855,1.565765898390077,0.7828829491950385,1.565765898390077,3.043301877367257,3.043301877367257,1.565765898390077,1.565765898390077,4.4265322540665855,1.565765898390077,0.7828829491950385,1.565765898390077,3.043301877367257,3.043301877367257,0.10465477206109722,0.10465477206109722,0.2951021502711057,0.002102152,0.10465477206109722,0.10465477206109722,0.2951021502711057,0.00077309411328,0.939801701727755,0.939801701727755,2.6559193524399514,0.939801701727755,0.4699008508638775,0.4699008508638775,0.939801701727755,1.8266461711560964,1.8266461711560964
Total buffer ingest rate [TeraBytes/s],0.08698699435500427,0.08698699435500427,0.24591845855925476,0.08698699435500427,0.04349349717750214,0.08698699435500427,0.16907232652040316,0.16907232652040316,0.08698699435500427,0.08698699435500427,0.24591845855925476,0.08698699435500427,0.04349349717750214,0.08698699435500427,0.16907232652040316,0.16907232652040316,0.08698699435500427,0.08698699435500427,0.24591845855925476,0.08698699435500427,0.04349349717750214,0.08698699435500427,0.16907232652040316,0.16907232652040316,0.04360615502545718,0.04360615502545718,0.12295922927962738,(undefined),0.04360615502545718,0.04360615502545718,0.12295922927962738,(undefined),0.04350933804295162,0.04350933804295162,0.12295922927962738,0.04350933804295162,0.02175466902147581,0.02175466902147581,0.04350933804295162,0.0845669523683378,0.0845669523683378
Output size [TB],0.0,0.0,0.0,0.0,0.0014840119239522278,0.0742005961976114,0.22260178859283417,122.15392291162738,0.0,0.0,0.0,0.0,0.0014840119239522278,0.0742005961976114,0.22260178859283417,122.15392291162738,0.0,0.0,0.0,0.0,0.0014840119239522278,0.0742005961976114,0.22260178859283417,122.15392291162738,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.0010403225607535096,0.0010403225607535096,0.037154377169768195,4.8698985243958575,146.58470749395286
Buffer Read Rate [TeraBytes/s],0.08641728372085611,0.008691670292578838,0.017690089182060914,0.04345835146289418,0.00966086342938291,0.01932172685876582,0.07297307941551986,0.25194751212975486,0.08641728372085611,0.008691670292578838,0.017690089182060914,0.028975280441005773,0.00966086342938291,0.01932172685876582,0.07297307941551986,0.25194751212975486,0.08641728372085611,0.008691670292578838,0.017690089182060914,0.028975280441005773,0.00966086342938291,0.01932172685876582,0.07297307941551986,0.25194751212975486,0.043320561869646675,0.002669934425786643,0.005420056541296036,0.0008758966666666667,0.043320561869646675,0.002669934425786643,0.005420056541296036,0.0003221225472,0.04322437897807515,0.00610459468561004,0.012420110323630253,0.0305229734280502,0.006785306609147624,0.006785306609147624,0.013570613218295249,1.0081570980228742,0.25203927450571856
Facet visibility rate [TeraBytes/s],0.0,0.0019149438967023102,0.005396983471695949,0.01723449507032079,0.003055776860619174,0.006111553721238348,0.016955969450819126,(undefined),0.0,0.0019149438967023102,0.005396983471695949,0.011491475510614716,0.003055776860619174,0.006111553721238348,0.016955969450819126,(undefined),0.0,0.0019149438967023102,0.005396983471695949,0.011491475510614716,0.003055776860619174,0.006111553721238348,0.016955969450819126,(undefined),0.0,0.0008145144859986038,0.0016535779537974844,(undefined),0.0,0.0008145144859986038,0.0016535779537974844,(undefined),0.0,0.0018623237473499956,0.0037891909357352783,0.016760913726149955,0.0021454429389498077,0.0021454429389498077,0.004290885877899615,0.3112937853714636,(undefined)
Image Write Rate [TeraBytes/s],0.0,0.00016354417121106183,0.00242287661053425,0.0014718975408995567,0.0006169361739786284,0.0030846808698931417,0.009254042609679424,(undefined),0.0,0.00016354417121106183,0.00242287661053425,0.0006541766848442472,0.0006169361739786284,0.0030846808698931417,0.009254042609679424,(undefined),0.0,0.00016354417121106183,0.00242287661053425,0.0006541766848442472,0.0006169361739786284,0.0030846808698931417,0.009254042609679424,(undefined),0.0,8.262261475323978e-05,0.0012240387370850334,(undefined),0.0,8.262261475323978e-05,0.0012240387370850334,(undefined),0.0,8.189128029255035e-05,0.0012132041524822266,0.0007370215226329533,0.0003089177240116782,6.178354480233565e-05,0.001544588620058391,0.20245231960829346,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.11989698861733908,0.015393227674434674,0.043311966619447875,0.1407301986980461,0.053933766967789856,0.06189203137327812,0.21455058126282187,0.02384578224178076,0.11989698861733908,0.015393227674434674,0.043311966619447875,0.09081468469521907,0.053933766967789856,0.06189203137327812,0.21455058126282187,0.02384578224178076,0.11989698861733908,0.015393227674434674,0.043311966619447875,0.09081468469521907,0.053933766967789856,0.06189203137327812,0.21455058126282187,0.02384578224178076,0.06010368050360971,0.005100040724786132,0.013275271162747796,0.00050088,0.06010368050360971,0.005100040724786132,0.013275271162747796,2.755e-07,0.059970315102145434,0.011672418401756673,0.030402242092843628,0.10654723841570755,0.03777359902778102,0.033926791835700146,0.04177177166016408,2.890494536851978,0.023854467168322492
-> DFT [PetaFLOP/s],,0.009977139220242428,0.0406127882551236,0.08979425298218184,0.040662133512473546,0.040662133512473546,0.15357018136627032,,,0.009977139220242428,0.0406127882551236,0.059869129282799194,0.040662133512473546,0.040662133512473546,0.15357018136627032,,,0.009977139220242428,0.0406127882551236,0.059869129282799194,0.040662133512473546,0.040662133512473546,0.15357018136627032,,,0.00306480878568712,0.012443329503713041,,,0.00306480878568712,0.012443329503713041,,,0.007007443795180174,0.028514006090505483,0.06306699415662156,0.028559046019125157,0.028559046019125157,0.028559046019125157,2.121643620210688,
-> Subtract Visibility [PetaFLOP/s],,7.243058577149031e-07,1.4741740985050765e-06,6.5187527194341275e-06,1.4759652461557226e-06,2.9519304923114453e-06,1.1148664910704424e-05,,,7.243058577149031e-07,1.4741740985050765e-06,4.346292066150864e-06,1.4759652461557226e-06,2.9519304923114453e-06,1.1148664910704424e-05,,,7.243058577149031e-07,1.4741740985050765e-06,4.346292066150864e-06,1.4759652461557226e-06,2.9519304923114453e-06,1.1148664910704424e-05,,,2.224945354822203e-07,4.5167137844133634e-07,,,2.224945354822203e-07,4.5167137844133634e-07,,,5.087162238008366e-07,1.0350091936358543e-06,4.57844601420753e-06,1.0366440652864424e-06,1.0366440652864424e-06,2.073288130572885e-06,0.00015402400108682803,
-> Flag [PetaFLOP/s],0.002015198702557599,0.00010104066715122899,0.00020564728674145815,0.0009093660043610609,0.0002058971518387233,0.0004117943036774466,0.0015552387550432675,0.0053696313522654015,0.002015198702557599,0.00010104066715122899,0.00020564728674145815,0.0006063077432280457,0.0002058971518387233,0.0004117943036774466,0.0015552387550432675,0.0053696313522654015,0.002015198702557599,0.00010104066715122899,0.00020564728674145815,0.0006063077432280457,0.0002058971518387233,0.0004117943036774466,0.0015552387550432675,0.0053696313522654015,0.001010209258089758,3.103798769976973e-05,6.300815729256643e-05,,0.001010209258089758,3.103798769976973e-05,6.300815729256643e-05,,0.0010079663313283791,7.096591322021671e-05,0.00014438378251220173,0.0006386932189819505,0.00014461184710745875,0.00014461184710745875,0.0002892236942149175,0.021486348151612506,0.0053715870379031265
-> Degrid [PetaFLOP/s],,0.0004590040241556328,0.00029186954333420526,0.0041310362173860105,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.0004590040241556328,0.00029186954333420526,0.0026085549467740727,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.0004590040241556328,0.00029186954333420526,0.0026085549467740727,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.00019061691515887466,8.932457813377423e-05,,,0.00019061691515887466,8.932457813377423e-05,,,0.0004365003235127741,0.00020488200051813928,0.0039285029116198035,0.002351361035969208,0.0004703241721590747,0.0009530661694565906,0.07026781113881127,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2871571833819926e-08,,,
-> Visibility Weighting [PetaFLOP/s],,2.5532585289364132e-06,7.1959779622612645e-06,2.2979326760427718e-05,4.074369147492232e-06,8.148738294984465e-06,2.260795926775884e-05,,,2.5532585289364132e-06,7.1959779622612645e-06,1.5321967347486288e-05,4.074369147492232e-06,8.148738294984465e-06,2.260795926775884e-05,,,2.5532585289364132e-06,7.1959779622612645e-06,1.5321967347486288e-05,4.074369147492232e-06,8.148738294984465e-06,2.260795926775884e-05,,,1.0860193146648049e-06,2.2047706050633124e-06,,,1.0860193146648049e-06,2.2047706050633124e-06,,,2.483098329799994e-06,5.052254580980371e-06,2.2347884968199946e-05,2.86059058526641e-06,2.86059058526641e-06,5.72118117053282e-06,0.00041505838049528474,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Demix [PetaFLOP/s],0.11779479567618116,,,,,,,,0.11779479567618116,,,,,,,,0.11779479567618116,,,,,,,,0.05904986145898972,,,,0.05904986145898972,,,,0.05891883580933222,,,,,,,,
-> FFT [PetaFLOP/s],,0.00012686142136488494,1.5788463220950887e-05,0.0011417527923112626,0.0001860765410576482,0.0006043594308630775,0.001903799717986578,,,0.00012686142136488494,1.5788463220950887e-05,0.0003582923302012407,0.0001860765410576482,0.0006043594308630775,0.001903799717986578,,,0.00012686142136488494,1.5788463220950887e-05,0.0003582923302012407,0.0001860765410576482,0.0006043594308630775,0.001903799717986578,,,2.9455044270902714e-05,7.981951340856846e-06,,,2.9455044270902714e-05,7.981951340856846e-06,,,6.881026975829189e-05,7.906470357068307e-06,0.0006192924278181631,0.00010109206818144531,2.0117039209782872e-05,0.0003282070077880717,0.03158180338166087,
-> Grid [PetaFLOP/s],,0.0004590040241556328,0.00029186954333420526,0.0041310362173860105,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.0004590040241556328,0.00029186954333420526,0.0026085549467740727,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.0004590040241556328,0.00029186954333420526,0.0026085549467740727,0.0033633079125091883,0.0013683345075935728,0.0037868556829956258,,,0.00019061691515887466,8.932457813377423e-05,,,0.00019061691515887466,8.932457813377423e-05,,,0.0004365003235127741,0.00020488200051813928,0.0039285029116198035,0.002351361035969208,0.0004703241721590747,0.0009530661694565906,0.07026781113881127,
-> Gridding Kernel Update [PetaFLOP/s],,0.0016301406395179613,0.000846322010295559,0.014671265755594451,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0016301406395179613,0.000846322010295559,0.009551077629756679,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0016301406395179613,0.000846322010295559,0.009551077629756679,0.002607232789289097,0.005325558391438571,0.014427777982945943,,,0.0006642812299457861,0.00025873171769823016,,,0.0006642812299457861,0.00025873171769823016,,,0.0015228561561979972,0.0005939934555323036,0.013705705405803865,0.0018208670781009561,0.0018211173280175265,0.003702113278653366,0.10962921948689466,
-> Correct [PetaFLOP/s],,0.0003476668117031536,0.00017690089182060916,0.0031290013053283817,0.0007084633181547468,0.0014169266363094936,0.005351359157138124,0.01847615088951536,,0.0003476668117031536,0.00017690089182060916,0.0020862201917524153,0.0007084633181547468,0.0014169266363094936,0.005351359157138124,0.01847615088951536,,0.0003476668117031536,0.00017690089182060916,0.0020862201917524153,0.0007084633181547468,0.0014169266363094936,0.005351359157138124,0.01847615088951536,,0.00010679737703146574,5.4200565412960364e-05,,,0.00010679737703146574,5.4200565412960364e-05,,,0.0002441837874244016,0.00012420110323630256,0.0021976540868196143,0.0004975891513374924,0.0004975891513374924,0.000995178302674985,0.07393152052167745,0.018482880130419363
-> IFFT [PetaFLOP/s],,0.0006343071068244248,1.5788463220950887e-05,0.005708763961556313,0.0001860765410576482,0.00024174377234523098,0.0002538399623982104,,,0.0006343071068244248,1.5788463220950887e-05,0.0017914616510062036,0.0001860765410576482,0.00024174377234523098,0.0002538399623982104,,,0.0006343071068244248,1.5788463220950887e-05,0.0017914616510062036,0.0001860765410576482,0.00024174377234523098,0.0002538399623982104,,,0.0001472752213545136,7.981951340856846e-06,,,0.0001472752213545136,7.981951340856846e-06,,,0.0003440513487914595,7.906470357068307e-06,0.003096462139090815,0.00010109206818144531,0.00010058519604891434,0.00013128280311522868,9.638001520282246e-05,
-> Identify Component [PetaFLOP/s],,,,8.39462103325638e-05,1.0260963153683917e-05,0.0010260963153683918,0.0030782889461051753,,,,,8.39355629255839e-05,1.0260963153683917e-05,0.0010260963153683918,0.0030782889461051753,,,,,8.39355629255839e-05,1.0260963153683917e-05,0.0010260963153683918,0.0030782889461051753,,,,,,,,,,,,,4.896863899014416e-05,5.985564571818358e-06,5.985564571818358e-06,0.0004275403265584542,0.056038565682669704,
-> Average [PetaFLOP/s],5.799132957000285e-05,,,,,,,,5.799132957000285e-05,,,,,,,,5.799132957000285e-05,,,,,,,,2.907077001697145e-05,,,,2.907077001697145e-05,,,,2.900622536196774e-05,,,,,,,,
-> Phase Rotation Predict [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [PetaFLOP/s],2.9002909030329025e-05,,,,,,,,2.9002909030329025e-05,,,,,,,,2.9002909030329025e-05,,,,,,,,1.453901651325423e-05,,,,1.453901651325423e-05,,,,1.4506736122869203e-05,,,,,,,,
