,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
Oversampling used pred6,,62.19150372800904,63.999999999999915,,,61.46033617617611,64.0,,,63.577283346901204,64.0,,,,,,,,,,,,,,,,,,,,,,,,62.19150372800904,63.999999999999915,,,63.99970108289728,64.0,63.99970108289728,63.99947688151995,63.99999999997316,,,,,,,,,,,,,63.732590390337876,64.0,63.6777447919494,63.50013304474365,58.77008970317321,,63.732590390337876,64.0,63.73259039032043,63.50013304474365,58.77008970317321,,63.732590390337876,64.0,63.73259039032043,63.50013304474365,58.77008970317321,,63.99961759627412,64.0,63.99389604763047,63.999374489120285,63.99999999988281,,63.99961759627412,64.0,63.99961759627412,63.999374489120285,63.99999999988281,,60.621307015716916,64.0,60.62130694537898,59.668980615195004,59.09589690053196,56.719718850423746,63.99992251884252,,,63.577283346901204,64.0,63.577283462239734,63.25329679278128,62.88161288299069,57.42346110240184,63.99999999999987,,,63.99832442713497,64.0,63.99832442713497,63.7266711517884,63.997830869363206,63.997830869363206,64.0,,,63.999192365257635,64.0,63.999192365257635,63.99999998067388,63.99879335136448,63.999999325017036,64.0,,,63.99997841373863,64.0,63.99997841373863,63.99955955392216,63.99955955392216,63.99999999996638,64.0,,,63.999999989393494,64.0,63.999999989393494,63.99999999884435,63.99999999884435,63.99999999884435,64.0,
Oversampling used pred7,,63.876780576512665,64.0,,,63.45256784341512,64.0,,,63.99304410314498,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.876780576512665,64.0,,,63.99999999472038,64.0,63.99999999472038,63.99999998823299,64.0,,,,,,,,,,,,,63.99697469040263,64.0,63.995752963522435,63.9870709233806,62.84775522809733,,63.99697469040263,64.0,63.99697469040227,63.9870709233806,62.84775522809733,,63.99697469040263,64.0,63.99697469040227,63.9870709233806,62.84775522809733,,63.99999998916757,64.0,63.99999611808191,63.999999979213065,64.0,,63.99999998916757,64.0,63.99999998916757,63.999999979213065,64.0,,63.74234677062119,64.0,63.74234676056414,63.52171080896476,63.40046418701232,62.77032932745082,63.99998754671723,,,63.99304410314498,64.0,63.99304410659571,63.97386969508224,63.94694368003369,62.789127231048,64.0,,,63.999999653345625,64.0,63.999999653345625,63.992847296815405,63.99999957117803,63.99999957117803,64.0,,,63.999999943334245,64.0,63.999999943334245,64.0,63.99999990859844,64.0,64.0,,,63.999999995308265,64.0,63.999999995308265,63.999999990277274,63.999999990277274,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used pred8,,63.989895783221726,64.0,,,63.93667433689769,64.0,,,63.9998745991879,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.989895783221726,64.0,,,63.999999999999964,64.0,63.999999999999964,63.99999999950339,64.0,,,,,,,,,,,,,63.999962188646975,64.0,63.999938374756944,63.99996025624264,63.78293208511006,,63.999962188646975,64.0,63.99996218864697,63.99996025624264,63.78293208511006,,63.999962188646975,64.0,63.99996218864697,63.99996025624264,63.78293208511006,,63.99999999999986,64.0,63.9999999970098,63.99999999999971,64.0,,63.99999999999986,64.0,63.99999999999986,63.99999999999971,64.0,,63.96677728101496,64.0,63.96677727923652,63.966477439686415,63.95249622323931,63.85610189727637,63.99999638303885,,,63.9998745991879,64.0,63.999874599277476,63.99884771443604,63.99689410251563,63.5345793372451,64.0,,,63.999999999952884,64.0,63.999999999952884,63.99969515362776,63.999999945212664,63.999999945212664,64.0,,,63.99999999999785,64.0,63.99999999999785,64.0,63.99999999285394,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,63.999999999999915,63.999999999999915,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used pred9,,63.99999313757051,64.0,,,63.99246168983419,64.0,,,63.99999987814274,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.99999313757051,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,63.99999998048478,64.0,63.999999958840284,63.999999978940316,63.95687989506493,,63.99999998048478,64.0,63.99999998048478,63.999999978940316,63.95687989506493,,63.99999998048478,64.0,63.99999998048478,63.999999978940316,63.95687989506493,,64.0,64.0,63.99999999999999,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.999846660170704,64.0,63.999846660156656,63.99865731038327,63.99779277638863,63.989280418640995,63.99999937248202,,,63.99999987814274,64.0,63.99999987814287,63.999999871837794,63.999999210706925,63.95412066130226,64.0,,,63.999999999997165,64.0,63.999999999997165,63.9999999650416,63.99999999999752,63.99999999999752,64.0,,,63.99999999999994,64.0,63.99999999999994,64.0,63.99999999999993,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used pred10,,63.99999962907014,64.0,,,63.99963444190607,64.0,,,63.99999999999884,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.99999962907014,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,63.999999999999076,64.0,63.999999993989896,63.999999997106606,63.992915342925535,,63.999999999999076,64.0,63.999999999999076,63.999999997106606,63.992915342925535,,63.999999999999076,64.0,63.999999999999076,63.999999997106606,63.992915342925535,,64.0,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.99999968145494,64.0,63.999999681454895,63.99998515194868,63.999969952260535,63.999717414622936,63.999999983475604,,,63.99999999999884,64.0,63.99999999999884,63.99999999664054,63.99999997120707,63.99448091305896,64.0,,,64.0,64.0,64.0,63.999999997437975,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used pred11,,63.999999999986386,64.0,,,63.99980874931858,64.0,,,63.99999999999999,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.999999999986386,64.0,,,64.0,64.0,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,,64.0,64.0,64.0,64.0,64.0,,63.99999998318031,64.0,63.9999999831803,63.999999982733264,63.999999952273456,63.99999879049554,63.999999877123116,,,63.99999999999999,64.0,63.99999999999999,63.99999999999999,63.99999999999973,63.999738429066184,64.0,,,64.0,64.0,64.0,63.99999999999996,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw0,(undefined),4.040694811565004,52.30033594377639,(undefined),(undefined),3.7827097884229204,52.55418223870118,(undefined),(undefined),4.688188202773077,52.459337065203925,(undefined),(undefined),5.07497455461499,52.24826881725484,5.07497455461499,3.937426488317108,10.791193552733766,49.24231509512251,(undefined),6.871458923942477,52.63302297029232,5.389426360306423,13.334914854344994,12.725709017180634,63.7925353122085,(undefined),6.692395547262322,52.229528787503014,5.193962388557232,13.525422548371125,12.352213964728335,59.707651089820196,(undefined),4.040694811565004,52.30033594377639,(undefined),(undefined),7.095670393529154,52.43406133939149,7.095670393529154,6.216309461234282,17.130050412179408,(undefined),6.788915841442929,53.04357049152173,13.467007102519872,13.909276086744754,12.524814344677338,(undefined),7.185945657271695,53.12637183264743,15.315093615041803,13.52274016380575,(undefined),4.813671453107169,53.04357049152173,4.538899135622351,4.243528191332729,6.150280049972956,(undefined),4.813671453107169,53.04357049152173,4.813671453107169,4.243528191332729,6.150280049972956,(undefined),4.813671453107169,53.04357049152173,4.813671453107169,4.243528191332729,6.150280049972956,(undefined),7.267651031338218,52.663162813661174,5.688205035111729,6.315432833128362,15.658200831468392,(undefined),7.267651031338218,52.663162813661174,7.267651031338218,6.315432833128362,15.658200831468392,(undefined),3.3849697531569163,53.12637183264743,3.3849697531569163,3.17459811873173,3.17459811873173,3.17459811873173,58.65087017738438,(undefined),(undefined),4.688188202773077,52.459337065203925,4.688188202773077,4.1291484808892065,4.1291484808892065,3.8563871062562427,63.270872182315784,(undefined),(undefined),7.1983620380405355,52.5748712092429,7.1983620380405355,4.249852378102283,6.225916837873896,6.225916837873896,63.99999967993942,(undefined),(undefined),6.885264567177785,52.14987326028093,6.885264567177785,14.933308287534913,6.1194860438114205,14.933308287534913,63.999999994386094,(undefined),(undefined),7.5067184922375105,53.026526222314146,7.5067184922375105,6.517654187167025,6.517654187167025,16.265090818581236,63.99999999999934,(undefined),(undefined),9.610727001858855,52.17981633302992,9.610727001858855,13.983309541027303,13.983309541027303,17.506424052801982,64.0,(undefined)
Oversampling used bw1,,5.733751596129515,58.989211206467594,,,5.515066908624384,59.155606381075664,,,7.648719238880517,59.094718835528965,,,9.133989058370958,58.95699043985803,9.133989058370958,5.743580488549632,20.116593481832588,53.38324375157983,,13.878449914935487,59.20533145159972,10.353343842611125,27.787173012088864,24.033984816690207,63.982878060557084,,13.332434070817186,58.94837189931383,9.726574324537587,27.797264574056996,24.715404429973773,63.151593391234094,,5.733751596129515,58.989211206467594,,,15.005876234712005,59.08229952647093,15.005876234712005,13.009125930168267,29.219208541748415,,14.130181297238565,59.462117194963895,27.69669872079561,28.454528401769217,23.21004733099835,,14.644008103209188,59.50269106260113,28.382955256172814,25.51412589288075,,8.07921233273256,59.462117194963895,7.1157097636981135,6.242046449723247,6.091830660572988,,8.07921233273256,59.462117194963895,8.07921233273256,6.242046449723247,6.091830660572988,,8.07921233273256,59.462117194963895,8.07921233273256,6.242046449723247,6.091830660572988,,15.129133948524107,59.2276480894824,10.94425900087316,13.37136682908563,30.050443720835588,,15.129133948524107,59.2276480894824,15.129133948524107,13.37136682908563,30.050443720835588,,4.8082865070798775,59.50269106260113,4.8082865070798775,4.546629773852956,4.546629773852956,4.546629773852956,59.77703055258426,,,7.648719238880517,59.094718835528965,7.648719238880517,5.967804743510143,5.967804743510143,4.652519911967019,63.837135526420276,,,14.935168749494139,59.17160118040046,14.935168749494139,6.25219937503568,12.975740582035314,12.975740582035314,63.999999999968,,,14.466115838997254,58.89984729162742,14.466115838997254,28.54510137670892,12.564191382681969,28.54510137670892,63.99999999999988,,,15.699226732648945,59.45525446345191,15.699226732648945,13.864440623548752,13.864440623548752,30.524910245235887,64.0,,,19.61922567663533,58.91934369275724,19.61922567663533,27.479778844764276,27.479778844764276,27.479778844764276,64.0,
Oversampling used bw2,,9.367972745027487,61.84756284649045,,,8.403815393747891,61.94695125937516,,,12.674308090824113,61.91186847486705,,,14.54950299906396,61.830497557652386,14.54950299906396,9.532028029128995,31.27727224175804,55.5652049712483,,21.529351239341125,61.974735818452466,16.5359984175196,40.74476225686401,36.28867140202105,63.99876659183889,,21.497610544165497,61.82939372381376,16.627487765001405,39.237295803572565,35.62534132561346,63.712120950519974,,9.367972745027487,61.84756284649045,,,24.099153298319457,61.90890594686513,24.099153298319457,21.196731023983673,42.75275581384294,,22.92453116127824,62.1173924389475,39.12258531014295,39.982042462472265,33.790238768437554,,24.251740986384377,62.12825078317476,42.56668305370611,39.23215354168887,,13.203520079000818,62.1173924389475,11.924719761384218,10.515483450698298,6.3463051974318105,,13.203520079000818,62.1173924389475,13.203520079000818,10.515483450698298,6.3463051974318105,,13.203520079000818,62.1173924389475,13.203520079000818,10.515483450698298,6.3463051974318105,,24.25427233811947,61.990857460059544,18.37926229423796,21.842053840956368,42.75380846874542,,24.25427233811947,61.990857460059544,24.25427233811947,21.842053840956368,42.75380846874542,,6.722104271514482,62.12825078317476,6.722104271514482,5.967419332523036,5.967419332523036,5.967419332523036,62.1570392459246,,,12.674308090824113,61.91186847486705,12.674308090824113,9.921733024889598,9.921733024889598,6.062370835733631,63.97914571565213,,,23.87586157379718,61.959129306242914,23.87586157379718,10.583633921730751,21.057578493039784,21.057578493039784,63.99999999999999,,,23.133855560105395,61.8047246645228,23.133855560105395,40.71040773586465,20.84582767470534,40.71040773586465,64.0,,,25.230144135879378,62.117606582874835,25.230144135879378,22.192607878196213,22.192607878196213,43.30457787694396,64.0,,,30.61486385680788,61.81610533148397,30.61486385680788,40.12358886972973,40.12358886972973,40.12358886972973,64.0,
Oversampling used bw3,,17.725733218032452,63.59541897803619,,,16.846310320551176,63.62823857970544,,,23.39802483010382,63.617991717039665,,,28.614276732686548,63.59220868219082,28.614276605209035,19.050747120608392,49.85146732983825,60.723583747366064,,41.039678078327995,63.63546761469304,31.1936191974685,57.43879214982045,54.26614979677352,63.99987097640396,,38.51828685854193,63.59627772923618,29.633945737632594,60.2924971982054,58.42207790220024,63.9987050883261,,17.725733218032452,63.59541897803619,,,41.604926520255134,63.62174325818542,41.604926520255134,37.880147265024036,58.086413037333685,,40.40281421559244,63.672597060886034,57.37300420196803,57.909232492699935,53.438388331308246,,43.594867070044344,63.663070985364335,59.84571010597652,58.036678449949825,,24.39645505679382,63.672597060886034,22.50470701531708,20.140702224735584,13.253033113111755,,24.39645505679382,63.672597060886034,24.39645505679382,20.140702224735584,13.253033113111755,,24.39645505679382,63.672597060886034,24.39645505679382,20.140702224735584,13.253033113111755,,41.7344587516701,63.643709641588565,33.91644981318832,39.03608556955244,57.974906521894276,,41.7344587516701,63.643709641588565,41.7344587516701,39.03608556955244,57.974906521894276,,12.89948254184209,63.663070985364335,12.89948254184209,11.758445469835486,11.758445469835486,11.758445469835486,63.59887301233364,,,23.39802483010382,63.617991717039665,23.39802483010382,19.305136088082634,19.305136088082634,12.460387353294827,63.99949055604432,,,40.98099634590079,63.63500971232915,40.98099634590079,21.26807612090969,37.411719491227146,37.411719491227146,64.0,,,40.94217794339325,63.593007031734516,40.94217794339325,57.23998327533251,37.28522683225321,57.23998327533251,64.0,,,43.323100384505146,63.67690218979761,43.323100384505146,39.52356094772557,39.52356094772557,58.35012731018966,64.0,,,49.19870654003831,63.59639405215588,49.19870654003831,57.73581925530227,57.73581925530227,57.73581925530227,64.0,
Oversampling used bw4,,34.487283706945,63.996473669810115,,,34.72730258283201,63.99738704289929,,,43.12342507727264,63.9971936396133,,,50.441826819334025,63.998876304270105,50.44182669141784,40.01489316738192,63.581831425680996,63.93018317330975,,59.0656907430642,63.99971946684675,53.22794777334305,63.96771817724291,63.879789103063054,63.99999999882605,,,,,,,,,34.487283706945,63.996473669810115,,,60.38733025546733,63.99755972436145,60.38733025546733,58.74389140528125,63.887557652065134,,59.52582617980584,63.99778522185372,63.882367101069605,63.90694471920552,63.57068896855658,,54.476373908590446,63.981861986838645,63.7303149203325,63.44430811584725,,43.474152033528256,63.997909586555714,41.763595310863614,39.13219761832518,28.769513355399937,,43.474152033528256,63.997909586555714,43.474152033528256,39.13219761832518,28.769513355399937,,43.474152033528256,63.997909586555714,43.474152033528256,39.13219761832518,28.769513355399937,,60.379758232907335,63.99782971898457,56.42332854382121,58.76462316512675,63.870127576126485,,60.379758232907335,63.99782971898457,60.379758232907335,58.76462316512675,63.870127576126485,,28.463478839169568,63.996878687833416,28.46347869119817,26.856706962927788,25.912348574472503,24.811388752979163,63.97095057197064,,,43.12342507727264,63.9971936396133,43.12342507727264,38.335256363566785,38.335256363566785,28.276432390915005,63.99999970084083,,,59.739964378521805,63.99770880517637,59.739964378521805,43.425507277112104,58.10179074991366,58.10179074991366,64.0,,,59.9328003662607,63.99716969542581,59.9328003662607,63.80569837946117,58.24476449634013,63.80569837946117,64.0,,,60.6223918327474,63.99821330471799,60.6223918327474,59.05953640069055,59.05953640069055,63.89456774129599,64.0,,,63.20820788667019,63.9972321407902,63.20820788667019,63.92574653877038,63.92574653877038,63.92574653877038,64.0,
Oversampling used bw5,,47.602454138644646,63.99999980020992,,,48.53722580185686,63.999999936995756,,,55.03808472026587,63.999999921247216,,,60.9435765938399,63.999999982676584,60.943576537322336,55.85091653775389,63.99834765798728,63.999961490942894,,,,,,,,,,,,,,,,47.602454138644646,63.99999980020992,,,63.767109486548435,63.99999996541364,63.767109486548435,63.453561445260675,63.998684409616025,,62.8169614861236,63.99999925432814,63.99923784389794,63.99950016429443,63.99216436198477,,,,,,,56.50935057232584,63.99999995544818,55.94161652248287,53.96443559535557,42.56796294610905,,56.50935057232584,63.99999995544818,56.50935057213445,53.96443559535557,42.56796294610905,,56.50935057232584,63.99999995544818,56.50935057213445,53.96443559535557,42.56796294610905,,63.75727618036508,63.999999972779555,62.79333707469299,63.44294339314119,63.998082669714975,,63.75727618036508,63.999999972779555,63.75727618036508,63.44294339314119,63.998082669714975,,43.611572295616085,63.999999647624016,43.61157213054714,42.31857700186993,41.20814461923004,37.28555750057522,63.99746858988722,,,55.03808472026587,63.999999921247216,55.03808567787648,52.30254120951402,51.06931160503332,42.08281222963869,63.999999998572015,,,63.61840256529163,63.999999968586394,63.61840256529163,56.76867027491311,63.22667323394833,63.22667323394833,64.0,,,63.68251509218226,63.9999999521189,63.68251509218226,63.99570043013619,63.312435547419376,63.99570043013619,64.0,,,63.7912005482567,63.99999998194525,63.7912005482567,63.50659267835299,63.50659267835299,63.99872137444335,64.0,,,63.99020275022214,63.999999955511676,63.99020275022214,63.99955436984744,63.99955436984744,63.99955436984744,64.0,
Oversampling used bw6,,62.19150372800904,63.999999999999915,,,61.46033617617611,64.0,,,63.577283346901204,64.0,,,,,,,,,,,,,,,,,,,,,,,,62.19150372800904,63.999999999999915,,,63.99970108289728,64.0,63.99970108289728,63.99947688151995,63.99999999997316,,,,,,,,,,,,,63.732590390337876,64.0,63.6777447919494,63.50013304474365,58.77008970317321,,63.732590390337876,64.0,63.73259039032043,63.50013304474365,58.77008970317321,,63.732590390337876,64.0,63.73259039032043,63.50013304474365,58.77008970317321,,63.99961759627412,64.0,63.99389604763047,63.999374489120285,63.99999999988281,,63.99961759627412,64.0,63.99961759627412,63.999374489120285,63.99999999988281,,60.621307015716916,64.0,60.62130694537898,59.668980615195004,59.09589690053196,56.719718850423746,63.99992251884252,,,63.577283346901204,64.0,63.577283462239734,63.25329679278128,62.88161288299069,57.42346110240184,63.99999999999987,,,63.99832442713497,64.0,63.99832442713497,63.7266711517884,63.997830869363206,63.997830869363206,64.0,,,63.999192365257635,64.0,63.999192365257635,63.99999998067388,63.99879335136448,63.999999325017036,64.0,,,63.99997841373863,64.0,63.99997841373863,63.99955955392216,63.99955955392216,63.99999999996638,64.0,,,63.999999989393494,64.0,63.999999989393494,63.99999999884435,63.99999999884435,63.99999999884435,64.0,
Oversampling used bw7,,63.876780576512665,64.0,,,63.45256784341512,64.0,,,63.99304410314498,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.876780576512665,64.0,,,63.99999999472038,64.0,63.99999999472038,63.99999998823299,64.0,,,,,,,,,,,,,63.99697469040263,64.0,63.995752963522435,63.9870709233806,62.84775522809733,,63.99697469040263,64.0,63.99697469040227,63.9870709233806,62.84775522809733,,63.99697469040263,64.0,63.99697469040227,63.9870709233806,62.84775522809733,,63.99999998916757,64.0,63.99999611808191,63.999999979213065,64.0,,63.99999998916757,64.0,63.99999998916757,63.999999979213065,64.0,,63.74234677062119,64.0,63.74234676056414,63.52171080896476,63.40046418701232,62.77032932745082,63.99998754671723,,,63.99304410314498,64.0,63.99304410659571,63.97386969508224,63.94694368003369,62.789127231048,64.0,,,63.999999653345625,64.0,63.999999653345625,63.992847296815405,63.99999957117803,63.99999957117803,64.0,,,63.999999943334245,64.0,63.999999943334245,64.0,63.99999990859844,64.0,64.0,,,63.999999995308265,64.0,63.999999995308265,63.999999990277274,63.999999990277274,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
Oversampling used bw8,,63.989895783221726,64.0,,,63.93667433689769,64.0,,,63.9998745991879,64.0,,,,,,,,,,,,,,,,,,,,,,,,63.989895783221726,64.0,,,63.999999999999964,64.0,63.999999999999964,63.99999999950339,64.0,,,,,,,,,,,,,63.999962188646975,64.0,63.999938374756944,63.99996025624264,63.78293208511006,,63.999962188646975,64.0,63.99996218864697,63.99996025624264,63.78293208511006,,63.999962188646975,64.0,63.99996218864697,63.99996025624264,63.78293208511006,,63.99999999999986,64.0,63.9999999970098,63.99999999999971,64.0,,63.99999999999986,64.0,63.99999999999986,63.99999999999971,64.0,,63.96677728101496,64.0,63.96677727923652,63.966477439686415,63.95249622323931,63.85610189727637,63.99999638303885,,,63.9998745991879,64.0,63.999874599277476,63.99884771443604,63.99689410251563,63.5345793372451,64.0,,,63.999999999952884,64.0,63.999999999952884,63.99969515362776,63.999999945212664,63.999999945212664,64.0,,,63.99999999999785,64.0,63.99999999999785,64.0,63.99999999285394,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,63.999999999999915,63.999999999999915,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,
