,hpso01 (Ingest) [Nf_max=8192] [Na=512],hpso01 (RCAL) [Nf_max=8192] [Na=512],hpso01 (FastImg) [Nf_max=8192] [Na=512],hpso01 (ICAL) [Nf_max=8192] [Na=512],hpso01 (DPrepA) [Nf_max=8192] [Na=512],hpso01 (DPrepB) [Nf_max=8192] [Na=512],hpso01 (DPrepC) [Nf_max=8192] [Na=512],hpso01 (DPrepD) [Nf_max=8192] [Na=512],hpso02a (Ingest) [Nf_max=8192] [Na=512],hpso02a (RCAL) [Nf_max=8192] [Na=512],hpso02a (FastImg) [Nf_max=8192] [Na=512],hpso02a (ICAL) [Nf_max=8192] [Na=512],hpso02a (DPrepA) [Nf_max=8192] [Na=512],hpso02a (DPrepB) [Nf_max=8192] [Na=512],hpso02a (DPrepC) [Nf_max=8192] [Na=512],hpso02a (DPrepD) [Nf_max=8192] [Na=512],hpso02b (Ingest) [Nf_max=8192] [Na=512],hpso02b (RCAL) [Nf_max=8192] [Na=512],hpso02b (FastImg) [Nf_max=8192] [Na=512],hpso02b (ICAL) [Nf_max=8192] [Na=512],hpso02b (DPrepA) [Nf_max=8192] [Na=512],hpso02b (DPrepB) [Nf_max=8192] [Na=512],hpso02b (DPrepC) [Nf_max=8192] [Na=512],hpso02b (DPrepD) [Nf_max=8192] [Na=512],hpso04a (Ingest) [Nf_max=8192] [Na=512],hpso04a (RCAL) [Nf_max=8192] [Na=512],hpso04a (FastImg) [Nf_max=8192] [Na=512],hpso04a (PSS) [Nf_max=8192] [Na=512],hpso05a (Ingest) [Nf_max=8192] [Na=512],hpso05a (RCAL) [Nf_max=8192] [Na=512],hpso05a (FastImg) [Nf_max=8192] [Na=512],hpso05a (PST) [Nf_max=8192] [Na=512],max_low (Ingest) [Nf_max=8192] [Na=512],max_low (RCAL) [Nf_max=8192] [Na=512],max_low (FastImg) [Nf_max=8192] [Na=512],max_low (ICAL) [Nf_max=8192] [Na=512],max_low (DPrepA) [Nf_max=8192] [Na=512],max_low (DPrepA_Image) [Nf_max=8192] [Na=512],max_low (DPrepB) [Nf_max=8192] [Na=512],max_low (DPrepC) [Nf_max=8192] [Na=512],max_low (DPrepD) [Nf_max=8192] [Na=512]
Frequencies predict kernels0,(undefined),284.65058973794095,364.52288461678205,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),284.65058973794095,364.52288461678205,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),284.65058973794095,364.52288461678205,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),159.2627869853402,222.75933872570835,(undefined),(undefined),159.2627869853402,222.75933872570835,(undefined),(undefined),381.8199392319048,511.6591552951528,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,841.0439984309672,(undefined)
Frequencies predict kernels1,,284.65058973794095,365.0584953999703,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,365.0584953999703,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,365.0584953999703,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,222.83688638800666,,,159.2627869853402,222.83688638800666,,,381.8199392319048,512.317136997464,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies predict kernels2,,284.65058973794095,369.3268941633874,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,369.3268941633874,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,369.3268941633874,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,223.45734073105942,,,159.2627869853402,223.45734073105942,,,381.8199392319048,517.5643890331957,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies predict kernels3,,284.65058973794095,402.0118333134956,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,402.0118333134956,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,402.0118333134956,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,228.37652250683485,,,159.2627869853402,228.37652250683485,,,381.8199392319048,557.966411514353,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies predict kernels4,,284.65058973794095,550.635376479239,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,550.635376479239,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,550.635376479239,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,264.67650637982337,,,159.2627869853402,264.67650637982337,,,381.8199392319048,746.13466600492,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies predict de-grid0,8192.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1009.991056768289,727.1815092638062,(undefined),8192.0,1009.991056768289,727.1815092638062,(undefined),8192.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,8192.0,8192.0
Frequencies predict de-grid1,8192.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,2019.558553451659,1453.9394929925988,,8192.0,2019.558553451659,1453.9394929925988,,8192.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,8192.0,8192.0
Frequencies predict de-grid2,8192.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,4038.693502406632,2907.4553987723175,,8192.0,4038.693502406632,2907.4553987723175,,8192.0,8192.0,6662.459115881312,8192.0,3428.279241973887,3428.279241973887,3428.279241973887,8192.0,8192.0
Frequencies predict de-grid3,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8076.963378093995,5814.487179478897,,8192.0,8076.963378093995,5814.487179478897,,8192.0,8192.0,8192.0,8192.0,6855.585666930379,6855.585666930379,6855.585666930379,8192.0,8192.0
Frequencies predict de-grid4,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,(undefined),8192.0,8192.0,8192.0,(undefined),8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total1,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total2,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total3,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies total4,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies backward kernels0,(undefined),284.65058973794095,364.52288461678205,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),284.65058973794095,364.52288461678205,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),284.65058973794095,364.52288461678205,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,(undefined),(undefined),159.2627869853402,222.75933872570835,(undefined),(undefined),159.2627869853402,222.75933872570835,(undefined),(undefined),381.8199392319048,511.6591552951528,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,841.0439984309672,(undefined)
Frequencies backward kernels1,,284.65058973794095,365.0584953999703,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,365.0584953999703,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,365.0584953999703,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,222.83688638800666,,,159.2627869853402,222.83688638800666,,,381.8199392319048,512.317136997464,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies backward kernels2,,284.65058973794095,369.3268941633874,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,369.3268941633874,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,369.3268941633874,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,223.45734073105942,,,159.2627869853402,223.45734073105942,,,381.8199392319048,517.5643890331957,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies backward kernels3,,284.65058973794095,402.0118333134956,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,402.0118333134956,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,402.0118333134956,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,228.37652250683485,,,159.2627869853402,228.37652250683485,,,381.8199392319048,557.966411514353,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies backward kernels4,,284.65058973794095,550.635376479239,284.65058973881924,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,550.635376479239,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,284.65058973794095,550.635376479239,238.87218433604028,206.14181953401996,223.9400567292096,432.29572934027203,,,159.2627869853402,264.67650637982337,,,159.2627869853402,264.67650637982337,,,381.8199392319048,746.13466600492,381.8199392334274,285.0462809903453,286.8093748246118,305.357270927415,977.7423828379634,
Frequencies backward grid0,8192.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,8192.0,1009.991056768289,727.1815092638062,(undefined),8192.0,1009.991056768289,727.1815092638062,(undefined),8192.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,8192.0,8192.0
Frequencies backward grid1,8192.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,8192.0,2019.558553451659,1453.9394929925988,,8192.0,2019.558553451659,1453.9394929925988,,8192.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,8192.0,8192.0
Frequencies backward grid2,8192.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,8192.0,8192.0,4038.693502406632,2907.4553987723175,,8192.0,4038.693502406632,2907.4553987723175,,8192.0,8192.0,6662.459115881312,8192.0,3428.279241973887,3428.279241973887,3428.279241973887,8192.0,8192.0
Frequencies backward grid3,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,4882.239853545328,4882.239853545328,8192.0,8192.0,8192.0,8076.963378093995,5814.487179478897,,8192.0,8076.963378093995,5814.487179478897,,8192.0,8192.0,8192.0,8192.0,6855.585666930379,6855.585666930379,6855.585666930379,8192.0,8192.0
Frequencies backward grid4,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0,8192.0
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,(undefined),1195.37664,1195.37664,1195.37664,(undefined),1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664,1195.37664
Averaged rate0 [M/s],551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,(undefined),551.3094779602206,551.3094779602206,551.3094779602206,(undefined),551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206,551.3094779602206
Averaged rate1 [M/s],155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,,155.59979814873407,155.59979814873407,155.59979814873407,,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407,155.59979814873407
Averaged rate2 [M/s],176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,,176.03080741273237,176.03080741273237,176.03080741273237,,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237,176.03080741273237
Averaged rate3 [M/s],221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,,221.3268281666801,221.3268281666801,221.3268281666801,,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801,221.3268281666801
Averaged rate4 [M/s],86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,,86.44939053385501,86.44939053385501,86.44939053385501,,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501,86.44939053385501
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,49.61785301641986,(undefined)
Predict rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,19.44997476859176,
Predict rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,58.67693580424412,128.84744284309275,58.67693580424412,9.208416183486534,9.208416183486534,9.208416183486534,44.00770185318309,
Predict rate3 [M/s],,221.3268281666801,199.1941453500121,221.3268281666801,32.97639957074414,32.97639957074414,110.66341408334004,,,221.3268281666801,199.1941453500121,110.66341408334004,32.97639957074414,32.97639957074414,110.66341408334004,,,221.3268281666801,199.1941453500121,110.66341408334004,32.97639957074414,32.97639957074414,110.66341408334004,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,221.3268281666801,199.1941453500121,221.3268281666801,46.30508517110153,46.30508517110153,46.30508517110153,110.66341408334004,
Predict rate4 [M/s],,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,,,86.44939053385501,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,43.224695266927505,86.44939053385501,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,49.61785301641986,(undefined)
Backward rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,19.44997476859176,
Backward rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,58.67693580424412,128.84744284309275,58.67693580424412,9.208416183486534,9.208416183486534,9.208416183486534,44.00770185318309,
Backward rate3 [M/s],,221.3268281666801,199.1941453500121,221.3268281666801,32.97639957074414,32.97639957074414,110.66341408334004,,,221.3268281666801,199.1941453500121,110.66341408334004,32.97639957074414,32.97639957074414,110.66341408334004,,,221.3268281666801,199.1941453500121,110.66341408334004,32.97639957074414,32.97639957074414,110.66341408334004,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,221.3268281666801,199.1941453500121,221.3268281666801,46.30508517110153,46.30508517110153,46.30508517110153,110.66341408334004,
Backward rate4 [M/s],,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,86.44939053385501,,,86.44939053385501,86.44939053385501,,,86.44939053385501,86.44939053385501,,,86.44939053385501,86.44939053385501,86.44939053385501,43.224695266927505,43.224695266927505,43.224695266927505,86.44939053385501,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
