,hpso01 (Ingest) [Na=512] [Bmax=32500.0],hpso01 (RCAL) [Na=512] [Bmax=32500.0],hpso01 (FastImg) [Na=512] [Bmax=32500.0],hpso01 (ICAL) [Na=512] [Bmax=32500.0],hpso01 (DPrepA) [Na=512] [Bmax=32500.0],hpso01 (DPrepB) [Na=512] [Bmax=32500.0],hpso01 (DPrepC) [Na=512] [Bmax=32500.0],hpso01 (DPrepD) [Na=512] [Bmax=32500.0],hpso02a (Ingest) [Na=512] [Bmax=32500.0],hpso02a (RCAL) [Na=512] [Bmax=32500.0],hpso02a (FastImg) [Na=512] [Bmax=32500.0],hpso02a (ICAL) [Na=512] [Bmax=32500.0],hpso02a (DPrepA) [Na=512] [Bmax=32500.0],hpso02a (DPrepB) [Na=512] [Bmax=32500.0],hpso02a (DPrepC) [Na=512] [Bmax=32500.0],hpso02a (DPrepD) [Na=512] [Bmax=32500.0],hpso02b (Ingest) [Na=512] [Bmax=32500.0],hpso02b (RCAL) [Na=512] [Bmax=32500.0],hpso02b (FastImg) [Na=512] [Bmax=32500.0],hpso02b (ICAL) [Na=512] [Bmax=32500.0],hpso02b (DPrepA) [Na=512] [Bmax=32500.0],hpso02b (DPrepB) [Na=512] [Bmax=32500.0],hpso02b (DPrepC) [Na=512] [Bmax=32500.0],hpso02b (DPrepD) [Na=512] [Bmax=32500.0],hpso04a (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso04a (PSS) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],hpso05a (PST) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (Ingest) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (RCAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (FastImg) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (ICAL) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepA) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepB) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepC) [Nf_max=32768] [Na=512] [Bmax=32500.0],max_low (DPrepD) [Nf_max=32768] [Na=512] [Bmax=32500.0]
Frequencies predict de-grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies predict de-grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies predict de-grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,8076.963378093995,5814.487179478897,,32768.0,8076.963378093995,5814.487179478897,,32768.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies total0,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,8076.963378093996,5814.487179478897,(undefined),32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total1,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total2,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies total3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,9488.714533153065,32768.0,8076.963378093996,5814.487179478897,,32768.0,8076.963378093996,5814.487179478897,,32768.0,18508.427384292594,13323.945347729323,18508.427384292594,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,16384.0
Frequencies backward kernels0,(undefined),225.9162298390282,364.52288461678205,225.9162298387357,194.48350847790317,201.01023571498357,388.41379401456174,(undefined),(undefined),225.9162298390282,364.52288461678205,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,(undefined),(undefined),225.9162298390282,364.52288461678205,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,(undefined),(undefined),132.88286658704135,222.75933872570835,(undefined),(undefined),132.88286658704135,222.75933872570835,(undefined),(undefined),305.8926815736361,511.6591552951528,305.8926815736466,270.9216179026776,271.4392963107915,278.14587339960946,619.1859535971914,(undefined)
Frequencies backward kernels1,,225.9162298390282,365.0584953999703,225.9162298387357,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,365.0584953999703,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,365.0584953999703,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,132.88286658704135,222.83688638800666,,,132.88286658704135,222.83688638800666,,,305.8926815736361,512.317136997464,305.8926815736466,270.9216179026776,271.4392963107915,278.14587339960946,619.1859535971914,
Frequencies backward kernels2,,225.9162298390282,369.3268941633874,225.9162298387357,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,369.3268941633874,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,369.3268941633874,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,132.88286658704135,223.45734073105942,,,132.88286658704135,223.45734073105942,,,305.8926815736361,517.5643890331957,305.8926815736466,270.9216179026776,271.4392963107915,278.14587339960946,619.1859535971914,
Frequencies backward kernels3,,225.9162298390282,391.2289828832014,225.9162298387357,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,391.2289828832014,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,225.9162298390282,391.2289828832014,206.37136870516318,194.48350847790317,201.01023571498357,388.41379401456174,,,132.88286658704135,228.37652039260337,,,132.88286658704135,228.37652039260337,,,305.8926815736361,541.0929838221537,305.8926815736466,270.9216179026776,271.4392963107915,278.14587339960946,619.1859535971914,
Frequencies backward grid0,32768.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,1009.991056768289,727.1815092638062,(undefined),32768.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,32768.0,(undefined)
Frequencies backward grid1,32768.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,2019.558553451659,1453.9394929925988,,32768.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,32768.0,
Frequencies backward grid2,32768.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,4038.693502406632,2907.4553987723175,,32768.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,32768.0,
Frequencies backward grid3,32768.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,32768.0,8076.963378093995,5814.487179478897,,32768.0,8076.963378093995,5814.487179478897,,32768.0,18508.427384292598,13323.945347729323,18508.427384292598,6855.585666930379,6855.585666930379,6855.585666930379,32768.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],2824.2214613446336,2824.2214613446336,4435.70899786458,2824.2214613446336,2824.2214613446336,2824.2214613446336,4435.70899786458,4435.70899786458,2824.2214613446336,2824.2214613446336,4435.70899786458,2824.2214613446336,2824.2214613446336,2824.2214613446336,4435.70899786458,4435.70899786458,2824.2214613446336,2824.2214613446336,4435.70899786458,2824.2214613446336,2824.2214613446336,2824.2214613446336,4435.70899786458,4435.70899786458,2831.5368241604824,2831.5368241604824,4435.70899786458,(undefined),2831.5368241604824,2831.5368241604824,4435.70899786458,(undefined),2825.25007746134,2825.25007746134,4435.70899786458,2825.25007746134,2825.25007746134,2825.25007746134,2825.25007746134,4435.70899786458,4435.70899786458
Averaged rate0 [M/s],1404.0777339068322,564.7877545434173,638.5764472395233,564.7877545434173,209.199349058702,209.199349058702,638.5764472395233,638.5764472395233,1404.0777339068322,564.7877545434173,638.5764472395233,376.5350694954862,209.199349058702,209.199349058702,638.5764472395233,638.5764472395233,1404.0777339068322,564.7877545434173,638.5764472395233,376.5350694954862,209.199349058702,209.199349058702,638.5764472395233,638.5764472395233,1407.7146080633981,346.98667407641625,391.3063832427864,(undefined),1407.7146080633981,346.98667407641625,391.3063832427864,(undefined),1404.5891162491778,793.3574115864752,896.6818059115188,793.3574115864752,293.8623356104819,293.8623356104819,293.8623356104819,2205.2379118408826,1102.6189559204413
Averaged rate1 [M/s],396.28234361100334,159.40386319673158,180.22974439081742,159.40386319673158,59.04374546002149,59.04374546002149,180.22974439081742,180.22974439081742,396.28234361100334,159.40386319673158,180.22974439081742,106.27203621854773,59.04374546002149,59.04374546002149,180.22974439081742,180.22974439081742,396.28234361100334,159.40386319673158,180.22974439081742,106.27203621854773,59.04374546002149,59.04374546002149,180.22974439081742,180.22974439081742,397.30880317187973,97.9323929752694,110.44104388004375,,397.30880317187973,97.9323929752694,110.44104388004375,,396.42667450395334,223.9146215287176,253.07656331194417,223.9146215287176,82.93875206659477,82.93875206659477,82.93875206659477,622.3991925949363,311.19959629746813
Averaged rate2 [M/s],448.3161401184781,180.33436467833673,203.8947852270339,180.33436467833673,66.79647602154678,66.79647602154678,203.8947852270339,203.8947852270339,448.3161401184781,180.33436467833673,203.8947852270339,120.22607075019712,66.79647602154678,66.79647602154678,203.8947852270339,203.8947852270339,448.3161401184781,180.33436467833673,203.8947852270339,120.22607075019712,66.79647602154678,66.79647602154678,203.8947852270339,203.8947852270339,449.47737880533595,110.79139184241882,124.94248936702284,,449.47737880533595,110.79139184241882,124.94248936702284,,448.47942235870505,253.3156989158808,286.3067452983291,253.3156989158808,93.82901305650495,93.82901305650495,93.82901305650495,704.1232296509295,352.06161482546474
Averaged rate3 [M/s],563.6762721635664,226.73777124777732,256.36072888206155,226.73777124777732,83.98445924239583,83.98445924239583,256.36072888206155,256.36072888206155,563.6762721635664,226.73777124777732,256.36072888206155,151.162488505176,83.98445924239583,83.98445924239583,256.36072888206155,256.36072888206155,563.6762721635664,226.73777124777732,256.36072888206155,151.162488505176,83.98445924239583,83.98445924239583,256.36072888206155,256.36072888206155,565.1363192944307,139.30009016638036,157.09252988890262,,565.1363192944307,139.30009016638036,157.09252988890262,,563.8815699796506,318.49856846036585,359.9788284276275,318.49856846036585,117.97297390743081,117.97297390743081,117.97297390743081,885.3073126667203,442.6536563333602
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.198465247567789,44.04441557972399,(undefined),(undefined),6.198465247567789,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,198.47141206567943,(undefined)
Predict rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,5.633413648027376,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.633413648027376,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.633413648027376,,,8.162316811191927,24.85466582850452,,,8.162316811191927,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,77.79989907436703,
Predict rate2 [M/s],,45.08596187220892,91.75935536082312,45.08596187220892,6.680595798442797,6.680595798442797,25.488709822450865,,,45.08596187220892,91.75935536082312,20.039258885188904,6.680595798442797,6.680595798442797,25.488709822450865,,,45.08596187220892,91.75935536082312,20.039258885188904,6.680595798442797,6.680595798442797,25.488709822450865,,,55.3986013568077,56.228216458271355,,,55.3986013568077,56.228216458271355,,,63.332253642864984,128.84744284309275,63.332253642864984,9.38423275222649,9.38423275222649,9.38423275222649,176.03080741273237,
Predict rate3 [M/s],,226.73777124777732,230.7246559938554,226.73777124777732,41.992229621197914,41.992229621197914,128.18036444103078,,,226.73777124777732,230.7246559938554,151.16248850517596,41.992229621197914,41.992229621197914,128.18036444103078,,,226.73777124777732,230.7246559938554,151.16248850517596,41.992229621197914,41.992229621197914,128.18036444103078,,,139.30009016638036,141.38327690001233,,,139.30009016638036,141.38327690001233,,,318.49856846036585,323.98094558486474,318.49856846036585,58.986486953715406,58.986486953715406,58.986486953715406,442.6536563333602,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.198465247567789,44.04441557972399,(undefined),(undefined),6.198465247567789,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,198.47141206567943,(undefined)
Backward rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,5.633413648027376,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.633413648027376,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.633413648027376,,,8.162316811191927,24.85466582850452,,,8.162316811191927,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,77.79989907436703,
Backward rate2 [M/s],,45.08596187220892,91.75935536082312,45.08596187220892,6.680595798442797,6.680595798442797,25.488709822450865,,,45.08596187220892,91.75935536082312,20.039258885188904,6.680595798442797,6.680595798442797,25.488709822450865,,,45.08596187220892,91.75935536082312,20.039258885188904,6.680595798442797,6.680595798442797,25.488709822450865,,,55.3986013568077,56.228216458271355,,,55.3986013568077,56.228216458271355,,,63.332253642864984,128.84744284309275,63.332253642864984,9.38423275222649,9.38423275222649,9.38423275222649,176.03080741273237,
Backward rate3 [M/s],,226.73777124777732,230.7246559938554,226.73777124777732,41.992229621197914,41.992229621197914,128.18036444103078,,,226.73777124777732,230.7246559938554,151.16248850517596,41.992229621197914,41.992229621197914,128.18036444103078,,,226.73777124777732,230.7246559938554,151.16248850517596,41.992229621197914,41.992229621197914,128.18036444103078,,,139.30009016638036,141.38327690001233,,,139.30009016638036,141.38327690001233,,,318.49856846036585,323.98094558486474,318.49856846036585,58.986486953715406,58.986486953715406,58.986486953715406,442.6536563333602,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
