,hpso01 (Ingest) [Na=256] [Bmax=4062.5],hpso01 (RCAL) [Na=256] [Bmax=4062.5],hpso01 (FastImg) [Na=256] [Bmax=4062.5],hpso01 (ICAL) [Na=256] [Bmax=4062.5],hpso01 (DPrepA) [Na=256] [Bmax=4062.5],hpso01 (DPrepB) [Na=256] [Bmax=4062.5],hpso01 (DPrepC) [Na=256] [Bmax=4062.5],hpso01 (DPrepD) [Na=256] [Bmax=4062.5],hpso02a (Ingest) [Na=256] [Bmax=4062.5],hpso02a (RCAL) [Na=256] [Bmax=4062.5],hpso02a (FastImg) [Na=256] [Bmax=4062.5],hpso02a (ICAL) [Na=256] [Bmax=4062.5],hpso02a (DPrepA) [Na=256] [Bmax=4062.5],hpso02a (DPrepB) [Na=256] [Bmax=4062.5],hpso02a (DPrepC) [Na=256] [Bmax=4062.5],hpso02a (DPrepD) [Na=256] [Bmax=4062.5],hpso02b (Ingest) [Na=256] [Bmax=4062.5],hpso02b (RCAL) [Na=256] [Bmax=4062.5],hpso02b (FastImg) [Na=256] [Bmax=4062.5],hpso02b (ICAL) [Na=256] [Bmax=4062.5],hpso02b (DPrepA) [Na=256] [Bmax=4062.5],hpso02b (DPrepB) [Na=256] [Bmax=4062.5],hpso02b (DPrepC) [Na=256] [Bmax=4062.5],hpso02b (DPrepD) [Na=256] [Bmax=4062.5],hpso04a (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso04a (PSS) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],hpso05a (PST) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (Ingest) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (RCAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (FastImg) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (ICAL) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepA) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepA_Image) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepB) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepC) [Nf_max=32768] [Na=256] [Bmax=4062.5],max_low (DPrepD) [Nf_max=32768] [Na=256] [Bmax=4062.5]
-> DFT [PetaFLOP/s],,0.0006336275076717085,0.005158890378162695,0.005702647569045377,0.0025832899851136633,0.0025832899851136633,0.012328842063908746,,,0.0006336275076717085,0.005158890378162695,0.003802564170976141,0.0025832899851136633,0.0025832899851136633,0.012328842063908746,,,0.0006336275076717085,0.005158890378162695,0.003802564170976141,0.0025832899851136633,0.0025832899851136633,0.012328842063908746,,,0.0001946395710443845,0.0015806283491965002,,,0.0001946395710443845,0.0015806283491965002,,,0.0004450282500198643,0.0036220270105980536,0.0040052542501787785,0.0018143731275233987,0.0018143731275233987,0.0018143731275233987,0.1347128784704321,
-> Subtract Visibility [PetaFLOP/s],,3.5243122504064575e-08,1.4347183746071598e-07,3.171881025365812e-07,7.18428448154233e-08,1.436856896308466e-07,6.857449935976019e-07,,,3.5243122504064575e-08,1.4347183746071598e-07,2.1150318331304764e-07,7.18428448154233e-08,1.436856896308466e-07,6.857449935976019e-07,,,3.5243122504064575e-08,1.4347183746071598e-07,2.1150318331304764e-07,7.18428448154233e-08,1.436856896308466e-07,6.857449935976019e-07,,,1.0826086562532785e-08,4.395822298563451e-08,,,1.0826086562532785e-08,4.395822298563451e-08,,,2.4753005422463064e-08,1.0073074487927383e-07,2.2277704880216757e-07,5.0458805549932266e-08,5.0458805549932266e-08,1.0091761109986453e-07,7.492891993048466e-06,
-> Flag [PetaFLOP/s],9.904222398861047e-05,4.916415589317007e-06,2.0014321325769878e-05,4.424774030385306e-05,1.002207685175155e-05,2.00441537035031e-05,9.566142660686547e-05,0.0005224389378422947,9.904222398861047e-05,4.916415589317007e-06,2.0014321325769878e-05,2.950469407217015e-05,1.002207685175155e-05,2.00441537035031e-05,9.566142660686547e-05,0.0005224389378422947,9.904222398861047e-05,4.916415589317007e-06,2.0014321325769878e-05,2.950469407217015e-05,1.002207685175155e-05,2.00441537035031e-05,9.566142660686547e-05,0.0005224389378422947,4.964938270757648e-05,1.5102390754733234e-06,6.132172106496015e-06,,4.964938270757648e-05,1.5102390754733234e-06,6.132172106496015e-06,,4.953914819104539e-05,3.4530442564335977e-06,1.4051938910658699e-05,3.1077398307902375e-05,7.039003374215552e-06,7.039003374215552e-06,1.4078006748431103e-05,0.001045258433030261,0.0005226292165151305
-> Degrid [PetaFLOP/s],,5.6920566372302706e-05,4.6504421631981994e-05,0.0005122850973508133,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,5.6920566372302706e-05,4.6504421631981994e-05,0.00032471643870102723,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,5.6920566372302706e-05,4.6504421631981994e-05,0.00032471643870102723,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,1.7053710059396576e-05,1.4243882615850944e-05,,,1.7053710059396576e-05,1.4243882615850944e-05,,,3.913343290041594e-05,3.264877106788318e-05,0.00035220089610379045,0.00037407486864529524,7.482083917596901e-05,0.0001512560006286794,0.005903537738044133,
-> Image Spectral Fitting [PetaFLOP/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2178929584549816e-09,,,
-> Visibility Weighting [PetaFLOP/s],,3.188314547581678e-07,1.1477746996857279e-06,2.8694830928235103e-06,6.499355646998925e-07,1.299871129399785e-06,3.191767315413812e-06,,,3.188314547581678e-07,1.1477746996857279e-06,1.9133908357270356e-06,6.499355646998925e-07,1.299871129399785e-06,3.191767315413812e-06,,,3.188314547581678e-07,1.1477746996857279e-06,1.9133908357270356e-06,6.499355646998925e-07,1.299871129399785e-06,3.191767315413812e-06,,,9.768655890464486e-08,3.516657838850761e-07,,,9.768655890464486e-08,3.516657838850761e-07,,,2.2384972833893444e-07,8.058459590341906e-07,2.01464755505041e-06,4.5631589869120313e-07,4.5631589869120313e-07,9.126317973824063e-07,3.486261046382659e-05,
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,,,,,,,,,,,0.00019582977166666667,1.1967374935185184e-05,1.1967374935185184e-05,0.0017096249907407406,0.22408396678637038,
-> Demix [PetaFLOP/s],0.005800008455057105,,,,,,,,0.005800008455057105,,,,,,,,0.005800008455057105,,,,,,,,0.0029074974519297213,,,,0.0029074974519297213,,,,0.0029010578528345233,,,,,,,,
-> FFT [PetaFLOP/s],,1.5319885701634644e-05,3.5684705359384775e-06,0.00013787897131453984,2.4257373819056857e-05,7.881682470776187e-05,0.000237177953133262,,,1.5319885701634644e-05,3.5684705359384775e-06,4.29568143158882e-05,2.4257373819056857e-05,7.881682470776187e-05,0.000237177953133262,,,1.5319885701634644e-05,3.5684705359384775e-06,4.29568143158882e-05,2.4257373819056857e-05,7.881682470776187e-05,0.000237177953133262,,,3.556752870023105e-06,1.804261106222389e-06,,,3.556752870023105e-06,1.804261106222389e-06,,,8.311432017974995e-06,1.7870352245179906e-06,7.480288816168464e-05,1.3179283302462471e-05,2.6243769514204343e-06,4.28078623869084e-05,0.00358073643333596,
-> Grid [PetaFLOP/s],,5.6920566372302706e-05,4.6504421631981994e-05,0.0005122850973508133,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,5.6920566372302706e-05,4.6504421631981994e-05,0.00032471643870102723,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,5.6920566372302706e-05,4.6504421631981994e-05,0.00032471643870102723,0.0005346512224550816,0.00021684942242535392,0.0005323918005830003,,,1.7053710059396576e-05,1.4243882615850944e-05,,,1.7053710059396576e-05,1.4243882615850944e-05,,,3.913343290041594e-05,3.264877106788318e-05,0.00035220089610379045,0.00037407486864529524,7.482083917596901e-05,0.0001512560006286794,0.005903537738044133,
-> Gridding Kernel Update [PetaFLOP/s],,0.00021770353320821865,0.0001453208906091203,0.0019593317988743915,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,0.00021770353320821865,0.0001453208906091203,0.001253268487095354,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,0.00021770353320821865,0.0001453208906091203,0.001253268487095354,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,6.484223537189667e-05,4.447853685403969e-05,,,6.484223537189667e-05,4.447853685403969e-05,,,0.00014886942401455978,0.0001020130450936299,0.0013398248161312616,0.0002921016847888807,0.00029213007070780147,0.0005920808402708335,0.015137720826804339,
-> Correct [PetaFLOP/s],,1.6916698801950996e-05,1.7216620495285916e-05,0.00015225028921755896,3.4484565511403185e-05,6.896913102280637e-05,0.00032915759692684894,0.0017976393560164975,,1.6916698801950996e-05,1.7216620495285916e-05,0.00010152152799026287,3.4484565511403185e-05,6.896913102280637e-05,0.00032915759692684894,0.0017976393560164975,,1.6916698801950996e-05,1.7216620495285916e-05,0.00010152152799026287,3.4484565511403185e-05,6.896913102280637e-05,0.00032915759692684894,0.0017976393560164975,,5.196521550015737e-06,5.274986758276141e-06,,,5.196521550015737e-06,5.274986758276141e-06,,,1.1881442602782268e-05,1.208768938551286e-05,0.00010693298342504042,2.4220226663967487e-05,2.4220226663967487e-05,4.8440453327934975e-05,0.0035965881566632635,0.0017982940783316317
-> IFFT [PetaFLOP/s],,7.659942850817322e-05,3.5684705359384775e-06,0.0006893948565726993,2.4257373819056857e-05,3.152672988310474e-05,3.162372708443493e-05,,,7.659942850817322e-05,3.5684705359384775e-06,0.00021478407157944095,2.4257373819056857e-05,3.152672988310474e-05,3.162372708443493e-05,,,7.659942850817322e-05,3.5684705359384775e-06,0.00021478407157944095,2.4257373819056857e-05,3.152672988310474e-05,3.162372708443493e-05,,,1.7783764350115525e-05,1.804261106222389e-06,,,1.7783764350115525e-05,1.804261106222389e-06,,,4.155716008987498e-05,1.7870352245179906e-06,0.0003740144408084232,1.3179283302462471e-05,1.3121884757102174e-05,1.7123144954763357e-05,1.0927540384936402e-05,
-> Identify Component [PetaFLOP/s],,,,8.393183633314094e-05,1.0258553246754313e-05,0.0010258553246754313,0.003077565974026294,,,,,8.392917448139598e-05,1.0258553246754313e-05,0.0010258553246754313,0.003077565974026294,,,,,8.392917448139598e-05,1.0258553246754313e-05,0.0010258553246754313,0.003077565974026294,,,,,,,,,,,,,4.896024193503604e-05,5.984156743649034e-06,5.984156743649034e-06,0.0004274397674035024,0.056025385193111864,
-> Average [PetaFLOP/s],2.850135942118287e-06,,,,,,,,2.850135942118287e-06,,,,,,,,2.850135942118287e-06,,,,,,,,1.4287592146065176e-06,,,,1.4287592146065176e-06,,,,1.4255869983034644e-06,,,,,,,,
-> Phase Rotation Predict [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [PetaFLOP/s],1.4268790323910455e-06,,,,,,,,1.4268790323910455e-06,,,,,,,,1.4268790323910455e-06,,,,,,,,7.15287483495385e-07,,,,7.15287483495385e-07,,,,7.13699359623065e-07,,,,,,,,
-> Solve [PetaFLOP/s],,1.7114954100812914e-06,,0.00011119391361040531,,,,,,1.7114954100812914e-06,,8.113242547571134e-05,,,,,,1.7114954100812914e-06,,8.113242547571134e-05,,,,,,7.198382112506557e-07,,,,7.198382112506557e-07,,,,9.983765884492612e-07,,7.787998572150543e-05,,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.00021770353320821865,0.0001453208906091203,0.0019593317988743915,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,0.00021770353320821865,0.0001453208906091203,0.001253268487095354,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,0.00021770353320821865,0.0001453208906091203,0.001253268487095354,0.0004178409089187768,0.0008501758794289349,0.002073410119398182,,,6.484223537189667e-05,4.447853685403969e-05,,,6.484223537189667e-05,4.447853685403969e-05,,,0.00014886942401455978,0.0001020130450936299,0.0013398248161312616,0.0002921016847888807,0.00029213007070780147,0.0005920808402708335,0.015137720826804339,
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Reprojection [PetaFLOP/s],,2.555377675172841e-07,,2.2998399076555574e-06,9.639627718416068e-07,4.819813859208033e-06,1.4459441577624101e-05,,,2.555377675172841e-07,,1.0221510700691364e-06,9.639627718416068e-07,4.819813859208033e-06,1.4459441577624101e-05,,,2.555377675172841e-07,,1.0221510700691364e-06,9.639627718416068e-07,4.819813859208033e-06,1.4459441577624101e-05,,,1.2909783555193717e-07,,,,1.2909783555193717e-07,,,,1.2795512545710995e-07,,1.1515961291139894e-06,4.826839437682473e-07,1.206709859420618e-08,2.413419718841236e-06,0.00031633174938795847,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,,,3e-12,,,,,,,,3e-12,,,,,,,,,,,,,,,,2.5e-12,,,,,
-> Reprojection Predict [PetaFLOP/s],,1.2776888375864205e-06,,1.1499199538277785e-05,9.639627718416068e-07,1.9279255436832136e-06,1.9279255436832136e-06,,,1.2776888375864205e-06,,5.110755350345682e-06,9.639627718416068e-07,1.9279255436832136e-06,1.9279255436832136e-06,,,1.2776888375864205e-06,,5.110755350345682e-06,9.639627718416068e-07,1.9279255436832136e-06,1.9279255436832136e-06,,,6.454891777596859e-07,,,,6.454891777596859e-07,,,,6.397756272855496e-07,,5.757980645569947e-06,4.826839437682473e-07,1.206709859420618e-08,9.653678875364946e-07,9.653678875364946e-07,
-> DFT [Tera/s],,0.00021145873502438742,0.0008608310247642959,0.0019031286152194867,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,6.49565193751967e-05,0.0002637493379138071,,,6.49565193751967e-05,0.0002637493379138071,,,0.00014851803253477836,0.000604384469275643,0.0013366622928130051,0.00030275283329959354,0.00030275283329959354,0.0006055056665991871,0.0449573519582908,
-> Subtract Visibility [Tera/s],,0.00021145873502438742,0.0008608310247642959,0.0019031286152194867,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925398,0.0008621141377850795,0.004114469961585611,,,6.49565193751967e-05,0.0002637493379138071,,,6.49565193751967e-05,0.0002637493379138071,,,0.00014851803253477836,0.000604384469275643,0.0013366622928130051,0.00030275283329959354,0.00030275283329959354,0.0006055056665991871,0.0449573519582908,
-> Flag [Tera/s],0.00427520391317743,0.00021145873502438742,0.0008608310247642959,0.0019031286152194867,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,0.00427520391317743,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,0.00427520391317743,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,0.002143138821909776,6.49565193751967e-05,0.0002637493379138071,,0.002143138821909776,6.49565193751967e-05,0.0002637493379138071,,0.0021383804974551964,0.00014851803253477836,0.000604384469275643,0.0013366622928130051,0.00030275283329959354,0.00030275283329959354,0.0006055056665991871,0.0449573519582908,0.0224786759791454
-> Degrid [Tera/s],,0.00023912359106862584,0.0008608310247642959,0.0021521123196176326,0.002437258367624597,0.0009749033470498389,0.002393825486560359,,,0.00023912359106862584,0.0008608310247642959,0.0014350431267952767,0.002437258367624597,0.0009749033470498389,0.002393825486560359,,,0.00023912359106862584,0.0008608310247642959,0.0014350431267952767,0.002437258367624597,0.0009749033470498389,0.002393825486560359,,,7.326491917848365e-05,0.0002637493379138071,,,7.326491917848365e-05,0.0002637493379138071,,,0.00016788729625420086,0.000604384469275643,0.0015109856662878075,0.0017111846200920117,0.0003422369240184023,0.0006844738480368046,0.026146957847869946,
-> Image Spectral Fitting [Tera/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3631549307583026e-08,,,
-> Visibility Weighting [Tera/s],,0.0001160642660150477,0.0005803213300752385,0.0010445783941354294,0.0006383534630827623,0.0012767069261655245,0.0012767069261655245,,,0.0001160642660150477,0.0005803213300752385,0.0010445783941354294,0.0006383534630827623,0.0012767069261655245,0.0012767069261655245,,,0.0001160642660150477,0.0005803213300752385,0.0010445783941354294,0.0006383534630827623,0.0012767069261655245,0.0012767069261655245,,,5.803213300752385e-05,0.00029016066503761924,,,5.803213300752385e-05,0.00029016066503761924,,,5.803213300752385e-05,0.00029016066503761924,0.0005222891970677147,0.00031917673154138114,0.00031917673154138114,0.0006383534630827623,0.0006383534630827623,
-> Subtract Image Component [Tera/s],,,,1.916533256379631e-06,3.2132092394720225e-07,3.213209239472023e-05,9.639627718416068e-05,,,,,8.517925583909468e-07,3.2132092394720225e-07,3.213209239472023e-05,9.639627718416068e-05,,,,,8.517925583909468e-07,3.2132092394720225e-07,3.213209239472023e-05,9.639627718416068e-05,,,,,,,,,,,,,1.119607347749712e-06,1.877104225765406e-07,1.877104225765406e-07,1.3407887326895754e-05,0.0017573986077108806,
-> Demix [Tera/s],0.00427520391317743,,,,,,,,0.00427520391317743,,,,,,,,0.00427520391317743,,,,,,,,0.002143138821909776,,,,0.002143138821909776,,,,0.0021383804974551964,,,,,,,,
-> FFT [Tera/s],,4.0886042802765456e-05,0.0006057191526335625,0.0003679743852248891,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,2.0655653688309945e-05,0.00030600968427125835,,,2.0655653688309945e-05,0.00030600968427125835,,,2.0472820073137588e-05,0.00030330103812055664,0.00018425538065823833,7.722943100291955e-05,1.544588620058391e-05,0.00038614715501459777,0.05061307990207336,
-> Grid [Tera/s],,0.001685813270382057,0.0180223532922051,0.01517231943343851,0.0023595952771527625,0.0009438381108611049,0.002317546382216688,,,0.001685813270382057,0.0180223532922051,0.004497898597828332,0.0023595952771527625,0.0009438381108611049,0.002317546382216688,,,0.001685813270382057,0.0180223532922051,0.004497898597828332,0.0023595952771527625,0.0009438381108611049,0.002317546382216688,,,0.0005218858623950403,0.0055792051334605875,,,0.0005218858623950403,0.0055792051334605875,,,0.0011853245004458492,0.012671807117285315,0.010667920504012642,0.0016590705416513257,0.00033181410833026516,0.0006636282166605303,0.025350652997843927,
-> Gridding Kernel Update [Tera/s],,0.23196044725947226,5.673338978703075e-05,2.087644025341256,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.23196044725947226,5.673338978703075e-05,0.648170161021432,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.23196044725947226,5.673338978703075e-05,0.648170161021432,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.046522758232291045,1.9980051921733076e-06,,,0.046522758232291045,1.9980051921733076e-06,,,0.11004951967450123,3.259677615185933e-05,0.9904456770732699,0.034892404209862546,0.035238582143558815,0.18544670857879228,1.000931631042513,
-> Correct [Tera/s],,0.00021145873502438742,0.0008608310247642959,0.0019031286152194867,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,,0.00021145873502438742,0.0008608310247642959,0.001269019099878286,0.0004310570688925399,0.0008621141377850798,0.004114469961585611,0.022470491950206218,,6.49565193751967e-05,0.0002637493379138071,,,6.49565193751967e-05,0.0002637493379138071,,,0.00014851803253477836,0.000604384469275643,0.0013366622928130051,0.00030275283329959354,0.00030275283329959354,0.0006055056665991871,0.0449573519582908,0.0224786759791454
-> IFFT [Tera/s],,0.00020456229244354183,0.0006074801983630891,0.0018410606319918764,0.0001545030921477792,0.0003090061842955584,0.0003090061842955584,,,0.00020456229244354183,0.0006074801983630891,0.0008185133266335961,0.0001545030921477792,0.0003090061842955584,0.0003090061842955584,,,0.00020456229244354183,0.0006074801983630891,0.0008185133266335961,0.0001545030921477792,0.0003090061842955584,0.0003090061842955584,,,0.0001033446502120406,0.00030689477454447033,,,0.0001033446502120406,0.00030689477454447033,,,0.00010243018769389034,0.0003041822024965891,0.0009218716892450132,7.736405333814675e-05,7.736405333814675e-05,0.0001547281066762935,0.0001547281066762935,
-> Identify Component [Tera/s],,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,,,,,,,,,,,4.666666666666667e-10,5.703703703703703e-11,5.703703703703703e-11,4.074074074074074e-09,5.33997037037037e-07,
-> Average [Tera/s],0.0042039900839089105,,,,,,,,0.0042039900839089105,,,,,,,,0.0042039900839089105,,,,,,,,0.0021074396774334635,,,,0.0021074396774334635,,,,0.002102760614345638,,,,,,,,
-> Phase Rotation Predict [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Receive [Tera/s],0.00427520391317743,,,,,,,,0.00427520391317743,,,,,,,,0.00427520391317743,,,,,,,,0.002143138821909776,,,,0.002143138821909776,,,,0.0021383804974551964,,,,,,,,
-> Solve [Tera/s],,1.31072e-07,,2.730666666666667e-06,,,,,,1.31072e-07,,2.730666666666667e-06,,,,,,1.31072e-07,,2.730666666666667e-06,,,,,,6.5536e-08,,,,6.5536e-08,,,,6.5536e-08,,1.8896213333333336e-06,,,,,
-> Degridding Kernel Update [Tera/s],,0.23196044725947226,5.673338978703075e-05,2.087644025341256,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.23196044725947226,5.673338978703075e-05,0.648170161021432,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.23196044725947226,5.673338978703075e-05,0.648170161021432,0.07310963200639074,0.38891786151089514,0.7493318131183533,,,0.046522758232291045,1.9980051921733076e-06,,,0.046522758232291045,1.9980051921733076e-06,,,0.11004951967450123,3.259677615185933e-05,0.9904456770732699,0.034892404209862546,0.035238582143558815,0.18544670857879228,1.000931631042513,
-> Phase Rotation [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-> Reprojection [Tera/s],,4.0886042802765456e-05,,0.0003679743852248891,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,4.0886042802765456e-05,,0.0001635441712110618,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,4.0886042802765456e-05,,0.0001635441712110618,0.00015423404349465707,0.0007711702174732854,0.002313510652419856,,,2.0655653688309945e-05,,,,2.0655653688309945e-05,,,,2.0472820073137588e-05,,0.00018425538065823833,7.722943100291955e-05,1.9307357750729887e-06,0.00038614715501459777,0.05061307990207336,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> Reprojection Predict [Tera/s],,0.0002044302140138273,,0.0018398719261244457,0.00015423404349465707,0.00030846808698931414,0.00030846808698931414,,,0.0002044302140138273,,0.0008177208560553091,0.00015423404349465707,0.00030846808698931414,0.00030846808698931414,,,0.0002044302140138273,,0.0008177208560553091,0.00015423404349465707,0.00030846808698931414,0.00030846808698931414,,,0.00010327826844154972,,,,0.00010327826844154972,,,,0.00010236410036568795,,0.0009212769032911916,7.722943100291955e-05,1.9307357750729887e-06,0.0001544588620058391,0.0001544588620058391,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> DFT [Mvis/s],,2.202695156504036,17.9339796825895,2.202695156504036,0.8163959638116284,0.8163959638116284,3.896278372713647,,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,,,1.3532608203165981,10.989555746408628,,,1.3532608203165981,10.989555746408628,,,3.0941256778078827,25.182686219818457,3.0941256778078823,1.1467910352257331,1.1467910352257331,1.1467910352257331,85.14649992100532,
-> Subtract Visibility [Mvis/s],,2.202695156504036,17.9339796825895,2.202695156504036,0.8163959638116284,0.8163959638116284,3.896278372713647,,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,,,1.3532608203165981,10.989555746408628,,,1.3532608203165981,10.989555746408628,,,3.0941256778078827,25.182686219818457,3.0941256778078823,1.1467910352257331,1.1467910352257331,1.1467910352257331,85.14649992100532,
-> Flag [Mvis/s],,2.202695156504036,17.9339796825895,2.202695156504036,0.8163959638116284,0.8163959638116284,3.896278372713647,21.2788749528468,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,21.2788749528468,,2.202695156504036,17.9339796825895,1.4687721063406085,0.8163959638116284,0.8163959638116284,3.896278372713647,21.2788749528468,,1.3532608203165981,10.989555746408628,,,1.3532608203165981,10.989555746408628,,,3.0941256778078827,25.182686219818457,3.0941256778078823,1.1467910352257331,1.1467910352257331,1.1467910352257331,85.14649992100532,42.57324996050266
-> Degrid [Mvis/s],,177.87676991344594,5813.05270399775,177.87676991347686,30.377910366766,61.604949552657345,151.24767062017048,,,177.87676991344594,5813.05270399775,112.74876343785665,30.377910366766,61.604949552657345,151.24767062017048,,,177.87676991344594,5813.05270399775,112.74876343785665,30.377910366766,61.604949552657345,151.24767062017048,,,53.2928439356143,1780.485326981368,,,53.2928439356143,1780.485326981368,,,122.29197781379982,4081.0963834853974,122.29197781381612,21.25425390030086,21.255920220445738,42.970454724056644,1677.1414028534464,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.80518313047418,,,
