,hpso01 (Ingest) [Bmax=32500],hpso01 (RCAL) [Bmax=32500],hpso01 (FastImg) [Bmax=32500],hpso01 (ICAL) [Bmax=32500],hpso01 (DPrepA) [Bmax=32500],hpso01 (DPrepB) [Bmax=32500],hpso01 (DPrepC) [Bmax=32500],hpso01 (DPrepD) [Bmax=32500],hpso02a (Ingest) [Bmax=32500],hpso02a (RCAL) [Bmax=32500],hpso02a (FastImg) [Bmax=32500],hpso02a (ICAL) [Bmax=32500],hpso02a (DPrepA) [Bmax=32500],hpso02a (DPrepB) [Bmax=32500],hpso02a (DPrepC) [Bmax=32500],hpso02a (DPrepD) [Bmax=32500],hpso02b (Ingest) [Bmax=32500],hpso02b (RCAL) [Bmax=32500],hpso02b (FastImg) [Bmax=32500],hpso02b (ICAL) [Bmax=32500],hpso02b (DPrepA) [Bmax=32500],hpso02b (DPrepB) [Bmax=32500],hpso02b (DPrepC) [Bmax=32500],hpso02b (DPrepD) [Bmax=32500],hpso04a (Ingest) [Bmax=32500],hpso04a (RCAL) [Bmax=32500],hpso04a (FastImg) [Bmax=32500],hpso04a (PSS) [Bmax=32500],hpso04b (Ingest) [Bmax=32500],hpso04b (RCAL) [Bmax=32500],hpso04b (FastImg) [Bmax=32500],hpso04b (PSS) [Bmax=32500],hpso04c (Ingest) [Bmax=32500],hpso04c (RCAL) [Bmax=32500],hpso04c (FastImg) [Bmax=32500],hpso04c (PSS) [Bmax=32500],hpso05a (Ingest) [Bmax=32500],hpso05a (RCAL) [Bmax=32500],hpso05a (FastImg) [Bmax=32500],hpso05a (PST) [Bmax=32500],hpso05b (Ingest) [Bmax=32500],hpso05b (RCAL) [Bmax=32500],hpso05b (FastImg) [Bmax=32500],hpso05b (PST) [Bmax=32500],hpso13 (Ingest) [Bmax=32500],hpso13 (RCAL) [Bmax=32500],hpso13 (FastImg) [Bmax=32500],hpso13 (ICAL) [Bmax=32500],hpso13 (DPrepA) [Bmax=32500],hpso13 (DPrepB) [Bmax=32500],hpso13 (DPrepC) [Bmax=32500],hpso14 (Ingest) [Bmax=32500],hpso14 (RCAL) [Bmax=32500],hpso14 (FastImg) [Bmax=32500],hpso14 (ICAL) [Bmax=32500],hpso14 (DPrepA) [Bmax=32500],hpso14 (DPrepB) [Bmax=32500],hpso14 (DPrepC) [Bmax=32500],hpso15 (Ingest) [Bmax=32500],hpso15 (RCAL) [Bmax=32500],hpso15 (FastImg) [Bmax=32500],hpso15 (ICAL) [Bmax=32500],hpso15 (DPrepA) [Bmax=32500],hpso15 (DPrepB) [Bmax=32500],hpso15 (DPrepC) [Bmax=32500],hpso18 (Ingest) [Bmax=32500],hpso18 (RCAL) [Bmax=32500],hpso18 (FastImg) [Bmax=32500],hpso18 (SinglePulse) [Bmax=32500],hpso22 (Ingest) [Bmax=32500],hpso22 (RCAL) [Bmax=32500],hpso22 (FastImg) [Bmax=32500],hpso22 (ICAL) [Bmax=32500],hpso22 (DPrepA) [Bmax=32500],hpso22 (DPrepB) [Bmax=32500],hpso27and33 (Ingest) [Bmax=32500],hpso27and33 (RCAL) [Bmax=32500],hpso27and33 (FastImg) [Bmax=32500],hpso27and33 (ICAL) [Bmax=32500],hpso27and33 (DPrepA) [Bmax=32500],hpso27and33 (DPrepB) [Bmax=32500],hpso32 (Ingest) [Bmax=32500],hpso32 (RCAL) [Bmax=32500],hpso32 (FastImg) [Bmax=32500],hpso32 (ICAL) [Bmax=32500],hpso32 (DPrepB) [Bmax=32500],hpso37a (Ingest) [Bmax=32500],hpso37a (RCAL) [Bmax=32500],hpso37a (FastImg) [Bmax=32500],hpso37a (ICAL) [Bmax=32500],hpso37a (DPrepA) [Bmax=32500],hpso37a (DPrepB) [Bmax=32500],hpso37b (Ingest) [Bmax=32500],hpso37b (RCAL) [Bmax=32500],hpso37b (FastImg) [Bmax=32500],hpso37b (ICAL) [Bmax=32500],hpso37b (DPrepA) [Bmax=32500],hpso37b (DPrepB) [Bmax=32500],hpso37c (Ingest) [Bmax=32500],hpso37c (RCAL) [Bmax=32500],hpso37c (FastImg) [Bmax=32500],hpso37c (ICAL) [Bmax=32500],hpso37c (DPrepA) [Bmax=32500],hpso37c (DPrepB) [Bmax=32500],hpso38a (Ingest) [Bmax=32500],hpso38a (RCAL) [Bmax=32500],hpso38a (FastImg) [Bmax=32500],hpso38a (ICAL) [Bmax=32500],hpso38a (DPrepA) [Bmax=32500],hpso38a (DPrepB) [Bmax=32500],hpso38b (Ingest) [Bmax=32500],hpso38b (RCAL) [Bmax=32500],hpso38b (FastImg) [Bmax=32500],hpso38b (ICAL) [Bmax=32500],hpso38b (DPrepA) [Bmax=32500],hpso38b (DPrepB) [Bmax=32500],max_low (Ingest) [Bmax=32500],max_low (RCAL) [Bmax=32500],max_low (FastImg) [Bmax=32500],max_low (ICAL) [Bmax=32500],max_low (DPrepA) [Bmax=32500],max_low (DPrepA_Image) [Bmax=32500],max_low (DPrepB) [Bmax=32500],max_low (DPrepC) [Bmax=32500],max_low (DPrepD) [Bmax=32500],max_mid_band1 (Ingest) [Bmax=32500],max_mid_band1 (RCAL) [Bmax=32500],max_mid_band1 (FastImg) [Bmax=32500],max_mid_band1 (ICAL) [Bmax=32500],max_mid_band1 (DPrepA) [Bmax=32500],max_mid_band1 (DPrepA_Image) [Bmax=32500],max_mid_band1 (DPrepB) [Bmax=32500],max_mid_band1 (DPrepC) [Bmax=32500],max_mid_band1 (DPrepD) [Bmax=32500],max_mid_band2 (Ingest) [Bmax=32500],max_mid_band2 (RCAL) [Bmax=32500],max_mid_band2 (FastImg) [Bmax=32500],max_mid_band2 (ICAL) [Bmax=32500],max_mid_band2 (DPrepA) [Bmax=32500],max_mid_band2 (DPrepA_Image) [Bmax=32500],max_mid_band2 (DPrepB) [Bmax=32500],max_mid_band2 (DPrepC) [Bmax=32500],max_mid_band2 (DPrepD) [Bmax=32500],max_mid_band5a_1 (Ingest) [Bmax=32500],max_mid_band5a_1 (RCAL) [Bmax=32500],max_mid_band5a_1 (FastImg) [Bmax=32500],max_mid_band5a_1 (ICAL) [Bmax=32500],max_mid_band5a_1 (DPrepA) [Bmax=32500],max_mid_band5a_1 (DPrepA_Image) [Bmax=32500],max_mid_band5a_1 (DPrepB) [Bmax=32500],max_mid_band5a_1 (DPrepC) [Bmax=32500],max_mid_band5a_1 (DPrepD) [Bmax=32500],max_mid_band5a_2 (Ingest) [Bmax=32500],max_mid_band5a_2 (RCAL) [Bmax=32500],max_mid_band5a_2 (FastImg) [Bmax=32500],max_mid_band5a_2 (ICAL) [Bmax=32500],max_mid_band5a_2 (DPrepA) [Bmax=32500],max_mid_band5a_2 (DPrepA_Image) [Bmax=32500],max_mid_band5a_2 (DPrepB) [Bmax=32500],max_mid_band5a_2 (DPrepC) [Bmax=32500],max_mid_band5a_2 (DPrepD) [Bmax=32500],max_mid_band5b_1 (Ingest) [Bmax=32500],max_mid_band5b_1 (RCAL) [Bmax=32500],max_mid_band5b_1 (FastImg) [Bmax=32500],max_mid_band5b_1 (ICAL) [Bmax=32500],max_mid_band5b_1 (DPrepA) [Bmax=32500],max_mid_band5b_1 (DPrepA_Image) [Bmax=32500],max_mid_band5b_1 (DPrepB) [Bmax=32500],max_mid_band5b_1 (DPrepC) [Bmax=32500],max_mid_band5b_1 (DPrepD) [Bmax=32500],max_mid_band5b_2 (Ingest) [Bmax=32500],max_mid_band5b_2 (RCAL) [Bmax=32500],max_mid_band5b_2 (FastImg) [Bmax=32500],max_mid_band5b_2 (ICAL) [Bmax=32500],max_mid_band5b_2 (DPrepA) [Bmax=32500],max_mid_band5b_2 (DPrepA_Image) [Bmax=32500],max_mid_band5b_2 (DPrepB) [Bmax=32500],max_mid_band5b_2 (DPrepC) [Bmax=32500],max_mid_band5b_2 (DPrepD) [Bmax=32500]
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),3.309501028678418,3.309501028678418,4.285749642711291,(undefined),3.309501028678418,3.309501028678418,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),3.309501028678418,3.309501028678418,4.285749642711291,(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,38,38,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,38,38,38,38,38,38,38,38,38,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.684251467916443,11.308286273491978,1.0,11.308286273491978,29.684251467916443,29.684251467916443,15.3,15.3,29.684251467916443,11.308286273491978,1.0,16.962429410237966,29.684251467916443,29.684251467916443,15.3,15.3,29.684251467916443,11.308286273491978,1.0,16.962429410237966,29.684251467916443,29.684251467916443,15.3,15.3,29.60756128767516,11.279070966733395,1.0,(undefined),5.94231145667351,2.0972863964730033,1.0,(undefined),5.867419373337376,2.0708538964720153,1.0,(undefined),29.60756128767516,11.279070966733395,1.0,(undefined),5.895578992095327,2.0807925854454097,1.0,(undefined),5.958126450180322,2.1028681588871727,1.0,2.1028681588871727,5.958126450180322,5.958126450180322,3.269413413171265,5.843902567787544,2.0625538474544274,1.0,3.093830771181641,5.843902567787544,5.843902567787544,3.4548226273988933,5.9644080823416115,2.1050852055323332,1.0,3.1576278082985,5.9644080823416115,5.9644080823416115,3.572636943332871,5.94231145667351,2.0972863964730033,1.0,(undefined),5.903847873017134,2.083711014006047,1.0,2.083711014006047,5.903847873017134,5.903847873017134,5.72197219019997,2.0195195965411656,1.0,5.72197219019997,5.72197219019997,5.72197219019997,5.695315877636255,2.0101114862245604,1.0,5.695315877636255,5.695315877636255,5.72197219019997,2.0195195965411656,1.0,3.029279394811749,5.72197219019997,5.72197219019997,5.72197219019997,2.0195195965411656,1.0,2.0195195965411656,5.72197219019997,5.72197219019997,5.72197219019997,2.0195195965411656,1.0,2.0195195965411656,5.72197219019997,5.72197219019997,5.835583824185557,2.059617820300785,1.0,3.089426730451177,5.835583824185557,5.835583824185557,5.835583824185557,2.059617820300785,1.0,2.059617820300785,5.835583824185557,5.835583824185557,29.673444035429018,11.304169156353911,1.0,11.304169156353911,29.673444035429018,29.673444035429018,29.673444035429018,15.3,15.3,5.695315877636255,2.0101114862245604,1.0,2.0101114862245604,5.695315877636255,5.695315877636255,5.695315877636255,3.1252008963367506,3.1252008963367506,5.895578992095327,2.0807925854454097,1.0,2.0807925854454097,5.895578992095327,5.895578992095327,5.895578992095327,3.235091634314648,3.235091634314648,5.861824932818253,2.0688793880535012,1.0,2.0688793880535012,5.861824932818253,5.861824932818253,5.861824932818253,3.2165697088281378,3.2165697088281378,5.988817160887699,2.1137001744309525,1.0,2.1137001744309525,5.988817160887699,5.988817160887699,5.988817160887699,3.286254381902873,3.286254381902873,5.727764342931581,2.0215638857405582,1.0,2.0215638857405582,5.727764342931581,5.727764342931581,5.727764342931581,3.1430064008960157,3.1430064008960157,5.979879984035567,2.1105458767184357,1.0,2.1105458767184357,5.979879984035567,5.979879984035567,5.979879984035567,3.2813502688195806,3.2813502688195806
Coalesce time full1 [s],14.135357841864973,5.654143136745989,1.0,5.654143136745989,14.135357841864973,14.135357841864973,7.2,7.2,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.2,7.2,14.135357841864973,5.654143136745989,1.0,8.481214705118983,14.135357841864973,14.135357841864973,7.2,7.2,14.098838708416743,5.639535483366697,1.0,,3.845025060200506,1.3981909309820022,1.0,,3.796565476865361,1.3805692643146767,1.0,,14.098838708416743,5.639535483366697,1.0,,3.814786406649918,1.3871950569636065,1.0,,3.8552582912931497,1.4019121059247817,1.0,1.4019121059247817,3.8552582912931497,3.8552582912931497,2.1155027967578772,3.781348720333117,1.3750358983029516,1.0,2.0625538474544274,3.781348720333117,3.781348720333117,2.2354734647875194,3.8593228768092778,1.4033901370215556,1.0,2.1050852055323332,3.8593228768092778,3.8593228768092778,2.3117062574506813,3.845025060200506,1.3981909309820022,1.0,,3.8201368590110865,1.3891406760040315,1.0,1.3891406760040315,3.8201368590110865,3.8201368590110865,3.702452593658804,1.3463463976941106,1.0,3.702452593658804,3.702452593658804,3.702452593658804,3.6852043914116943,1.340074324149707,1.0,3.6852043914116943,3.6852043914116943,3.702452593658804,1.3463463976941106,1.0,2.0195195965411656,3.702452593658804,3.702452593658804,3.702452593658804,1.3463463976941106,1.0,1.3463463976941106,3.702452593658804,3.702452593658804,3.702452593658804,1.3463463976941106,1.0,1.3463463976941106,3.702452593658804,3.702452593658804,3.775966003884772,1.3730785468671898,1.0,2.059617820300785,3.775966003884772,3.775966003884772,3.775966003884772,1.3730785468671898,1.0,1.3730785468671898,3.775966003884772,3.775966003884772,14.130211445442388,5.6520845781769555,1.0,5.6520845781769555,14.130211445442388,14.130211445442388,14.130211445442388,7.2,7.2,3.6852043914116943,1.340074324149707,1.0,1.340074324149707,3.6852043914116943,3.6852043914116943,3.6852043914116943,2.022188815276721,2.022188815276721,3.814786406649918,1.3871950569636065,1.0,1.3871950569636065,3.814786406649918,3.814786406649918,3.814786406649918,2.093294586909478,2.093294586909478,3.792945544764752,1.3792529253690007,1.0,1.3792529253690007,3.792945544764752,3.792945544764752,3.792945544764752,2.0813098115946773,2.0813098115946773,3.875116986456746,1.409133449620635,1.0,1.409133449620635,3.875116986456746,3.875116986456746,3.875116986456746,2.1263998941724473,2.1263998941724473,3.7062004571910236,1.3477092571603722,1.0,1.3477092571603722,3.7062004571910236,3.7062004571910236,3.7062004571910236,2.0337100241091868,2.0337100241091868,3.869334107317132,1.407030584478957,1.0,1.407030584478957,3.869334107317132,3.869334107317132,3.869334107317132,2.123226644530317,2.123226644530317
Coalesce time full2 [s],7.067678920932487,2.8270715683729946,1.0,2.8270715683729946,7.067678920932487,7.067678920932487,3.6,3.6,7.067678920932487,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,3.6,7.067678920932487,2.8270715683729946,1.0,4.240607352559492,7.067678920932487,7.067678920932487,3.6,3.6,7.049419354208371,2.8197677416833486,1.0,,2.7963818619640044,1.0486431982365017,1.0,,2.7611385286293535,1.0354269482360077,1.0,,7.049419354208371,2.8197677416833486,1.0,,2.774390113927213,1.0403962927227048,1.0,,2.8038242118495633,1.0514340794435864,1.0,1.0514340794435864,2.8038242118495633,2.8038242118495633,1.5385474885511834,2.750071796605903,1.0312769237272137,1.0,1.3750358983029516,2.750071796605903,2.750071796605903,1.6257988834818322,2.806780274043111,1.0525426027661666,1.0,1.4033901370215556,2.806780274043111,2.806780274043111,1.6812409145095863,2.7963818619640044,1.0486431982365017,1.0,,2.778281352008063,1.0418555070030235,1.0,1.0418555070030235,2.778281352008063,2.778281352008063,2.692692795388221,1.0097597982705828,1.0,2.692692795388221,2.692692795388221,2.692692795388221,2.680148648299414,1.0050557431122802,1.0,2.680148648299414,2.680148648299414,2.692692795388221,1.0097597982705828,1.0,1.3463463976941106,2.692692795388221,2.692692795388221,2.692692795388221,1.0097597982705828,1.0,1.0097597982705828,2.692692795388221,2.692692795388221,2.692692795388221,1.0097597982705828,1.0,1.0097597982705828,2.692692795388221,2.692692795388221,2.7461570937343796,1.0298089101503924,1.0,1.3730785468671898,2.7461570937343796,2.7461570937343796,2.7461570937343796,1.0298089101503924,1.0,1.0298089101503924,2.7461570937343796,2.7461570937343796,7.065105722721194,2.8260422890884778,1.0,2.8260422890884778,7.065105722721194,7.065105722721194,7.065105722721194,3.6,3.6,2.680148648299414,1.0050557431122802,1.0,1.0050557431122802,2.680148648299414,2.680148648299414,2.680148648299414,1.4706827747467062,1.4706827747467062,2.774390113927213,1.0403962927227048,1.0,1.0403962927227048,2.774390113927213,2.774390113927213,2.774390113927213,1.5223960632068931,1.5223960632068931,2.7585058507380014,1.0344396940267506,1.0,1.0344396940267506,2.7585058507380014,2.7585058507380014,2.7585058507380014,1.513679862977947,1.513679862977947,2.81826689924127,1.0568500872154762,1.0,1.0568500872154762,2.81826689924127,2.81826689924127,2.81826689924127,1.5464726503072344,1.5464726503072344,2.6954185143207443,1.0107819428702791,1.0,1.0107819428702791,2.6954185143207443,2.6954185143207443,2.6954185143207443,1.479061835715772,1.479061835715772,2.814061168957914,1.0552729383592179,1.0,1.0552729383592179,2.814061168957914,2.814061168957914,2.814061168957914,1.544164832385685,1.544164832385685
