,hpso01 (Ingest) [Nf_max=16384] [Na=512],hpso01 (RCAL) [Nf_max=16384] [Na=512],hpso01 (FastImg) [Nf_max=16384] [Na=512],hpso01 (ICAL) [Nf_max=16384] [Na=512],hpso01 (DPrepA) [Nf_max=16384] [Na=512],hpso01 (DPrepB) [Nf_max=16384] [Na=512],hpso01 (DPrepC) [Nf_max=16384] [Na=512],hpso01 (DPrepD) [Nf_max=16384] [Na=512],hpso02a (Ingest) [Nf_max=16384] [Na=512],hpso02a (RCAL) [Nf_max=16384] [Na=512],hpso02a (FastImg) [Nf_max=16384] [Na=512],hpso02a (ICAL) [Nf_max=16384] [Na=512],hpso02a (DPrepA) [Nf_max=16384] [Na=512],hpso02a (DPrepB) [Nf_max=16384] [Na=512],hpso02a (DPrepC) [Nf_max=16384] [Na=512],hpso02a (DPrepD) [Nf_max=16384] [Na=512],hpso02b (Ingest) [Nf_max=16384] [Na=512],hpso02b (RCAL) [Nf_max=16384] [Na=512],hpso02b (FastImg) [Nf_max=16384] [Na=512],hpso02b (ICAL) [Nf_max=16384] [Na=512],hpso02b (DPrepA) [Nf_max=16384] [Na=512],hpso02b (DPrepB) [Nf_max=16384] [Na=512],hpso02b (DPrepC) [Nf_max=16384] [Na=512],hpso02b (DPrepD) [Nf_max=16384] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Nf_max=16384] [Na=512],hpso05a (RCAL) [Nf_max=16384] [Na=512],hpso05a (FastImg) [Nf_max=16384] [Na=512],hpso05a (PST) [Nf_max=16384] [Na=512],max_low (Ingest) [Nf_max=16384] [Na=512],max_low (RCAL) [Nf_max=16384] [Na=512],max_low (FastImg) [Nf_max=16384] [Na=512],max_low (ICAL) [Nf_max=16384] [Na=512],max_low (DPrepA) [Nf_max=16384] [Na=512],max_low (DPrepA_Image) [Nf_max=16384] [Na=512],max_low (DPrepB) [Nf_max=16384] [Na=512],max_low (DPrepC) [Nf_max=16384] [Na=512],max_low (DPrepD) [Nf_max=16384] [Na=512]
Frequencies predict kernels0,(undefined),276.94060500747656,364.52288461678205,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),276.94060500747656,364.52288461678205,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),276.94060500747656,364.52288461678205,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),369.6586864106233,511.6591552951528,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,841.0439984309672,(undefined)
Frequencies predict kernels1,,276.94060500747656,365.0584953999703,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,365.0584953999703,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,365.0584953999703,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,222.83688638800666,,,157.12325531944637,222.83688638800666,,,369.6586864106233,512.317136997464,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies predict kernels2,,276.94060500747656,369.3268941633874,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,369.3268941633874,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,369.3268941633874,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,223.45734073105942,,,157.12325531944637,223.45734073105942,,,369.6586864106233,517.5643890331957,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies predict kernels3,,276.94060500747656,402.0118333134956,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,402.0118333134956,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,402.0118333134956,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,228.37652250683485,,,157.12325531944637,228.37652250683485,,,369.6586864106233,557.966411514353,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies predict kernels4,,276.94060500747656,526.1479047467919,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,526.1479047467919,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,526.1479047467919,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,264.6765061871089,,,157.12325531944637,264.6765061871089,,,369.6586864106233,711.3917641056886,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies predict de-grid0,16384.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies predict de-grid1,16384.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
Frequencies predict de-grid2,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies predict de-grid3,16384.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,8076.963378093995,5814.487179478897,,16384.0,8076.963378093995,5814.487179478897,,16384.0,16384.0,13323.945347729323,16384.0,6855.585666930379,6855.585666930379,6855.585666930379,16384.0,16384.0
Frequencies predict de-grid4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total1,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total2,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total3,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward kernels0,(undefined),276.94060500747656,364.52288461678205,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),276.94060500747656,364.52288461678205,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),276.94060500747656,364.52288461678205,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),157.12325531944637,222.75933872570835,(undefined),(undefined),369.6586864106233,511.6591552951528,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,841.0439984309672,(undefined)
Frequencies backward kernels1,,276.94060500747656,365.0584953999703,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,365.0584953999703,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,365.0584953999703,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,222.83688638800666,,,157.12325531944637,222.83688638800666,,,369.6586864106233,512.317136997464,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies backward kernels2,,276.94060500747656,369.3268941633874,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,369.3268941633874,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,369.3268941633874,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,223.45734073105942,,,157.12325531944637,223.45734073105942,,,369.6586864106233,517.5643890331957,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies backward kernels3,,276.94060500747656,402.0118333134956,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,402.0118333134956,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,402.0118333134956,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,228.37652250683485,,,157.12325531944637,228.37652250683485,,,369.6586864106233,557.966411514353,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies backward kernels4,,276.94060500747656,526.1479047467919,276.94060500844216,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,526.1479047467919,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,276.94060500747656,526.1479047467919,235.76672785154778,205.5296473067149,223.3663493327673,427.4844268324392,,,157.12325531944637,264.6765061871089,,,157.12325531944637,264.6765061871089,,,369.6586864106233,711.3917641056886,369.6586864097082,283.1372444401752,285.7066806373947,303.4095864886213,888.4905987338238,
Frequencies backward grid0,16384.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,1009.991056768289,727.1815092638062,(undefined),16384.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies backward grid1,16384.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,2019.558553451659,1453.9394929925988,,16384.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
Frequencies backward grid2,16384.0,6590.78122076136,4744.703814848597,6590.78122076136,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,6590.78122076136,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,4038.693502406632,2907.4553987723175,,16384.0,9254.700144121867,6662.459115881312,9254.700144121867,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies backward grid3,16384.0,13180.869330776477,9488.714533153065,13180.869330776477,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,13180.869330776477,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,8076.963378093995,5814.487179478897,,16384.0,8076.963378093995,5814.487179478897,,16384.0,16384.0,13323.945347729323,16384.0,6855.585666930379,6855.585666930379,6855.585666930379,16384.0,16384.0
Frequencies backward grid4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward fft,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,40,200,500,1500,2048,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,40,40,500,1500,2048,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,(undefined),2390.75328,2390.75328,2390.75328,(undefined),2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328,2390.75328
Averaged rate0 [M/s],1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,657.0883909166673,657.0883909166673,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,657.0883909166673,657.0883909166673,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,657.0883909166673,657.0883909166673,1102.6189559204413,1102.6189559204413,1102.6189559204413,1087.1068568623505,782.5842565793083,(undefined),1102.6189559204413,1087.1068568623505,782.5842565793083,(undefined),1102.6189559204413,1102.6189559204413,1102.6189559204413,1102.6189559204413,922.676067992699,922.676067992699,922.676067992699,1102.6189559204413,1102.6189559204413
Averaged rate1 [M/s],311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,185.45449530596892,185.45449530596892,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,185.45449530596892,185.45449530596892,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,185.45449530596892,185.45449530596892,311.19959629746813,311.19959629746813,311.19959629746813,306.82151179358397,220.8740412166535,,311.19959629746813,306.82151179358397,220.8740412166535,,311.19959629746813,311.19959629746813,311.19959629746813,311.19959629746813,260.41309949452864,260.41309949452864,260.41309949452864,311.19959629746813,311.19959629746813
Averaged rate2 [M/s],352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,209.80557131459295,209.80557131459295,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,209.80557131459295,209.80557131459295,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,209.80557131459295,209.80557131459295,352.06161482546474,352.06161482546474,352.06161482546474,347.1086665613338,249.87587564037574,,352.06161482546474,347.1086665613338,249.87587564037574,,352.06161482546474,352.06161482546474,352.06161482546474,352.06161482546474,294.6066043161319,294.6066043161319,294.6066043161319,352.06161482546474,352.06161482546474
Averaged rate3 [M/s],442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,263.7924708365472,263.7924708365472,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,263.7924708365472,263.7924708365472,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,263.7924708365472,263.7924708365472,442.6536563333602,442.6536563333602,442.6536563333602,436.42622179797513,314.1736142877908,,442.6536563333602,436.42622179797513,314.1736142877908,,442.6536563333602,442.6536563333602,442.6536563333602,442.6536563333602,370.41439648324524,370.41439648324524,370.41439648324524,442.6536563333602,442.6536563333602
Averaged rate4 [M/s],172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,103.03630391370866,103.03630391370866,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,103.03630391370866,103.03630391370866,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,103.03630391370866,103.03630391370866,172.89878106771002,172.89878106771002,172.89878106771002,170.4663695763743,122.71498083614071,,172.89878106771002,170.4663695763743,122.71498083614071,,172.89878106771002,172.89878106771002,172.89878106771002,172.89878106771002,144.68240965720884,144.68240965720884,144.68240965720884,172.89878106771002,172.89878106771002
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,99.23570603283972,(undefined)
Predict rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,38.89994953718352,
Predict rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,66.28875076222748,128.84744284309275,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,88.01540370636619,
Predict rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,442.6536563333602,323.98094558486474,442.6536563333602,46.30508517110153,46.30508517110153,46.30508517110153,221.3268281666801,
Predict rate4 [M/s],,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,170.4663695763743,122.7149808361407,,,170.4663695763743,122.7149808361407,,,172.89878106771002,172.89878106771002,172.89878106771002,72.34120482860442,72.34120482860442,72.34120482860442,172.89878106771002,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,99.23570603283972,(undefined)
Backward rate1 [M/s],,10.43326893934158,40.560578265797105,10.43326893934158,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,10.43326893934158,40.560578265797105,4.637495951220855,2.0873996517782367,2.0873996517782367,5.633413648027376,,,6.393288233777414,24.85466582850452,,,6.393288233777414,24.85466582850452,,,14.65027720186278,56.9546995118936,14.65027720186278,2.93110239283116,2.93110239283116,2.93110239283116,38.89994953718352,
Backward rate2 [M/s],,47.207867015433585,91.75935536082312,47.207867015433585,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,47.207867015433585,91.75935536082312,23.60517460232644,6.557820292211706,6.557820292211706,25.488709822450865,,,28.92799797042624,56.228216458271355,,,28.92799797042624,56.228216458271355,,,66.28875076222748,128.84744284309275,66.28875076222748,9.208416183486534,9.208416183486534,9.208416183486534,88.01540370636619,
Backward rate3 [M/s],,356.1132814282506,230.7246559938554,356.1132814282506,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,356.1132814282506,230.7246559938554,118.70754818263683,32.97639957074414,32.97639957074414,128.18036444103078,,,218.21883370263396,141.38327690001233,,,218.21883370263396,141.38327690001233,,,442.6536563333602,323.98094558486474,442.6536563333602,46.30508517110153,46.30508517110153,46.30508517110153,221.3268281666801,
Backward rate4 [M/s],,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,172.89878106771002,172.89878106771002,172.89878106771002,51.51815195685433,51.51815195685433,172.89878106771002,,,170.4663695763743,122.7149808361407,,,170.4663695763743,122.7149808361407,,,172.89878106771002,172.89878106771002,172.89878106771002,72.34120482860442,72.34120482860442,72.34120482860442,172.89878106771002,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
