,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,9.375,0.9,0.9,0.9,(undefined),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),5.0,1.0,5.0,1.0,1.0,1.0,(undefined),(undefined),5.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),5.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),5.0,1.0,(undefined),(undefined),4.0,1.0,4.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),26.36445630714882,1.0000001776796519,26.364456303778514,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),26.36445630714882,1.0000001776796519,66.92898783248137,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),26.36445630714882,1.0000001776796519,66.92898783248137,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),11.72892190848269,1.0000000995884037,(undefined),(undefined),11.72892190848269,1.0000000995884037,(undefined),(undefined),34.591864791524934,1.0000001903991147,34.59186479070278,43.024536804964384,41.118966518682626,27.462711370307048,6.998383908587098,(undefined)
w-stacking planes predict,(undefined),26.36445630714882,1.0000001776796519,26.364456303778514,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),26.36445630714882,1.0000001776796519,66.92898783248137,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),26.36445630714882,1.0000001776796519,66.92898783248137,41.47247707982404,26.235145409844776,26.915845577956613,(undefined),(undefined),11.72892190848269,1.0000000995884037,(undefined),(undefined),11.72892190848269,1.0000000995884037,(undefined),(undefined),34.591864791524934,1.0000001903991147,34.59186479070278,43.024536804964384,41.118966518682626,27.462711370307048,6.998383908587098,(undefined)
Stations/antennas,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Max Baseline [per bin]4 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002
Baseline fraction [per bin]3 [%],18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454
Baseline fraction [per bin]4 [%],7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),10.254858062371314,15.825398244400175,10.254858062371314,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),10.254858062371314,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),10.254858062371314,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),3.9167315921961863,6.044338876845966,(undefined),(undefined),3.9167315921961863,6.044338876845966,(undefined),(undefined),11.724106294321372,14.474205301631324,11.724106294321372,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,5.900312033306332,5.900312033306332,5.900312033306332,(undefined),5.900312033306332,5.900312033306332,5.900312033306332,(undefined),14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477
Pixel size [arcs],3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,1.1800624066612664,1.1800624066612664,1.9667706777687772,(undefined),1.1800624066612664,1.1800624066612664,1.9667706777687772,(undefined),2.838451875895895,2.838451875895895,4.730753126493159,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895
Facet side length [pixels],(undefined),11887.058674304482,11006.535809541188,11887.058674304482,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),11887.058674304482,11006.535809541188,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),11887.058674304482,11006.535809541188,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),11948.718688361456,11063.628415149497,(undefined),(undefined),11948.718688361456,11063.628415149497,(undefined),(undefined),14869.648845547294,11014.554700405399,14869.648845547294,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined)
Image side length [pixels],18344.226349235312,49529.41114293534,11006.535809541187,49529.41114293534,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,11006.535809541187,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,11006.535809541187,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18439.380691915823,49786.32786817273,11063.628415149495,(undefined),18439.380691915823,49786.32786817273,11063.628415149495,(undefined),18357.591167342336,49565.4961518243,11014.5547004054,49565.4961518243,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),7710.18829028378,7710.18829028378,7710.18829028378,7710.18829028378,(undefined)
Grid side dimension [lambda],66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,174791.4390652257,174791.4390652257,104874.86343913543,(undefined),174791.4390652257,174791.4390652257,104874.86343913543,(undefined),72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574
Baselines dimension [lambda],39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,104874.86343913543,104874.86343913543,104874.86343913543,(undefined),104874.86343913543,104874.86343913543,104874.86343913543,(undefined),43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.7,10.8,1.0,10.8,29.7,29.7,15.3,15.3,29.7,10.8,1.0,16.2,29.7,29.7,15.3,15.3,29.7,10.8,1.0,16.2,29.7,29.7,15.3,15.3,29.7,10.8,1.0,(undefined),29.7,10.8,1.0,(undefined),29.7,10.8,1.0,10.8,29.7,29.7,29.7,15.3,15.3
Coalesce time full1 [s],14.4,5.4,1.0,5.4,14.4,14.4,7.2,7.2,14.4,5.4,1.0,8.1,14.4,14.4,7.2,7.2,14.4,5.4,1.0,8.1,14.4,14.4,7.2,7.2,14.4,5.4,1.0,,14.4,5.4,1.0,,14.4,5.4,1.0,5.4,14.4,14.4,14.4,7.2,7.2
Coalesce time full2 [s],7.2,2.7,1.0,2.7,7.2,7.2,3.6,3.6,7.2,2.7,1.0,3.6,7.2,7.2,3.6,3.6,7.2,2.7,1.0,3.6,7.2,7.2,3.6,3.6,7.2,2.7,1.0,,7.2,2.7,1.0,,7.2,2.7,1.0,2.7,7.2,7.2,7.2,3.6,3.6
Coalesce time full3 [s],3.6,0.9,1.0,0.9,3.6,3.6,1.8,1.8,3.6,0.9,1.0,1.8,3.6,3.6,1.8,1.8,3.6,0.9,1.0,1.8,3.6,3.6,1.8,1.8,3.6,0.9,1.0,,3.6,0.9,1.0,,3.6,0.9,1.0,0.9,3.6,3.6,3.6,1.8,1.8
Coalesce time full4 [s],1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,,1.8,0.9,0.9,,1.8,0.9,0.9,0.9,1.8,1.8,1.8,0.9,0.9
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,10.0,1.0,10.0,10.0,10.0,7.2,,,10.0,1.0,8.1,10.0,10.0,7.2,,,10.0,1.0,8.1,10.0,10.0,7.2,,,10.0,1.0,,,10.0,1.0,,,10.0,1.0,10.0,10.0,10.0,10.0,7.2,
Coalesce time pred2 [s],,10.0,1.0,10.0,7.2,7.2,3.6,,,10.0,1.0,3.6,7.2,7.2,3.6,,,10.0,1.0,3.6,7.2,7.2,3.6,,,10.0,1.0,,,10.0,1.0,,,9.0,1.0,9.0,7.2,7.2,7.2,3.6,
Coalesce time pred3 [s],,5.4,1.0,5.4,3.6,3.6,1.8,,,5.4,1.0,1.8,3.6,3.6,1.8,,,5.4,1.0,1.8,3.6,3.6,1.8,,,5.4,1.0,,,5.4,1.0,,,4.5,1.0,4.5,3.6,3.6,3.6,1.8,
Coalesce time pred4 [s],,2.7,0.9,2.7,1.8,1.8,0.9,,,2.7,0.9,0.9,1.8,1.8,0.9,,,2.7,0.9,0.9,1.8,1.8,0.9,,,2.7,0.9,,,2.7,0.9,,,1.8,0.9,1.8,1.8,1.8,1.8,0.9,
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
