,hpso01 (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (ICAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (DPrepA) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (DPrepB) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (DPrepC) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso01 (DPrepD) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (ICAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (DPrepA) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (DPrepB) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (DPrepC) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02a (DPrepD) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (ICAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (DPrepA) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (DPrepB) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (DPrepC) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso02b (DPrepD) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso04a (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso04a (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso04a (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso04a (PSS) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso05a (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso05a (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso05a (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],hpso05a (PST) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (Ingest) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (RCAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (FastImg) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (ICAL) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (DPrepA) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (DPrepA_Image) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (DPrepB) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (DPrepC) [Nf_max=16384] [Na=32] [Bmax=4062.5],max_low (DPrepD) [Nf_max=16384] [Na=32] [Bmax=4062.5]
Max Baseline [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Dump time [s],11.308286273491978,11.308286273491978,1.0,11.308286273491978,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.308286273491978,11.308286273491978,1.0,11.308286273491978,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.308286273491978,11.308286273491978,1.0,11.308286273491978,11.308286273491978,11.308286273491978,5.818065288870986,5.818065288870986,11.279070966733395,11.279070966733395,1.0,9.375,11.279070966733395,11.279070966733395,1.0,(undefined),11.304169156353911,11.304169156353911,1.0,11.304169156353911,11.304169156353911,11.304169156353911,11.304169156353911,5.815947049578853,5.815947049578853
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),10.167176442032947,1.0,10.167176441980036,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),10.167176442032947,1.0,7.365971939267296,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),10.167176442032947,1.0,7.365971939267296,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),4.636843840637893,1.0000222031030692,(undefined),(undefined),4.636843840637893,1.0000222031030692,(undefined),(undefined),10.943288973061698,1.0,10.943288972885089,5.070851676215324,5.0650898381199445,3.326754838812234,1.7361960966698782,(undefined)
w-stacking planes predict,(undefined),10.167176442032947,1.0,10.167176441980036,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),10.167176442032947,1.0,7.365971939267296,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),10.167176442032947,1.0,7.365971939267296,4.680786584301962,3.078268379933094,3.088033026044335,(undefined),(undefined),4.636843840637893,1.0000222031030692,(undefined),(undefined),4.636843840637893,1.0000222031030692,(undefined),(undefined),10.943288973061698,1.0,10.943288972885089,5.070851676215324,5.0650898381199445,3.326754838812234,1.7361960966698782,(undefined)
Stations/antennas,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,248.45499655411965,94.40499253290132,94.40499253290132,94.40499253290132,(undefined),94.40499253290132,94.40499253290132,94.40499253290132,(undefined),227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163,227.07615007167163
Pixel size [arcs],49.690999310823926,49.690999310823926,82.81833218470655,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,82.81833218470655,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,82.81833218470655,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,49.690999310823926,18.880998506580262,18.880998506580262,31.468330844300436,(undefined),18.880998506580262,18.880998506580262,31.468330844300436,(undefined),45.41523001433432,45.41523001433432,75.69205002389054,45.41523001433432,45.41523001433432,45.41523001433432,45.41523001433432,45.41523001433432,45.41523001433432
Facet side length [pixels],(undefined),3095.588196433459,687.9084880963243,3095.588196433459,1146.514146827207,1146.514146827207,1146.514146827207,(undefined),(undefined),3095.588196433459,687.9084880963243,2063.7254642889725,1146.514146827207,1146.514146827207,1146.514146827207,(undefined),(undefined),3095.588196433459,687.9084880963243,2063.7254642889725,1146.514146827207,1146.514146827207,1146.514146827207,(undefined),(undefined),3111.6454917607957,691.4767759468435,(undefined),(undefined),3111.6454917607957,691.4767759468435,(undefined),(undefined),3097.843509489019,688.4096687753374,3097.843509489019,1147.349447958896,1147.349447958896,1147.349447958896,1147.349447958896,(undefined)
Image side length [pixels],1146.514146827207,3095.588196433459,687.9084880963242,3095.588196433459,1146.514146827207,1146.514146827207,1146.514146827207,1146.514146827207,1146.514146827207,3095.588196433459,687.9084880963242,2063.7254642889725,1146.514146827207,1146.514146827207,1146.514146827207,1146.514146827207,1146.514146827207,3095.588196433459,687.9084880963242,2063.7254642889725,1146.514146827207,1146.514146827207,1146.514146827207,1146.514146827207,1152.461293244739,3111.6454917607957,691.4767759468434,(undefined),1152.461293244739,3111.6454917607957,691.4767759468434,(undefined),1147.349447958896,3097.8435094890187,688.4096687753375,3097.8435094890187,1147.349447958896,1147.349447958896,1147.349447958896,1147.349447958896,1147.349447958896
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),481.5359416674269,481.5359416674269,481.5359416674269,(undefined),(undefined),(undefined),(undefined),(undefined),481.5359416674269,481.5359416674269,481.5359416674269,(undefined),(undefined),(undefined),(undefined),(undefined),481.5359416674269,481.5359416674269,481.5359416674269,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),481.88676814273623,481.88676814273623,481.88676814273623,481.88676814273623,(undefined)
Grid side dimension [lambda],4150.949047268743,4150.949047268743,2490.569428361246,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,2490.569428361246,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,2490.569428361246,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,4150.949047268743,10924.464941576607,10924.464941576607,6554.678964945964,(undefined),10924.464941576607,10924.464941576607,6554.678964945964,(undefined),4541.7540807784835,4541.7540807784835,2725.0524484670896,4541.7540807784835,4541.7540807784835,4541.7540807784835,4541.7540807784835,4541.7540807784835,4541.7540807784835
Baselines dimension [lambda],2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,2490.5694283612456,6554.678964945964,6554.678964945964,6554.678964945964,(undefined),6554.678964945964,6554.678964945964,6554.678964945964,(undefined),2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709,2725.05244846709
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],22.616572546983956,11.308286273491978,1.0,11.308286273491978,22.616572546983956,22.616572546983956,11.636130577741971,11.636130577741971,22.616572546983956,11.308286273491978,1.0,11.308286273491978,22.616572546983956,22.616572546983956,11.636130577741971,11.636130577741971,22.616572546983956,11.308286273491978,1.0,11.308286273491978,22.616572546983956,22.616572546983956,11.636130577741971,11.636130577741971,22.55814193346679,11.279070966733395,1.0,(undefined),22.55814193346679,11.279070966733395,1.0,(undefined),22.608338312707822,11.304169156353911,1.0,11.304169156353911,22.608338312707822,22.608338312707822,22.608338312707822,11.631894099157705,11.631894099157705
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time bw0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Combined samples full0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,(undefined),2.0,1.0,1.0,(undefined),2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Combined samples facet0,(undefined),1.0,1.0,1.0,2.0,2.0,2.0,(undefined),(undefined),1.0,1.0,1.0,2.0,2.0,2.0,(undefined),(undefined),1.0,1.0,1.0,2.0,2.0,2.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,2.0,2.0,2.0,2.0,(undefined)
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),5.947866659588948,32.55476508226232,5.94786665957634,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),5.947866659588948,32.55476508226232,4.679633219274584,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),5.947866659588948,32.55476508226232,4.679633219274584,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),6.375768254719826,32.64426598801407,(undefined),(undefined),6.375768254719826,32.64426598801407,(undefined),(undefined),6.333474983901593,32.567468020591605,6.333474983864818,3.0373242520191184,3.0369906080715685,2.878123853716639,24.27289652318848,(undefined)
Visibilities kernel bw0,(undefined),5.947866659588948,32.55476508226232,5.94786665957634,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),5.947866659588948,32.55476508226232,4.679633219274584,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),5.947866659588948,32.55476508226232,4.679633219274584,2.9813539289909476,2.791938543091233,3.534746054470438,(undefined),(undefined),6.375768254719826,32.64426598801407,(undefined),(undefined),6.375768254719826,32.64426598801407,(undefined),(undefined),6.333474983901593,32.567468020591605,6.333474983864818,3.0373242520191184,3.0369906080715685,2.878123853716639,24.27289652318848,(undefined)
