,hpso01 (Ingest) [Nf_max=16384] [Na=256],hpso01 (RCAL) [Nf_max=16384] [Na=256],hpso01 (FastImg) [Nf_max=16384] [Na=256],hpso01 (ICAL) [Nf_max=16384] [Na=256],hpso01 (DPrepA) [Nf_max=16384] [Na=256],hpso01 (DPrepB) [Nf_max=16384] [Na=256],hpso01 (DPrepC) [Nf_max=16384] [Na=256],hpso01 (DPrepD) [Nf_max=16384] [Na=256],hpso02a (Ingest) [Nf_max=16384] [Na=256],hpso02a (RCAL) [Nf_max=16384] [Na=256],hpso02a (FastImg) [Nf_max=16384] [Na=256],hpso02a (ICAL) [Nf_max=16384] [Na=256],hpso02a (DPrepA) [Nf_max=16384] [Na=256],hpso02a (DPrepB) [Nf_max=16384] [Na=256],hpso02a (DPrepC) [Nf_max=16384] [Na=256],hpso02a (DPrepD) [Nf_max=16384] [Na=256],hpso02b (Ingest) [Nf_max=16384] [Na=256],hpso02b (RCAL) [Nf_max=16384] [Na=256],hpso02b (FastImg) [Nf_max=16384] [Na=256],hpso02b (ICAL) [Nf_max=16384] [Na=256],hpso02b (DPrepA) [Nf_max=16384] [Na=256],hpso02b (DPrepB) [Nf_max=16384] [Na=256],hpso02b (DPrepC) [Nf_max=16384] [Na=256],hpso02b (DPrepD) [Nf_max=16384] [Na=256],hpso04a (Ingest) [Nf_max=16384] [Na=256],hpso04a (RCAL) [Nf_max=16384] [Na=256],hpso04a (FastImg) [Nf_max=16384] [Na=256],hpso04a (PSS) [Nf_max=16384] [Na=256],hpso05a (Ingest) [Nf_max=16384] [Na=256],hpso05a (RCAL) [Nf_max=16384] [Na=256],hpso05a (FastImg) [Nf_max=16384] [Na=256],hpso05a (PST) [Nf_max=16384] [Na=256],max_low (Ingest) [Nf_max=16384] [Na=256],max_low (RCAL) [Nf_max=16384] [Na=256],max_low (FastImg) [Nf_max=16384] [Na=256],max_low (ICAL) [Nf_max=16384] [Na=256],max_low (DPrepA) [Nf_max=16384] [Na=256],max_low (DPrepA_Image) [Nf_max=16384] [Na=256],max_low (DPrepB) [Nf_max=16384] [Na=256],max_low (DPrepC) [Nf_max=16384] [Na=256],max_low (DPrepD) [Nf_max=16384] [Na=256]
Frequencies predict kernels0,(undefined),209.81120373270167,364.52288461678205,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),209.81120373270167,364.52288461678205,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),209.81120373270167,364.52288461678205,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),287.98299117124,511.6591552951528,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,841.0439984309672,(undefined)
Frequencies predict kernels1,,209.81120373270167,365.0584953999703,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,365.0584953999703,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,365.0584953999703,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,222.83688638800666,,,129.71648016097583,222.83688638800666,,,287.98299117124,512.317136997464,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies predict kernels2,,209.81120373270167,369.3268941633874,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,369.3268941633874,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,369.3268941633874,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,223.45734073105942,,,129.71648016097583,223.45734073105942,,,287.98299117124,517.5643890331957,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies predict kernels3,,209.81120373270167,402.0118333134956,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,402.0118333134956,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,402.0118333134956,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,228.37652250683485,,,129.71648016097583,228.37652250683485,,,287.98299117124,557.966411514353,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies predict kernels4,,209.81120373270167,604.4805490191313,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,604.4805490191313,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,604.4805490191313,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,264.67650746238024,,,129.71648016097583,264.67650746238024,,,287.98299117124,813.8877286103385,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies predict de-grid0,16384.0,396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,303.29369179712205,727.1815092638062,(undefined),16384.0,303.29369179712205,727.1815092638062,(undefined),16384.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies predict de-grid1,16384.0,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,606.1640304773304,1453.9394929925988,,16384.0,606.1640304773304,1453.9394929925988,,16384.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
Frequencies predict de-grid2,16384.0,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1211.9045600514535,2907.4553987723175,,16384.0,1211.9045600514535,2907.4553987723175,,16384.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies predict de-grid3,16384.0,3163.935383545188,9488.714533153065,3163.935383545188,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,2423.3855452164803,5814.487179478897,,16384.0,2423.3855452164803,5814.487179478897,,16384.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,16384.0,16384.0
Frequencies predict de-grid4,16384.0,6327.177695833534,16384.0,6327.177695833534,9763.786609120725,9763.786609120725,16384.0,,16384.0,6327.177695833534,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,6327.177695833534,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,4846.3474785322,11628.550725478857,,16384.0,4846.3474785322,11628.550725478857,,16384.0,8884.551053776007,16384.0,8884.551053776007,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total1,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total2,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total3,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward kernels0,(undefined),209.81120373270167,364.52288461678205,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),209.81120373270167,364.52288461678205,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),209.81120373270167,364.52288461678205,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),127.96663287659288,222.75933872570835,(undefined),(undefined),287.98299117124,511.6591552951528,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,841.0439984309672,(undefined)
Frequencies backward kernels1,,209.81120373270167,365.0584953999703,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,365.0584953999703,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,365.0584953999703,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,222.83688638800666,,,129.71648016097583,222.83688638800666,,,287.98299117124,512.317136997464,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies backward kernels2,,209.81120373270167,369.3268941633874,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,369.3268941633874,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,369.3268941633874,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,223.45734073105942,,,129.71648016097583,223.45734073105942,,,287.98299117124,517.5643890331957,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies backward kernels3,,209.81120373270167,402.0118333134956,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,402.0118333134956,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,402.0118333134956,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,228.37652250683485,,,129.71648016097583,228.37652250683485,,,287.98299117124,557.966411514353,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies backward kernels4,,209.81120373270167,604.4805490191313,209.81120373897764,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,604.4805490191313,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,209.81120373270167,604.4805490191313,281.18761122411524,225.91127326029863,259.2680195868544,491.8156328672968,,,129.71648016097583,264.67650746238024,,,129.71648016097583,264.67650746238024,,,287.98299117124,813.8877286103385,287.9829911752161,306.08844914371394,310.7518229235814,345.1256431253874,1169.9447723344963,
Frequencies backward grid0,16384.0,396.0980287317132,1186.6956875807953,396.0980287317132,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,396.0980287317132,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),16384.0,303.29369179712205,727.1815092638062,(undefined),16384.0,303.29369179712205,727.1815092638062,(undefined),16384.0,556.1960211322845,1666.3443177517802,556.1960211322845,857.7991819532908,857.7991819532908,857.7991819532908,16384.0,16384.0
Frequencies backward grid1,16384.0,791.5035165883376,2372.6984303939844,791.5035165883376,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,791.5035165883376,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,16384.0,606.1640304773304,1453.9394929925988,,16384.0,606.1640304773304,1453.9394929925988,,16384.0,1111.4199379380743,3331.7159644487933,1111.4199379380743,1714.625960512763,1714.625960512763,1714.625960512763,16384.0,16384.0
Frequencies backward grid2,16384.0,1582.3141894581538,4744.703814848597,1582.3141894581538,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1582.3141894581538,4744.703814848597,4394.085175985427,2441.466451169051,2441.466451169051,4744.703814848597,,16384.0,1211.9045600514535,2907.4553987723175,,16384.0,1211.9045600514535,2907.4553987723175,,16384.0,2221.867346610081,6662.459115881312,2221.867346610081,3428.279241973887,3428.279241973887,3428.279241973887,16384.0,16384.0
Frequencies backward grid3,16384.0,3163.935383545188,9488.714533153065,3163.935383545188,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,3163.935383545188,9488.714533153065,8787.477259465464,4882.239853545328,4882.239853545328,9488.714533153065,,16384.0,2423.3855452164803,5814.487179478897,,16384.0,2423.3855452164803,5814.487179478897,,16384.0,4442.761951158458,13323.945347729323,4442.761951158458,6855.585666930379,6855.585666930379,6855.585666930379,16384.0,16384.0
Frequencies backward grid4,16384.0,6327.177695833534,16384.0,6327.177695833534,9763.786609120725,9763.786609120725,16384.0,,16384.0,6327.177695833534,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,6327.177695833534,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,,16384.0,4846.3474785322,11628.550725478857,,16384.0,4846.3474785322,11628.550725478857,,16384.0,8884.551053776007,16384.0,8884.551053776007,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,(undefined),598.8534044444444,598.8534044444444,598.8534044444444,(undefined),598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444,598.8534044444444
Averaged rate0 [M/s],275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,163.9506259136499,163.9506259136499,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,163.9506259136499,163.9506259136499,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,163.9506259136499,163.9506259136499,275.11529722085373,275.11529722085373,275.11529722085373,271.2448615458898,195.26319513475894,(undefined),275.11529722085373,271.2448615458898,195.26319513475894,(undefined),275.11529722085373,275.11529722085373,275.11529722085373,275.11529722085373,230.21760991990044,230.21760991990044,230.21760991990044,275.11529722085373,275.11529722085373
Averaged rate1 [M/s],77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,46.272892664405155,46.272892664405155,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,46.272892664405155,46.272892664405155,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,46.272892664405155,46.272892664405155,77.64764878263637,77.64764878263637,77.64764878263637,76.55526957667702,55.110450597110216,,77.64764878263637,76.55526957667702,55.110450597110216,,77.64764878263637,77.64764878263637,77.64764878263637,77.64764878263637,64.97587120460354,64.97587120460354,64.97587120460354,77.64764878263637,77.64764878263637
Averaged rate2 [M/s],87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,52.348748224286894,52.348748224286894,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,52.348748224286894,52.348748224286894,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,52.348748224286894,52.348748224286894,87.84316221183317,87.84316221183317,87.84316221183317,86.60734831031323,62.34672043864561,,87.84316221183317,86.60734831031323,62.34672043864561,,87.84316221183317,87.84316221183317,87.84316221183317,87.84316221183317,73.50751868944583,73.50751868944583,73.50751868944583,87.84316221183317,87.84316221183317
Averaged rate3 [M/s],110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,65.81906072731853,65.81906072731853,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,65.81906072731853,65.81906072731853,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,65.81906072731853,65.81906072731853,110.44685162916522,110.44685162916522,110.44685162916522,108.89303968540476,78.38969828120025,,110.44685162916522,108.89303968540476,78.38969828120025,,110.44685162916522,110.44685162916522,110.44685162916522,110.44685162916522,92.42237877028136,92.42237877028136,92.42237877028136,110.44685162916522,110.44685162916522
Averaged rate4 [M/s],43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,25.70866682778445,25.70866682778445,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,25.70866682778445,25.70866682778445,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,25.70866682778445,25.70866682778445,43.140106822178126,43.140106822178126,43.140106822178126,42.533193974535656,30.618708525651545,,43.140106822178126,42.533193974535656,30.618708525651545,,43.140106822178126,43.140106822178126,43.140106822178126,43.140106822178126,36.09981845654428,36.09981845654428,36.09981845654428,43.140106822178126,43.140106822178126
Predict rate0 [M/s],(undefined),0.598604517900437,17.933979682589495,0.598604517900437,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.45835364225816483,10.989555746408628,(undefined),(undefined),0.45835364225816483,10.989555746408628,(undefined),(undefined),0.8405531634532363,25.182686219818457,0.8405531634532363,1.2963519849181904,1.2963519849181904,1.2963519849181904,24.760376749876837,(undefined)
Predict rate1 [M/s],,0.33760100317166475,10.120300839313368,0.33760100317166475,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.2585479160696651,6.201506640184591,,,0.2585479160696651,6.201506640184591,,,0.474055361889231,14.210810543574235,0.474055361889231,0.7313415950801818,0.7313415950801818,0.7313415950801818,9.705956097829546,
Predict rate2 [M/s],,0.7635249866527841,22.894946787680915,0.7635249866527841,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.6497651907584236,14.029545202406258,,,0.6497651907584236,14.029545202406258,,,1.0721329856402602,32.14882380135876,1.0721329856402602,2.297598949891454,2.297598949891454,2.297598949891454,21.960790552958294,
Predict rate3 [M/s],,3.554755674954033,57.5682850082516,3.554755674954033,8.227966624794284,8.227966624794284,31.982380560139777,,,3.554755674954033,57.5682850082516,29.618810945765553,8.227966624794284,8.227966624794284,31.982380560139777,,,3.554755674954033,57.5682850082516,29.618810945765553,8.227966624794284,8.227966624794284,31.982380560139777,,,3.2672766571385288,35.27664932436708,,,3.2672766571385288,35.27664932436708,,,4.991547343376656,80.83673299818055,4.991547343376656,11.553617141517508,11.553617141517508,11.553617141517508,55.22342581458261,
Predict rate4 [M/s],,5.553286167015819,43.140106822178126,5.553286167015819,12.854333413892226,12.854333413892226,43.140106822178126,,,5.553286167015819,43.140106822178126,43.140106822178126,12.854333413892226,12.854333413892226,43.140106822178126,,,5.553286167015819,43.140106822178126,43.140106822178126,12.854333413892226,12.854333413892226,43.140106822178126,,,6.3803695044333715,30.61870852565154,,,6.3803695044333715,30.61870852565154,,,7.797861359191736,43.140106822178126,7.797861359191736,18.04990922827214,18.04990922827214,18.04990922827214,43.140106822178126,
Backward rate0 [M/s],(undefined),0.598604517900437,17.933979682589495,0.598604517900437,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.598604517900437,17.933979682589495,1.6609295449019406,0.923203927130529,0.923203927130529,2.2668801956064,(undefined),(undefined),0.45835364225816483,10.989555746408628,(undefined),(undefined),0.45835364225816483,10.989555746408628,(undefined),(undefined),0.8405531634532363,25.182686219818457,0.8405531634532363,1.2963519849181904,1.2963519849181904,1.2963519849181904,24.760376749876837,(undefined)
Backward rate1 [M/s],,0.33760100317166475,10.120300839313368,0.33760100317166475,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.33760100317166475,10.120300839313368,1.1571051541695871,0.5208286802382097,0.5208286802382097,1.4055973387935232,,,0.2585479160696651,6.201506640184591,,,0.2585479160696651,6.201506640184591,,,0.474055361889231,14.210810543574235,0.474055361889231,0.7313415950801818,0.7313415950801818,0.7313415950801818,9.705956097829546,
Backward rate2 [M/s],,0.7635249866527841,22.894946787680915,0.7635249866527841,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.7635249866527841,22.894946787680915,5.889745130717459,1.6362467460997896,1.6362467460997896,6.3597074410224765,,,0.6497651907584236,14.029545202406258,,,0.6497651907584236,14.029545202406258,,,1.0721329856402602,32.14882380135876,1.0721329856402602,2.297598949891454,2.297598949891454,2.297598949891454,21.960790552958294,
Backward rate3 [M/s],,3.554755674954033,57.5682850082516,3.554755674954033,8.227966624794284,8.227966624794284,31.982380560139777,,,3.554755674954033,57.5682850082516,29.618810945765553,8.227966624794284,8.227966624794284,31.982380560139777,,,3.554755674954033,57.5682850082516,29.618810945765553,8.227966624794284,8.227966624794284,31.982380560139777,,,3.2672766571385288,35.27664932436708,,,3.2672766571385288,35.27664932436708,,,4.991547343376656,80.83673299818055,4.991547343376656,11.553617141517508,11.553617141517508,11.553617141517508,55.22342581458261,
Backward rate4 [M/s],,5.553286167015819,43.140106822178126,5.553286167015819,12.854333413892226,12.854333413892226,43.140106822178126,,,5.553286167015819,43.140106822178126,43.140106822178126,12.854333413892226,12.854333413892226,43.140106822178126,,,5.553286167015819,43.140106822178126,43.140106822178126,12.854333413892226,12.854333413892226,43.140106822178126,,,6.3803695044333715,30.61870852565154,,,6.3803695044333715,30.61870852565154,,,7.797861359191736,43.140106822178126,7.797861359191736,18.04990922827214,18.04990922827214,18.04990922827214,43.140106822178126,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
