,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,9.375,0.9,0.9,0.9,(undefined),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,15480000.0,15480000.0,15480000.0,15480000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),167.45099337115516,1.4069495792744173,167.45099337096144,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),167.45099337115516,1.4069495792744173,116.84303075984512,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),167.45099337115516,1.4069495792744173,116.84303075984512,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),75.91714498056012,1.00000012289409,(undefined),(undefined),75.91714498056012,1.00000012289409,(undefined),(undefined),179.27481710668113,1.5014520785534728,179.27481710661627,79.06317326885512,72.58254678771087,48.0313550370532,21.25653206895998,(undefined)
w-stacking planes predict,(undefined),167.45099337115516,1.4069495792744173,167.45099337096144,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),167.45099337115516,1.4069495792744173,116.84303075984512,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),167.45099337115516,1.4069495792744173,116.84303075984512,73.03893985592818,44.62285489046684,48.09836914216636,(undefined),(undefined),75.91714498056012,1.00000012289409,(undefined),(undefined),75.91714498056012,1.00000012289409,(undefined),(undefined),179.27481710668113,1.5014520785534728,179.27481710661627,79.06317326885512,72.58254678771087,48.0313550370532,21.25653206895998,(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Max Baseline [per bin]4 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Baseline fraction [per bin]0 [%],46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002
Baseline fraction [per bin]3 [%],18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454
Baseline fraction [per bin]4 [%],7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),16.31971496748411,6.044338876845966,(undefined),(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined)
Total FoV size [deg],15.825398244400175,42.72857525988047,15.825398244400175,42.72857525988047,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,42.72857525988047,15.825398244400175,28.485716839920315,15.825398244400175,15.825398244400175,15.825398244400175,15.825398244400175,6.044338876845965,16.31971496748411,6.044338876845965,(undefined),6.044338876845965,16.31971496748411,6.044338876845965,(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),6.646667262648073,6.646667262648073,6.646667262648073,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),6.079166226685156,6.079166226685156,6.079166226685156,6.079166226685156,(undefined)
PSF size [arcs],15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,5.900312033306332,5.900312033306332,5.900312033306332,(undefined),5.900312033306332,5.900312033306332,5.900312033306332,(undefined),14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477
Pixel size [arcs],3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,5.176145761544159,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,1.1800624066612664,1.1800624066612664,1.9667706777687772,(undefined),1.1800624066612664,1.1800624066612664,1.9667706777687772,(undefined),2.838451875895895,2.838451875895895,4.730753126493159,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895
Facet side length [pixels],(undefined),49529.41114293534,11006.535809541188,49529.41114293534,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49529.41114293534,11006.535809541188,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49529.41114293534,11006.535809541188,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,(undefined),(undefined),49786.32786817273,11063.628415149497,(undefined),(undefined),49786.32786817273,11063.628415149497,(undefined),(undefined),49565.49615182431,11014.554700405399,49565.49615182431,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined)
Image side length [pixels],18344.226349235312,49529.41114293534,11006.535809541187,49529.41114293534,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,11006.535809541187,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,49529.41114293534,11006.535809541187,33019.60742862356,18344.226349235312,18344.226349235312,18344.226349235312,18344.226349235312,18439.380691915823,49786.32786817273,11063.628415149495,(undefined),18439.380691915823,49786.32786817273,11063.628415149495,(undefined),18357.591167342336,49565.4961518243,11014.5547004054,49565.4961518243,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),7704.575066678831,7704.575066678831,7704.575066678831,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),7710.18829028378,7710.18829028378,7710.18829028378,7710.18829028378,(undefined)
Grid side dimension [lambda],66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,39849.11085377994,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,66415.18475629989,174791.4390652257,174791.4390652257,104874.86343913543,(undefined),174791.4390652257,174791.4390652257,104874.86343913543,(undefined),72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574
Baselines dimension [lambda],39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,39849.11085377993,104874.86343913543,104874.86343913543,104874.86343913543,(undefined),104874.86343913543,104874.86343913543,104874.86343913543,(undefined),43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],29.7,10.8,1.0,10.8,29.7,29.7,15.3,15.3,29.7,10.8,1.0,16.2,29.7,29.7,15.3,15.3,29.7,10.8,1.0,16.2,29.7,29.7,15.3,15.3,29.7,10.8,1.0,(undefined),29.7,10.8,1.0,(undefined),29.7,10.8,1.0,10.8,29.7,29.7,29.7,15.3,15.3
Coalesce time full1 [s],14.4,5.4,1.0,5.4,14.4,14.4,7.2,7.2,14.4,5.4,1.0,8.1,14.4,14.4,7.2,7.2,14.4,5.4,1.0,8.1,14.4,14.4,7.2,7.2,14.4,5.4,1.0,,14.4,5.4,1.0,,14.4,5.4,1.0,5.4,14.4,14.4,14.4,7.2,7.2
Coalesce time full2 [s],7.2,2.7,1.0,2.7,7.2,7.2,3.6,3.6,7.2,2.7,1.0,3.6,7.2,7.2,3.6,3.6,7.2,2.7,1.0,3.6,7.2,7.2,3.6,3.6,7.2,2.7,1.0,,7.2,2.7,1.0,,7.2,2.7,1.0,2.7,7.2,7.2,7.2,3.6,3.6
Coalesce time full3 [s],3.6,0.9,1.0,0.9,3.6,3.6,1.8,1.8,3.6,0.9,1.0,1.8,3.6,3.6,1.8,1.8,3.6,0.9,1.0,1.8,3.6,3.6,1.8,1.8,3.6,0.9,1.0,,3.6,0.9,1.0,,3.6,0.9,1.0,0.9,3.6,3.6,3.6,1.8,1.8
Coalesce time full4 [s],1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,0.9,,1.8,0.9,0.9,,1.8,0.9,0.9,0.9,1.8,1.8,1.8,0.9,0.9
Coalesce time pred0 [s],(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),10.0,1.0,10.0,10.0,10.0,10.0,10.0,(undefined)
Coalesce time pred1 [s],,5.4,1.0,5.4,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,8.1,10.0,10.0,7.2,,,5.4,1.0,,,5.4,1.0,,,5.4,1.0,5.4,10.0,10.0,10.0,7.2,
Coalesce time pred2 [s],,2.7,1.0,2.7,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,3.6,7.2,7.2,3.6,,,2.7,1.0,,,2.7,1.0,,,2.7,1.0,2.7,7.2,7.2,7.2,3.6,
Coalesce time pred3 [s],,0.9,1.0,0.9,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,1.8,3.6,3.6,1.8,,,0.9,1.0,,,0.9,1.0,,,0.9,1.0,0.9,3.6,3.6,3.6,1.8,
Coalesce time pred4 [s],,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,0.9,1.8,1.8,0.9,,,0.9,0.9,,,0.9,0.9,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,
