,hpso01 (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso01 (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02a (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (Ingest) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (RCAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (FastImg) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (ICAL) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepA) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepB) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepC) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso02b (DPrepD) [Nf_max=65536] [Na=128] [Bmax=8125.0],hpso04a (Ingest) [Na=128] [Bmax=8125.0],hpso04a (RCAL) [Na=128] [Bmax=8125.0],hpso04a (FastImg) [Na=128] [Bmax=8125.0],hpso04a (PSS) [Na=128] [Bmax=8125.0],hpso05a (Ingest) [Na=128] [Bmax=8125.0],hpso05a (RCAL) [Na=128] [Bmax=8125.0],hpso05a (FastImg) [Na=128] [Bmax=8125.0],hpso05a (PST) [Na=128] [Bmax=8125.0],max_low (Ingest) [Na=128] [Bmax=8125.0],max_low (RCAL) [Na=128] [Bmax=8125.0],max_low (FastImg) [Na=128] [Bmax=8125.0],max_low (ICAL) [Na=128] [Bmax=8125.0],max_low (DPrepA) [Na=128] [Bmax=8125.0],max_low (DPrepA_Image) [Na=128] [Bmax=8125.0],max_low (DPrepB) [Na=128] [Bmax=8125.0],max_low (DPrepC) [Na=128] [Bmax=8125.0],max_low (DPrepD) [Na=128] [Bmax=8125.0]
Kernel time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),10.0,10.0,10.0,(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),7.028851862645906,32.55476508226232,7.02885186263016,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),7.028851862645906,32.55476508226232,5.204613155990849,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),7.028851862645906,32.55476508226232,5.204613155990849,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),13.055884930059495,32.64426593397331,(undefined),(undefined),13.055884930059495,32.64426593397331,(undefined),(undefined),7.325193746988012,32.567468020591605,7.325193747002972,3.1336182565449278,3.1330348145535614,3.036511963106299,115.50135607076616,(undefined)
Visibilities kernel pred1,,24.857432973434772,64.99502319018,24.857432973379087,6.196742537053782,5.958017060148942,10.312814796281994,,,24.857432973434772,64.99502319018,18.404105858258838,6.196742537053782,5.958017060148942,10.312814796281994,,,24.857432973434772,64.99502319018,18.404105858258838,6.196742537053782,5.958017060148942,10.312814796281994,,,26.106294611905046,65.24680544875153,,,26.106294611905046,65.24680544875153,,,25.914878824731513,65.03229728536151,25.914878824784434,6.263684235247088,6.262518012655721,6.069581728317781,198.59423596218934,
Visibilities kernel bw0,(undefined),7.028851862645906,32.55476508226232,7.02885186263016,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),7.028851862645906,32.55476508226232,5.204613155990849,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),7.028851862645906,32.55476508226232,5.204613155990849,3.10012906462042,2.9806986082164757,3.7931893721639334,(undefined),(undefined),13.055884930059495,32.64426593397331,(undefined),(undefined),13.055884930059495,32.64426593397331,(undefined),(undefined),7.325193746988012,32.567468020591605,7.325193747002972,3.1336182565449278,3.1330348145535614,3.036511963106299,115.50135607076616,(undefined)
Visibilities kernel bw1,,24.857432973434772,64.99502319018,24.857432973379087,6.196742537053782,5.958017060148942,10.312814796281994,,,24.857432973434772,64.99502319018,18.404105858258838,6.196742537053782,5.958017060148942,10.312814796281994,,,24.857432973434772,64.99502319018,18.404105858258838,6.196742537053782,5.958017060148942,10.312814796281994,,,26.106294611905046,65.24680544875153,,,26.106294611905046,65.24680544875153,,,25.914878824731513,65.03229728536151,25.914878824784434,6.263684235247088,6.262518012655721,6.069581728317781,198.59423596218934,
Oversampling used pred0,(undefined),6.7063260618368545,25.671297738388773,6.706326061822644,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),6.7063260618368545,25.671297738388773,5.036478236607508,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),6.7063260618368545,25.671297738388773,5.036478236607508,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),11.894300042689608,25.725283657850348,(undefined),(undefined),11.894300042689608,25.725283657850348,(undefined),(undefined),6.973086824727702,25.678964643980194,6.973086824741138,3.081692551768896,3.0811328163914595,2.9884610727164542,53.61952645447714,(undefined)
Oversampling used pred1,,20.731739360814174,41.00404669914422,20.73173936077623,5.950588525180976,5.731939034889109,9.594067860348176,,,20.731739360814174,41.00404669914422,16.103201998032105,5.950588525180976,5.731939034889109,9.594067860348176,,,20.731739360814174,41.00404669914422,16.103201998032105,5.950588525180976,5.731939034889109,9.594067860348176,,,21.574404960778352,41.0950487238467,,,21.574404960778352,41.0950487238467,,,21.446320720195494,41.017541494961016,21.446320720230958,6.011753231619579,6.0106882044992815,5.834223818603753,61.195149713896,
Oversampling used bw0,(undefined),6.7063260618368545,25.671297738388773,6.706326061822644,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),6.7063260618368545,25.671297738388773,5.036478236607508,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),6.7063260618368545,25.671297738388773,5.036478236607508,3.0495557779927864,2.9348102683081763,3.7111858578037413,(undefined),(undefined),11.894300042689608,25.725283657850348,(undefined),(undefined),11.894300042689608,25.725283657850348,(undefined),(undefined),6.973086824727702,25.678964643980194,6.973086824741138,3.081692551768896,3.0811328163914595,2.9884610727164542,53.61952645447714,(undefined)
Oversampling used bw1,,20.731739360814174,41.00404669914422,20.73173936077623,5.950588525180976,5.731939034889109,9.594067860348176,,,20.731739360814174,41.00404669914422,16.103201998032105,5.950588525180976,5.731939034889109,9.594067860348176,,,20.731739360814174,41.00404669914422,16.103201998032105,5.950588525180976,5.731939034889109,9.594067860348176,,,21.574404960778352,41.0950487238467,,,21.574404960778352,41.0950487238467,,,21.446320720195494,41.017541494961016,21.446320720230958,6.011753231619579,6.0106882044992815,5.834223818603753,61.195149713896,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels predict, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear1",,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,,2019.558553451659,1453.9394929925988,,,2019.558553451659,1453.9394929925988,,,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,3331.7159644487933,
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),234.4927886790554,364.52288461678205,234.49278867958068,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),234.4927886790554,364.52288461678205,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),234.4927886790554,364.52288461678205,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),137.17276125809443,222.75933872570835,(undefined),(undefined),137.17276125809443,222.75933872570835,(undefined),(undefined),315.9513187581462,511.6591552951528,315.9513187575009,273.74080431197297,273.7917810452171,282.49491270759796,567.4045935863035,(undefined)
Frequencies predict kernels1,,234.4927886790554,365.0584789317333,234.49278867958068,197.0518693517062,204.9473320553327,395.4455875595481,,,234.4927886790554,365.0584789317333,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,,,234.4927886790554,365.0584789317333,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,,,137.17276125809443,222.83688572839077,,,137.17276125809443,222.83688572839077,,,315.9513187581462,512.3171260318907,315.9513187575009,273.74080431197297,273.7917810452171,282.49491270759796,567.4045935863035,
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies predict de-grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies total0,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,2019.558553451659,1453.9394929925988,(undefined),65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies total1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,8192.0,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,16384.0
Frequencies backward kernels0,(undefined),234.4927886790554,364.52288461678205,234.49278867958068,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),234.4927886790554,364.52288461678205,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),234.4927886790554,364.52288461678205,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,(undefined),(undefined),137.17276125809443,222.75933872570835,(undefined),(undefined),137.17276125809443,222.75933872570835,(undefined),(undefined),315.9513187581462,511.6591552951528,315.9513187575009,273.74080431197297,273.7917810452171,282.49491270759796,567.4045935863035,(undefined)
Frequencies backward kernels1,,234.4927886790554,365.0584789317333,234.49278867958068,197.0518693517062,204.9473320553327,395.4455875595481,,,234.4927886790554,365.0584789317333,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,,,234.4927886790554,365.0584789317333,211.1667063112622,197.0518693517062,204.9473320553327,395.4455875595481,,,137.17276125809443,222.83688572839077,,,137.17276125809443,222.83688572839077,,,315.9513187581462,512.3171260318907,315.9513187575009,273.74080431197297,273.7917810452171,282.49491270759796,567.4045935863035,
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward grid1,65536.0,3295.7371475272034,2372.6984303939844,3295.7371475272034,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,3295.7371475272034,2372.6984303939844,2197.389106924063,1221.0797008176821,1221.0797008176821,2372.6984303939844,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,2019.558553451659,1453.9394929925988,,65536.0,4627.836498461537,3331.7159644487933,4627.836498461537,1714.625960512763,1714.625960512763,1714.625960512763,65536.0,
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],57.414572970678584,57.414572970678584,324.6302137113641,57.414572970678584,57.414572970678584,57.414572970678584,111.59387101837065,111.59387101837065,57.414572970678584,57.414572970678584,324.6302137113641,57.414572970678584,57.414572970678584,57.414572970678584,111.59387101837065,111.59387101837065,57.414572970678584,57.414572970678584,324.6302137113641,57.414572970678584,57.414572970678584,57.414572970678584,111.59387101837065,111.59387101837065,57.56328950652616,57.56328950652616,324.6302137113641,(undefined),57.56328950652616,57.56328950652616,324.6302137113641,(undefined),57.43548406277946,57.43548406277946,324.6302137113641,57.43548406277946,57.43548406277946,57.43548406277946,57.43548406277946,111.6345148757403,111.6345148757403
Averaged rate0 [M/s],43.61983175297644,2.1935958843562484,8.929217404115388,2.1935958843562484,0.8127333237707841,0.8127333237707841,3.0694799596682185,10.59771419220213,43.61983175297644,2.1935958843562484,8.929217404115388,1.4625510122657897,0.8127333237707841,0.8127333237707841,3.0694799596682185,10.59771419220213,43.61983175297644,2.1935958843562484,8.929217404115388,1.4625510122657897,0.8127333237707841,0.8127333237707841,3.0694799596682185,10.59771419220213,43.73281683562905,1.3476712693318078,5.471635863645965,(undefined),43.73281683562905,1.3476712693318078,5.471635863645965,(undefined),43.63571863102876,3.081344166828506,12.538304823839477,3.081344166828506,1.1416463618529107,1.1416463618529107,1.1416463618529107,84.81259207817781,21.203148019544454
Averaged rate1 [M/s],12.311119774607983,0.6191133845341836,2.520153346260388,0.6191133845341836,0.2293832161118922,0.2293832161118922,0.8663200638470084,2.9910644657257435,12.311119774607983,0.6191133845341836,2.520153346260388,0.41278565195863354,0.2293832161118922,0.2293832161118922,0.8663200638470084,2.9910644657257435,12.311119774607983,0.6191133845341836,2.520153346260388,0.41278565195863354,0.2293832161118922,0.2293832161118922,0.8663200638470084,2.9910644657257435,12.3430083177174,0.3803623660792716,1.5442967515753787,,12.3430083177174,0.3803623660792716,1.5442967515753787,,12.3156036355191,0.8696685791784804,3.5387704686939765,0.8696685791784804,0.32221456471018084,0.32221456471018084,0.32221456471018084,23.937230784897917,5.984307696224479
Predict rate0 [M/s],(undefined),0.6202756549369991,4.465912587625227,0.6202756549369991,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6739769575694429,2.736614862340972,(undefined),(undefined),0.6739769575694429,2.736614862340972,(undefined),(undefined),0.8709839307305351,6.270982646895968,0.8709839307305351,0.3228170629110003,0.3228170629110003,0.3228170629110003,24.663277233210653,(undefined)
Predict rate1 [M/s],,0.6191133845341836,2.520153346260388,0.6191133845341836,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.6191133845341836,2.520153346260388,0.41278565195863354,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.6191133845341836,2.520153346260388,0.41278565195863354,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.38036236607927165,1.5442967515753787,,,0.38036236607927165,1.5442967515753787,,,0.8696685791784804,3.5387704686939765,0.8696685791784804,0.1821183972062414,0.1821183972062414,0.1821183972062414,11.968615392448958,
Backward rate0 [M/s],(undefined),0.6202756549369991,4.465912587625227,0.6202756549369991,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6202756549369991,4.465912587625227,0.4136040239265616,0.22989587989328858,0.22989587989328858,0.5644976173372799,(undefined),(undefined),0.6739769575694429,2.736614862340972,(undefined),(undefined),0.6739769575694429,2.736614862340972,(undefined),(undefined),0.8709839307305351,6.270982646895968,0.8709839307305351,0.3228170629110003,0.3228170629110003,0.3228170629110003,24.663277233210653,(undefined)
Backward rate1 [M/s],,0.6191133845341836,2.520153346260388,0.6191133845341836,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.6191133845341836,2.520153346260388,0.41278565195863354,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.6191133845341836,2.520153346260388,0.41278565195863354,0.12969655370637773,0.12969655370637773,0.43316003192350416,,,0.38036236607927165,1.5442967515753787,,,0.38036236607927165,1.5442967515753787,,,0.8696685791784804,3.5387704686939765,0.8696685791784804,0.1821183972062414,0.1821183972062414,0.1821183972062414,11.968615392448958,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W stack [lambda],(undefined),1.422331863925433,0.3452426734747415,1.4223318639371414,3.3171009125546953,5.074278390165147,4.834146807354074,(undefined),(undefined),1.422331863925433,0.3452426734747415,1.9447484187531343,3.3171009125546953,5.074278390165147,4.834146807354074,(undefined),(undefined),1.422331863925433,0.3452426734747415,1.9447484187531343,3.3171009125546953,5.074278390165147,4.834146807354074,(undefined),(undefined),8.166333204523255,0.9062737779456072,(undefined),(undefined),8.166333204523255,0.9062737779456072,(undefined),(undefined),1.442479764419583,0.37761227632268674,1.4424797644067957,3.346801945536158,3.3582714922375176,5.1278689195209175,6.87290297068747,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
