,hpso01 (Ingest) [Na=512] [Bmax=16250.0],hpso01 (RCAL) [Na=512] [Bmax=16250.0],hpso01 (FastImg) [Na=512] [Bmax=16250.0],hpso01 (ICAL) [Na=512] [Bmax=16250.0],hpso01 (DPrepA) [Na=512] [Bmax=16250.0],hpso01 (DPrepB) [Na=512] [Bmax=16250.0],hpso01 (DPrepC) [Na=512] [Bmax=16250.0],hpso01 (DPrepD) [Na=512] [Bmax=16250.0],hpso02a (Ingest) [Na=512] [Bmax=16250.0],hpso02a (RCAL) [Na=512] [Bmax=16250.0],hpso02a (FastImg) [Na=512] [Bmax=16250.0],hpso02a (ICAL) [Na=512] [Bmax=16250.0],hpso02a (DPrepA) [Na=512] [Bmax=16250.0],hpso02a (DPrepB) [Na=512] [Bmax=16250.0],hpso02a (DPrepC) [Na=512] [Bmax=16250.0],hpso02a (DPrepD) [Na=512] [Bmax=16250.0],hpso02b (Ingest) [Na=512] [Bmax=16250.0],hpso02b (RCAL) [Na=512] [Bmax=16250.0],hpso02b (FastImg) [Na=512] [Bmax=16250.0],hpso02b (ICAL) [Na=512] [Bmax=16250.0],hpso02b (DPrepA) [Na=512] [Bmax=16250.0],hpso02b (DPrepB) [Na=512] [Bmax=16250.0],hpso02b (DPrepC) [Na=512] [Bmax=16250.0],hpso02b (DPrepD) [Na=512] [Bmax=16250.0],hpso04a (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso04a (PSS) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],hpso05a (PST) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (Ingest) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (RCAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (FastImg) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (ICAL) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepA) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepA_Image) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepB) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepC) [Nf_max=32768] [Na=512] [Bmax=16250.0],max_low (DPrepD) [Nf_max=32768] [Na=512] [Bmax=16250.0]
Ingest rate [M/s],1130.2725945905336,1130.2725945905336,3195.3615166780733,1130.2725945905336,1130.2725945905336,1130.2725945905336,2196.855042373128,2196.855042373128,1130.2725945905336,1130.2725945905336,3195.3615166780733,1130.2725945905336,1130.2725945905336,1130.2725945905336,2196.855042373128,2196.855042373128,1130.2725945905336,1130.2725945905336,3195.3615166780733,1130.2725945905336,1130.2725945905336,1130.2725945905336,2196.855042373128,2196.855042373128,1133.2002524330258,1133.2002524330258,3195.3615166780733,(undefined),1133.2002524330258,1133.2002524330258,3195.3615166780733,(undefined),1130.6842537408445,1130.6842537408445,3195.3615166780733,1130.6842537408445,1130.6842537408445,1130.6842537408445,1130.6842537408445,2197.65516394064,2197.65516394064
Averaged rate0 [M/s],702.0388669534161,141.20436342044547,287.38039122510287,141.20436342044547,52.307261385604804,52.307261385604804,197.57797615287328,341.129571793089,702.0388669534161,141.20436342044547,287.38039122510287,94.14119196306187,52.307261385604804,52.307261385604804,197.57797615287328,341.129571793089,702.0388669534161,141.20436342044547,287.38039122510287,94.14119196306187,52.307261385604804,52.307261385604804,197.57797615287328,341.129571793089,703.8573040316991,86.75121827436134,176.10070145029448,(undefined),703.8573040316991,86.75121827436134,176.10070145029448,(undefined),702.2945581245889,198.34977869542345,403.53627580530457,198.34977869542345,73.47600876982885,73.47600876982885,73.47600876982885,1365.0152614787044,682.5076307393522
Averaged rate1 [M/s],198.14117180550167,39.85306134629366,81.10930911613443,39.85306134629366,14.763031724806378,14.763031724806378,55.76376688056998,96.27930343217983,198.14117180550167,39.85306134629366,81.10930911613443,26.570104546598408,14.763031724806378,14.763031724806378,55.76376688056998,96.27930343217983,198.14117180550167,39.85306134629366,81.10930911613443,26.570104546598408,14.763031724806378,14.763031724806378,55.76376688056998,96.27930343217983,198.65440158593987,24.484382351977935,49.70209055882297,,198.65440158593987,24.484382351977935,49.70209055882297,,198.21333725197667,55.98159792580398,113.89276907285068,55.98159792580398,20.737630297342562,20.737630297342562,20.737630297342562,385.25747814434123,192.62873907217062
Averaged rate2 [M/s],224.15807005923904,45.08596187220892,91.75935536082312,45.08596187220892,16.701489496106987,16.701489496106987,63.085820323359975,108.92124361306541,224.15807005923904,45.08596187220892,91.75935536082312,30.058888327783357,16.701489496106987,16.701489496106987,63.085820323359975,108.92124361306541,224.15807005923904,45.08596187220892,91.75935536082312,30.058888327783357,16.701489496106987,16.701489496106987,63.085820323359975,108.92124361306541,224.73868940266797,27.699300678403848,56.228216458271355,,224.73868940266797,27.699300678403848,56.228216458271355,,224.23971117935253,63.332253642864984,128.84744284309275,63.332253642864984,23.460581880566224,23.460581880566224,23.460581880566224,435.843656266936,217.921828133468
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),7.231542788829087,44.04441557972399,(undefined),(undefined),7.231542788829087,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,198.47141206567943,(undefined)
Predict rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,5.577191214183574,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.577191214183574,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.577191214183574,,,12.243475216787893,24.85466582850452,,,12.243475216787893,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,77.05149562886824,
Predict rate2 [M/s],,45.08596187220892,91.75935536082312,45.08596187220892,8.350744748053495,8.350744748053495,31.542910161679988,,,45.08596187220892,91.75935536082312,30.058888327783354,8.350744748053495,8.350744748053495,31.542910161679988,,,45.08596187220892,91.75935536082312,30.058888327783354,8.350744748053495,8.350744748053495,31.542910161679988,,,27.69930067840385,56.228216458271355,,,27.69930067840385,56.228216458271355,,,63.332253642864984,128.84744284309275,63.332253642864984,11.730290940283112,11.730290940283112,11.730290940283112,217.921828133468,
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),7.231542788829087,44.04441557972399,(undefined),(undefined),7.231542788829087,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,198.47141206567943,(undefined)
Backward rate1 [M/s],,9.964313055022608,40.560578265797105,9.964313055022608,2.0873996517782367,2.0873996517782367,5.577191214183574,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.577191214183574,,,9.964313055022608,40.560578265797105,4.429049200018094,2.0873996517782367,2.0873996517782367,5.577191214183574,,,12.243475216787893,24.85466582850452,,,12.243475216787893,24.85466582850452,,,13.996870675911918,56.9546995118936,13.996870675911918,2.93110239283116,2.93110239283116,2.93110239283116,77.05149562886824,
Backward rate2 [M/s],,45.08596187220892,91.75935536082312,45.08596187220892,8.350744748053495,8.350744748053495,31.542910161679988,,,45.08596187220892,91.75935536082312,30.058888327783354,8.350744748053495,8.350744748053495,31.542910161679988,,,45.08596187220892,91.75935536082312,30.058888327783354,8.350744748053495,8.350744748053495,31.542910161679988,,,27.69930067840385,56.228216458271355,,,27.69930067840385,56.228216458271355,,,63.332253642864984,128.84744284309275,63.332253642864984,11.730290940283112,11.730290940283112,11.730290940283112,217.921828133468,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W stack [lambda],(undefined),0.7719169849773582,1.3809917181164635,0.7719169849789319,1.8393535055938557,2.8444141083398815,2.591492875408896,(undefined),(undefined),0.7719169849773582,1.3809917181164635,1.0466854935245085,1.8393535055938557,2.8444141083398815,2.591492875408896,(undefined),(undefined),0.7719169849773582,1.3809917181164635,1.0466854935245085,1.8393535055938557,2.8444141083398815,2.591492875408896,(undefined),(undefined),4.366126986304393,3.625106995865657,(undefined),(undefined),4.366126986304393,3.625106995865657,(undefined),(undefined),0.7714046230247252,1.5104585055554542,0.7714046230170201,1.8547525846737583,1.875961270149858,2.8707957600915095,5.607695426658162,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.253389372844852,0.18455205923435844,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),4.253389372844852,0.18455205923435844,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),4.253389372844852,0.18455205923435844,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),3.680593749531744,0.08981558727294352,(undefined),(undefined),3.680593749531744,0.08981558727294352,(undefined),(undefined),3.716972643375304,0.17264561380323334,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,(undefined)
W kernel support pred1 [uv-pixels],,4.253389372844852,0.5223241974335304,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,0.5223241974335304,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,0.5223241974335304,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,3.680593749531744,0.254136932091098,,,3.680593749531744,0.254136932091098,,,3.716972643375304,0.4886127695866622,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,
W kernel support pred2 [uv-pixels],,4.253389372844852,1.4792300312577635,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,1.4792300312577635,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,1.4792300312577635,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,3.680593749531744,0.7193727371509425,,,3.680593749531744,0.7193727371509425,,,3.716972643375304,1.3836818435871712,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,
AW kernel support pred0 [uv-pixels],(undefined),9.954462374082768,9.001891993496013,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.954462374082768,9.001891993496013,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.954462374082768,9.001891993496013,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.723516357218315,9.000448146604544,(undefined),(undefined),9.723516357218315,9.000448146604544,(undefined),(undefined),9.737344896407869,9.001655764800468,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,(undefined)
AW kernel support pred1 [uv-pixels],,9.954462374082768,9.015144068023794,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.015144068023794,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.015144068023794,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.723516357218315,9.003587372833826,,,9.723516357218315,9.003587372833826,,,9.737344896407869,9.013253709876537,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,
AW kernel support pred2 [uv-pixels],,9.954462374082768,9.1207522433939,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.1207522433939,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.1207522433939,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.723516357218315,9.028704067304236,,,9.723516357218315,9.028704067304236,,,9.737344896407869,9.10574409064261,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,
W kernel support bw0 [uv-pixels],(undefined),4.253389372844852,0.18455205923435844,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),4.253389372844852,0.18455205923435844,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),4.253389372844852,0.18455205923435844,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,(undefined),(undefined),3.680593749531744,0.08981558727294352,(undefined),(undefined),3.680593749531744,0.08981558727294352,(undefined),(undefined),3.716972643375304,0.17264561380323334,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,(undefined)
W kernel support bw1 [uv-pixels],,4.253389372844852,0.5223241974335304,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,0.5223241974335304,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,0.5223241974335304,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,3.680593749531744,0.254136932091098,,,3.680593749531744,0.254136932091098,,,3.716972643375304,0.4886127695866622,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,
W kernel support bw2 [uv-pixels],,4.253389372844852,1.4792300312577635,4.2533893728513785,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,1.4792300312577635,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,4.253389372844852,1.4792300312577635,2.9059427317962823,1.8346827282582823,2.5460436188059608,2.3738974975811145,,,3.680593749531744,0.7193727371509425,,,3.680593749531744,0.7193727371509425,,,3.716972643375304,1.3836818435871712,3.716972643347372,1.6144814194677686,1.628332600243098,2.241842112927907,3.7090910967988466,
AW kernel support bw0 [uv-pixels],(undefined),9.954462374082768,9.001891993496013,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.954462374082768,9.001891993496013,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.954462374082768,9.001891993496013,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,(undefined),(undefined),9.723516357218315,9.000448146604544,(undefined),(undefined),9.723516357218315,9.000448146604544,(undefined),(undefined),9.737344896407869,9.001655764800468,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,(undefined)
AW kernel support bw1 [uv-pixels],,9.954462374082768,9.015144068023794,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.015144068023794,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.015144068023794,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.723516357218315,9.003587372833826,,,9.723516357218315,9.003587372833826,,,9.737344896407869,9.013253709876537,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,
AW kernel support bw2 [uv-pixels],,9.954462374082768,9.1207522433939,9.954462374085557,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.1207522433939,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.954462374082768,9.1207522433939,9.457510410276038,9.185099929416623,9.353199351497995,9.307813348419803,,,9.723516357218315,9.028704067304236,,,9.723516357218315,9.028704067304236,,,9.737344896407869,9.10574409064261,9.737344896397207,9.143661753029072,9.146117594751034,9.275012456018432,9.734339051232624,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.30851317395413796,101.66714166272077,0.17242823473506175,101.66714166272077,3.7661228197635466,3.0128982558108377,3.793497142135167,1.1992836508350788,0.30851317395413796,101.66714166272077,0.17242823473506175,67.78165821340455,3.7661228197635466,3.0128982558108377,3.793497142135167,1.1992836508350788,0.30851317395413796,101.66714166272077,0.17242823473506175,67.78165821340455,3.7661228197635466,3.0128982558108377,3.793497142135167,1.1992836508350788,0.30931229181080533,62.460877157540175,0.10566042087017669,(undefined),0.30931229181080533,62.460877157540175,0.10566042087017669,(undefined),0.3086255382383447,142.81184066070492,0.2421217654831828,142.81184066070492,5.290272631427677,26.451363157138392,4.232218105142143,0.5998602223295089,1.1997204446590177
Snapshot vis size1 [GB],0.08707375714108961,28.694204169331442,0.04866558546968066,28.694204169331442,1.0629382841860593,0.8503506273488476,1.0706643241069436,0.33848192612875727,0.08707375714108961,28.694204169331442,0.04866558546968066,19.130475273550857,1.0629382841860593,0.8503506273488476,1.0706643241069436,0.33848192612875727,0.08707375714108961,28.694204169331442,0.04866558546968066,19.130475273550857,1.0629382841860593,0.8503506273488476,1.0706643241069436,0.33848192612875727,0.08729929757194625,17.628755293424117,0.029821254335293784,,0.08729929757194625,17.628755293424117,0.029821254335293784,,0.08710547047206006,40.30675050657887,0.06833566144371042,40.30675050657887,1.4931093814086647,7.465546907043324,1.194487505126932,0.16930260270015,0.3386052054003
Snapshot vis size2 [GB],0.09850696438150154,32.46189254799043,0.055055613216493875,32.46189254799043,1.2025072437197033,0.9620057949757628,1.2112477502085115,0.3829262470771832,0.09850696438150154,32.46189254799043,0.055055613216493875,21.64239959600402,1.2025072437197033,0.9620057949757628,1.2112477502085115,0.3829262470771832,0.09850696438150154,32.46189254799043,0.055055613216493875,21.64239959600402,1.2025072437197033,0.9620057949757628,1.2112477502085115,0.3829262470771832,0.09876211936640684,19.943496488450773,0.033736929874962816,,0.09876211936640684,19.943496488450773,0.033736929874962816,,0.0985428418268639,45.59922262286279,0.07730846570585566,45.59922262286279,1.6891618954007683,8.445809477003843,1.351329516320615,0.1915328567579309,0.3830657135158618
Facet size [GB],(undefined),1.2265812840829637,0.060571915263356244,1.2265812840829637,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),1.2265812840829637,0.060571915263356244,0.545147237370206,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),1.2265812840829637,0.060571915263356244,0.545147237370206,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),1.2393392212985965,0.061201936854251675,(undefined),(undefined),1.2393392212985965,0.061201936854251675,(undefined),(undefined),1.2283692043882553,0.06066020762411133,1.2283692043882553,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266,(undefined)
Image size [GB],0.16825532017598957,1.226581284082964,0.06057191526335623,1.226581284082964,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,1.226581284082964,0.06057191526335623,0.5451472373702061,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,1.226581284082964,0.06057191526335623,0.5451472373702061,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.17000538015069902,1.2393392212985963,0.06120193685425166,(undefined),0.17000538015069902,1.2393392212985963,0.06120193685425166,(undefined),0.16850057673364266,1.2283692043882546,0.060660207624111354,1.2283692043882546,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266
Image cube size [GB],88214.24530442922,392.50601090654845,9.691506442136998,392.50601090654845,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,88214.24530442922,392.50601090654845,9.691506442136998,174.44711595846593,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,88214.24530442922,392.50601090654845,9.691506442136998,174.44711595846593,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,44565.890374224844,198.29427540777542,4.896154948340133,(undefined),44565.890374224844,198.29427540777542,4.896154948340133,(undefined),44171.41518726402,196.53907270212073,4.852816609928908,196.53907270212073,13.480046138691414,13.480046138691414,337.00115346728535,44171.41518726402,11042.853796816005
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,(undefined),0.0,0.3145728,0.0,(undefined),0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0
