,hpso01 (Ingest) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (RCAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (FastImg) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (ICAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (DPrepA) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (DPrepB) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (DPrepC) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso01 (DPrepD) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (Ingest) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (RCAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (FastImg) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (ICAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (DPrepA) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (DPrepB) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (DPrepC) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02a (DPrepD) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (Ingest) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (RCAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (FastImg) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (ICAL) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (DPrepA) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (DPrepB) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (DPrepC) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso02b (DPrepD) [Nf_max=65536] [Na=512] [Bmax=4062.5],hpso04a (Ingest) [Na=512] [Bmax=4062.5],hpso04a (RCAL) [Na=512] [Bmax=4062.5],hpso04a (FastImg) [Na=512] [Bmax=4062.5],hpso04a (PSS) [Na=512] [Bmax=4062.5],hpso05a (Ingest) [Na=512] [Bmax=4062.5],hpso05a (RCAL) [Na=512] [Bmax=4062.5],hpso05a (FastImg) [Na=512] [Bmax=4062.5],hpso05a (PST) [Na=512] [Bmax=4062.5],max_low (Ingest) [Na=512] [Bmax=4062.5],max_low (RCAL) [Na=512] [Bmax=4062.5],max_low (FastImg) [Na=512] [Bmax=4062.5],max_low (ICAL) [Na=512] [Bmax=4062.5],max_low (DPrepA) [Na=512] [Bmax=4062.5],max_low (DPrepA_Image) [Na=512] [Bmax=4062.5],max_low (DPrepB) [Na=512] [Bmax=4062.5],max_low (DPrepC) [Na=512] [Bmax=4062.5],max_low (DPrepD) [Na=512] [Bmax=4062.5]
Oversampling used bw0,(undefined),8.09410843001389,25.671297738388773,8.094108430008582,3.184818977792794,3.175359711469767,3.991939507554818,(undefined),(undefined),8.09410843001389,25.671297738388773,5.57882353916019,3.184818977792794,3.175359711469767,3.991939507554818,(undefined),(undefined),8.09410843001389,25.671297738388773,5.57882353916019,3.184818977792794,3.175359711469767,3.991939507554818,(undefined),(undefined),8.152632267345986,25.725283690424163,(undefined),(undefined),8.152632267345986,25.725283690424163,(undefined),(undefined),8.13332247210905,25.678964643980194,8.13332247210905,3.188302971816171,3.18824765732829,3.1809513030305467,55.3616591003906,(undefined)
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
"Channels backward, no-smear0",(undefined),1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1186.6956875807953,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),1009.991056768289,727.1815092638062,(undefined),(undefined),2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,1666.3443177517802,(undefined)
Frequencies predict ifft,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,200.0,200,200.0,200.0,40960.0,65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,(undefined),65536.0,200.0,40.0,200.0,200,200.0,200.0,200.0,65536.0
Frequencies predict kernels0,(undefined),191.9683690667545,364.52288461678205,191.96836906688924,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),191.9683690667545,364.52288461678205,189.77201855440202,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),191.9683690667545,364.52288461678205,189.77201855440202,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),116.72992188552118,222.75933835694266,(undefined),(undefined),116.72992188552118,222.75933835694266,(undefined),(undefined),268.1681418061532,511.6591552951528,268.1681418061532,264.3577791951268,264.36248487758394,264.98463039398376,515.3535085418634,(undefined)
Frequencies predict de-grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies total0,65536.0,1648.2150744838107,1186.6956875807953,1648.2150744838107,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1648.2150744838107,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,8192.0,65536.0,1009.9910567682889,727.1815092638062,(undefined),65536.0,1009.9910567682889,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,16384.0
Frequencies backward kernels0,(undefined),191.9683690667545,364.52288461678205,191.96836906688924,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),191.9683690667545,364.52288461678205,189.77201855440202,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),191.9683690667545,364.52288461678205,189.77201855440202,188.4750933082617,189.05112892081337,366.78570071968306,(undefined),(undefined),116.72992188552118,222.75933835694266,(undefined),(undefined),116.72992188552118,222.75933835694266,(undefined),(undefined),268.1681418061532,511.6591552951528,268.1681418061532,264.3577791951268,264.36248487758394,264.98463039398376,515.3535085418634,(undefined)
Frequencies backward grid0,65536.0,1648.215074483811,1186.6956875807953,1648.215074483811,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1648.215074483811,1186.6956875807953,1099.0410177748508,610.88622741501,610.88622741501,1500.0,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,1009.991056768289,727.1815092638062,(undefined),65536.0,2314.4046245197887,1666.3443177517802,2314.4046245197887,857.7991819532908,857.7991819532908,857.7991819532908,65536.0,(undefined)
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],353.9866763628964,353.9866763628964,4002.9826733135887,353.9866763628964,353.9866763628964,353.9866763628964,688.0264270960733,688.0264270960733,353.9866763628964,353.9866763628964,4002.9826733135887,353.9866763628964,353.9866763628964,353.9866763628964,688.0264270960733,688.0264270960733,353.9866763628964,353.9866763628964,4002.9826733135887,353.9866763628964,353.9866763628964,353.9866763628964,688.0264270960733,688.0264270960733,354.90358072220897,354.90358072220897,4002.9826733135887,(undefined),354.90358072220897,354.90358072220897,4002.9826733135887,(undefined),354.11560265475765,354.11560265475765,4002.9826733135887,354.11560265475765,354.11560265475765,354.11560265475765,354.11560265475765,688.2770147646813,688.2770147646813
Averaged rate0 [M/s],351.01943347670806,8.828056666459311,71.87657739453515,8.828056666459311,3.2719869608450356,3.2719869608450356,15.615672536915087,85.28239294827225,351.01943347670806,8.828056666459311,71.87657739453515,5.886608206588635,3.2719869608450356,3.2719869608450356,15.615672536915087,85.28239294827225,351.01943347670806,8.828056666459311,71.87657739453515,5.886608206588635,3.2719869608450356,3.2719869608450356,15.615672536915087,85.28239294827225,351.92865201584954,5.423657091621815,44.04441557972399,(undefined),351.92865201584954,5.423657091621815,44.04441557972399,(undefined),351.14727906229444,12.400770363606492,100.92825614374298,12.400770363606492,4.596158580394899,4.596158580394899,4.596158580394899,682.5076307393522,170.62690768483805
Predict rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
Backward rate0 [M/s],(undefined),9.98301920229312,71.87657739453515,9.98301920229312,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),9.98301920229312,71.87657739453515,6.656745077999149,3.700056523636865,3.700056523636865,9.085300234940158,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),6.117381323562931,44.04441557972399,(undefined),(undefined),14.018040585930818,100.92825614374298,14.018040585930818,5.195575406221139,5.195575406221139,5.195575406221139,396.94282413135886,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W stack [lambda],(undefined),0.2643927828672945,0.1,0.26439278287302315,0.5499892278483733,0.8470690088390092,0.8444749766397648,(undefined),(undefined),0.2643927828672945,0.1,0.3573797239712907,0.5499892278483733,0.8470690088390092,0.8444749766397648,(undefined),(undefined),0.2643927828672945,0.1,0.3573797239712907,0.5499892278483733,0.8470690088390092,0.8444749766397648,(undefined),(undefined),1.5098575882822622,0.22656453798091633,(undefined),(undefined),1.5098575882822622,0.22656453798091633,(undefined),(undefined),0.26670392080615635,0.1,0.2667039208060709,0.5543966037913719,0.556921931967459,0.8539942688428097,1.1106777722355383,(undefined)
Delta W theory [lambda],(undefined),1.0,12.587303150687525,1.0,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),1.0,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),11.803825775723876,89.35330487828081,(undefined),(undefined),1.3581201072478302,15.152462172657435,1.3581201072478302,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),1.9003122385157258,0.18455205923435844,1.9003122385466684,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.9003122385157258,0.18455205923435844,1.2958528695284668,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.9003122385157258,0.18455205923435844,1.2958528695284668,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.6565993562386025,0.08981409127053162,(undefined),(undefined),1.6565993562386025,0.08981409127053162,(undefined),(undefined),1.6726847319373106,0.17264561380323334,1.6726847319369083,0.6518599046707332,0.6540877927992043,0.9016422635636118,1.0983619668201212,(undefined)
AW kernel support pred0 [uv-pixels],(undefined),9.19843392126359,9.001891993496013,9.19843392126998,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.19843392126359,9.001891993496013,9.092812252513804,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.19843392126359,9.001891993496013,9.092812252513804,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.151192350021397,9.000448131676041,(undefined),(undefined),9.151192350021397,9.000448131676041,(undefined),(undefined),9.154117882814061,9.001655764800468,9.154117882813988,9.023575861891855,9.023737077324943,9.04505161795355,9.06677445457628,(undefined)
W kernel support bw0 [uv-pixels],(undefined),1.9003122385157258,0.18455205923435844,1.9003122385466684,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.9003122385157258,0.18455205923435844,1.2958528695284668,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.9003122385157258,0.18455205923435844,1.2958528695284668,0.7408858298025612,1.024690112018475,1.0223326153579315,(undefined),(undefined),1.6565993562386025,0.08981409127053162,(undefined),(undefined),1.6565993562386025,0.08981409127053162,(undefined),(undefined),1.6726847319373106,0.17264561380323334,1.6726847319369083,0.6518599046707332,0.6540877927992043,0.9016422635636118,1.0983619668201212,(undefined)
AW kernel support bw0 [uv-pixels],(undefined),9.19843392126359,9.001891993496013,9.19843392126998,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.19843392126359,9.001891993496013,9.092812252513804,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.19843392126359,9.001891993496013,9.092812252513804,9.03044361107483,9.058144943953394,9.057878558273156,(undefined),(undefined),9.151192350021397,9.000448131676041,(undefined),(undefined),9.151192350021397,9.000448131676041,(undefined),(undefined),9.154117882814061,9.001655764800468,9.154117882813988,9.023575861891855,9.023737077324943,9.04505161795355,9.06677445457628,(undefined)
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.15425658697706898,6.356200799850704,0.043125946436721095,6.356200799850704,0.23558306118084263,0.18846644894467407,0.29982091270876965,0.2998209127087697,0.15425658697706898,6.356200799850704,0.043125946436721095,4.238357908743817,0.23558306118084263,0.18846644894467407,0.29982091270876965,0.2998209127087697,0.15425658697706898,6.356200799850704,0.043125946436721095,4.238357908743817,0.23558306118084263,0.18846644894467407,0.29982091270876965,0.2998209127087697,0.15465614590540266,3.9050331059677075,0.026426649347834397,(undefined),0.15465614590540266,3.9050331059677075,0.026426649347834397,(undefined),0.15431276911917235,8.928554661796676,0.0605569536862458,8.928554661796676,0.33092341778843287,1.654617088942164,0.26473873423074623,0.29993011116475443,0.29993011116475443
Facet size [GB],(undefined),0.07666133025518523,0.0037857447039597652,0.07666133025518523,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07666133025518523,0.0037857447039597652,0.034071702335637874,0.010515957510999346,0.010515957510999346,0.010515957510999346,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07745870133116228,0.0038251210533907297,(undefined),(undefined),0.07677307527426595,0.0037912629765069583,0.07677307527426595,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,(undefined)
Image size [GB],0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.07666133025518525,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.07666133025518525,0.0037857447039597644,0.03407170233563788,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010515957510999348,0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010625336259418689,0.07745870133116227,0.003825121053390729,(undefined),0.010531286045852666,0.07677307527426591,0.0037912629765069596,0.07677307527426591,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666,0.010531286045852666
Image cube size [GB],5513.390331526826,24.53162568165928,0.6057191526335624,24.53162568165928,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,5513.390331526826,24.53162568165928,0.6057191526335624,10.90294474740412,1.6825532017598959,42.06383004399739,126.19149013199217,689.1737914408533,2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2785.3681483890527,12.393392212985963,0.3060096842712583,(undefined),2760.7134492040013,12.283692043882546,0.30330103812055675,12.283692043882546,0.8425028836682134,0.8425028836682134,21.062572091705334,2760.7134492040013,690.1783623010003
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,0.3145728,0.0,(undefined),0.0,0.3145728,0.0,(undefined),0.0,2.8311552,0.0,19.9163904,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,10,600,600,600,10,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,46.516737202893616,0.0,14536.480375904255,0.0,0.0,0.0,0.0,0.0,46.516737202893616,0.0,14536.480375904255,0.0,0.0,0.0,0.0,0.0,46.516737202893616,0.0,14536.480375904255,0.0,0.0,0.0,0.0,0.0,77.52789533815603,0.0,(undefined),0.0,77.52789533815603,0.0,(undefined),0.0,33.226240859209724,0.0,14370.349171608206,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.43690666666666667,0.0,(undefined),0.0,0.43690666666666667,0.0,(undefined),0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),2.4914932332935202e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),1.107330325908231e-05,3.4176861910747882e-06,0.0003417686191074788,0.0010253058573224364,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),3.493174924979101e-05,4.791735150862964e-06,4.791735150862964e-06,0.00034226679649021165,0.044861593549565024,(undefined)
Working (cache) memory [TeraBytes],(undefined),5.621663415390397e-07,5.149281446521983e-10,5.621663415665008e-07,3.331530620243216e-08,8.813889061539408e-08,8.753194774495597e-08,(undefined),(undefined),5.621663415390397e-07,5.149281446521983e-10,1.7826128298635976e-07,3.331530620243216e-08,8.813889061539408e-08,8.753194774495597e-08,(undefined),(undefined),5.621663415390397e-07,5.149281446521983e-10,1.7826128298635976e-07,3.331530620243216e-08,8.813889061539408e-08,8.753194774495597e-08,(undefined),(undefined),1.1172842150533566e-07,1.7805109080970873e-11,(undefined),(undefined),1.1172842150533566e-07,1.7805109080970873e-11,(undefined),(undefined),2.683677109403338e-07,2.950900944178148e-10,2.6836771094013994e-07,1.588366760286323e-08,1.6047083617841748e-08,4.203303655900236e-08,7.598440060486415e-08,(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.6116889767550848,0.6116889767550848,3.4585770297429406,0.6116889767550848,0.3058444883775424,0.6116889767550848,1.1889096660220146,1.1889096660220146,0.6116889767550848,0.6116889767550848,3.4585770297429406,0.6116889767550848,0.3058444883775424,0.6116889767550848,1.1889096660220146,1.1889096660220146,0.6116889767550848,0.6116889767550848,3.4585770297429406,0.6116889767550848,0.3058444883775424,0.6116889767550848,1.1889096660220146,1.1889096660220146,0.04088489249919847,0.04088489249919847,0.2305718019828627,0.002102152,0.04088489249919847,0.04088489249919847,0.2305718019828627,0.00077309411328,0.36714705683245275,0.36714705683245275,2.0751462178457643,0.36714705683245275,0.18357352841622637,0.18357352841622637,0.36714705683245275,0.7136056089080216,0.7136056089080216
Total buffer ingest rate [TeraBytes/s],0.03398272093083805,0.03398272093083805,0.19214316831905226,0.03398272093083805,0.016991360465419027,0.03398272093083805,0.06605053700122304,0.06605053700122304,0.03398272093083805,0.03398272093083805,0.19214316831905226,0.03398272093083805,0.016991360465419027,0.03398272093083805,0.06605053700122304,0.06605053700122304,0.03398272093083805,0.03398272093083805,0.19214316831905226,0.03398272093083805,0.016991360465419027,0.03398272093083805,0.06605053700122304,0.06605053700122304,0.01703537187466603,0.01703537187466603,0.09607158415952613,(undefined),0.01703537187466603,0.01703537187466603,0.09607158415952613,(undefined),0.016997548927428368,0.016997548927428368,0.09607158415952613,0.016997548927428368,0.008498774463714184,0.008498774463714184,0.016997548927428368,0.03303729670870471,0.03303729670870471
Output size [TB],0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,95.26627779152612,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,95.26627779152612,0.0,0.0,0.0,0.0,0.00037100298098805695,0.01855014904940285,0.05565044714820854,95.26627779152612,0.0,0.0,0.0,0.2147152,0.0,0.0,0.0,0.77309411328,0.0,0.0,0.0,0.0,0.0002600806401883774,0.0002600806401883774,0.009288594292442049,1.2174746310989644,114.31953334983135
Buffer Read Rate [TeraBytes/s],0.03369786561376397,0.0016949868799601877,0.006900151429875375,0.008474934399800937,0.0018846644894467406,0.003769328978893481,0.017989254762526184,0.09824531667640964,0.03369786561376397,0.0016949868799601877,0.006900151429875375,0.00565114387832509,0.0018846644894467406,0.003769328978893481,0.017989254762526184,0.09824531667640964,0.03369786561376397,0.0016949868799601877,0.006900151429875375,0.00565114387832509,0.0018846644894467406,0.003769328978893481,0.017989254762526184,0.09824531667640964,0.01689257529676078,0.0005206710807956944,0.0021141319478267515,0.0008758966666666667,0.01689257529676078,0.0005206710807956944,0.0021141319478267515,0.0003221225472,0.016855069394990135,0.0011904739549062234,0.004844556294899664,0.005952369774531116,0.001323693671153731,0.001323693671153731,0.002647387342307462,0.3931243953058669,0.09828109882646673
Facet visibility rate [TeraBytes/s],0.0,0.0009583698434201395,0.0034500757149376875,0.008625328590781255,0.0019536298444802654,0.003907259688960531,0.009594077048096809,(undefined),0.0,0.0009583698434201395,0.0034500757149376875,0.005751427747391266,0.0019536298444802654,0.003907259688960531,0.009594077048096809,(undefined),0.0,0.0009583698434201395,0.0034500757149376875,0.005751427747391266,0.0019536298444802654,0.003907259688960531,0.009594077048096809,(undefined),0.0,0.0002936343035310207,0.0010570659739133758,(undefined),0.0,0.0002936343035310207,0.0010570659739133758,(undefined),0.0,0.0006728659481246793,0.0024222781474498314,0.0060557935331221144,0.0013716319072423812,0.0013716319072423812,0.0027432638144847623,0.20958581114135752,(undefined)
Image Write Rate [TeraBytes/s],0.0,4.0886042802765456e-05,0.0006057191526335625,0.0003679743852248892,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,4.0886042802765456e-05,0.0006057191526335625,0.0001635441712110618,0.0001542340434946571,0.0007711702174732854,0.002313510652419856,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0655653688309945e-05,0.00030600968427125835,(undefined),0.0,2.0472820073137588e-05,0.00030330103812055664,0.00018425538065823833,7.722943100291955e-05,1.5445886200583913e-05,0.00038614715501459777,0.050613079902073366,(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
