,hpso01 (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso01 (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02a (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (Ingest) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (RCAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (FastImg) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (ICAL) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepA) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepB) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepC) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso02b (DPrepD) [Nf_max=65536] [Na=64] [Bmax=16250.0],hpso04a (Ingest) [Na=64] [Bmax=16250.0],hpso04a (RCAL) [Na=64] [Bmax=16250.0],hpso04a (FastImg) [Na=64] [Bmax=16250.0],hpso04a (PSS) [Na=64] [Bmax=16250.0],hpso05a (Ingest) [Na=64] [Bmax=16250.0],hpso05a (RCAL) [Na=64] [Bmax=16250.0],hpso05a (FastImg) [Na=64] [Bmax=16250.0],hpso05a (PST) [Na=64] [Bmax=16250.0],max_low (Ingest) [Na=64] [Bmax=16250.0],max_low (RCAL) [Na=64] [Bmax=16250.0],max_low (FastImg) [Na=64] [Bmax=16250.0],max_low (ICAL) [Na=64] [Bmax=16250.0],max_low (DPrepA) [Na=64] [Bmax=16250.0],max_low (DPrepA_Image) [Na=64] [Bmax=16250.0],max_low (DPrepB) [Na=64] [Bmax=16250.0],max_low (DPrepC) [Na=64] [Bmax=16250.0],max_low (DPrepD) [Na=64] [Bmax=16250.0]
Ingest rate [M/s],36.137878221735974,36.137878221735974,102.16436806199542,36.137878221735974,36.137878221735974,36.137878221735974,70.2394098309067,70.2394098309067,36.137878221735974,36.137878221735974,102.16436806199542,36.137878221735974,36.137878221735974,36.137878221735974,70.2394098309067,70.2394098309067,36.137878221735974,36.137878221735974,102.16436806199542,36.137878221735974,36.137878221735974,36.137878221735974,70.2394098309067,70.2394098309067,36.231483377778204,36.231483377778204,102.16436806199542,(undefined),36.231483377778204,36.231483377778204,102.16436806199542,(undefined),36.151040080489345,36.151040080489345,102.16436806199542,36.151040080489345,36.151040080489345,36.151040080489345,36.151040080489345,70.26499188598589,70.26499188598589
Averaged rate0 [M/s],21.63818425541351,2.1760946417534406,4.428807399016996,2.1760946417534406,0.8061050556000741,0.8061050556000741,3.0448660708490745,5.257133811879797,21.63818425541351,2.1760946417534406,4.428807399016996,1.4508060405266385,0.8061050556000741,0.8061050556000741,3.0448660708490745,5.257133811879797,21.63818425541351,2.1760946417534406,4.428807399016996,1.4508060405266385,0.8061050556000741,0.8061050556000741,3.0448660708490745,5.257133811879797,21.694231973579768,1.3369194597076235,2.71388067303536,(undefined),21.694231973579768,1.3369194597076235,2.71388067303536,(undefined),21.646065147675685,3.0567602881144027,6.218880962752982,3.0567602881144027,1.1323357515898282,1.1323357515898282,1.1323357515898282,42.07238819626144,10.51809704906536
Averaged rate1 [M/s],6.107090911813407,0.6141738906106899,1.2499722295294688,0.6141738906106899,0.2275124752110572,0.2275124752110572,0.8593731197348113,1.4837563885096205,6.107090911813407,0.6141738906106899,1.2499722295294688,0.40947078924552344,0.2275124752110572,0.2275124752110572,0.8593731197348113,1.4837563885096205,6.107090911813407,0.6141738906106899,1.2499722295294688,0.40947078924552344,0.2275124752110572,0.2275124752110572,0.8593731197348113,1.4837563885096205,6.122909637922803,0.37732781021883804,0.7659568750503539,,6.122909637922803,0.37732781021883804,0.7659568750503539,,6.109315189273254,0.8627301050209518,1.7551967836569453,0.8627301050209518,0.31958676828096416,0.31958676828096416,0.31958676828096416,11.87437432636668,2.96859358159167
Averaged rate2 [M/s],6.908981611414902,0.6948179055648634,1.414099654533233,0.6948179055648634,0.2573859682619228,0.2573859682619228,0.9722129844353421,1.6785808091054604,6.908981611414902,0.6948179055648634,1.414099654533233,0.4632362927226888,0.2573859682619228,0.2573859682619228,0.9722129844353421,1.6785808091054604,6.908981611414902,0.6948179055648634,1.414099654533233,0.4632362927226888,0.2573859682619228,0.2573859682619228,0.9722129844353421,1.6785808091054604,6.926877413095931,0.4268727844274566,0.8665307330897983,,6.926877413095931,0.4268727844274566,0.8665307330897983,,6.911497947308811,0.9760107581948371,1.9856626465545115,0.9760107581948371,0.3615500632279042,0.3615500632279042,0.3615500632279042,13.433537350693234,3.3583843376733085
Predict rate0 [M/s],(undefined),0.036972631987968164,1.1076869803952336,0.04619963199968782,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.036972631987968164,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.036972631987968164,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.028310077904180768,0.6787666784546506,(undefined),(undefined),0.028310077904180768,0.6787666784546506,(undefined),(undefined),0.06487296804057141,1.5554012076946693,0.06487296804057141,0.08006879906847647,0.08006879906847647,0.08006879906847647,6.1172695499695715,(undefined)
Predict rate1 [M/s],,0.020851826666485176,0.6250774047811198,0.026060220563474488,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.020851826666485176,0.6250774047811198,0.0682558952057583,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.020851826666485176,0.6250774047811198,0.0682558952057583,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.015969135992538137,0.38303423365846007,,,0.015969135992538137,0.38303423365846007,,,0.03659345784068923,0.8777265335737028,0.03659345784068923,0.04517109851965829,0.04517109851965829,0.04517109851965829,2.3748748652733362,
Predict rate2 [M/s],,0.04715889623443666,1.414099654533233,0.06949883843692752,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.04715889623443666,1.414099654533233,0.46323629272268874,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.04715889623443666,1.414099654533233,0.46323629272268874,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.042697725035849884,0.8665307330897983,,,0.042697725035849884,0.8665307330897983,,,0.09762501426183001,1.9856626465545115,0.09762501426183001,0.1807750316139521,0.1807750316139521,0.1807750316139521,6.716768675346617,
Backward rate0 [M/s],(undefined),0.036972631987968164,1.1076869803952336,0.04619963199968782,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.036972631987968164,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.036972631987968164,1.1076869803952336,0.10258682483217868,0.05702141902865032,0.05702141902865032,0.14001318855216,(undefined),(undefined),0.028310077904180768,0.6787666784546506,(undefined),(undefined),0.028310077904180768,0.6787666784546506,(undefined),(undefined),0.06487296804057141,1.5554012076946693,0.06487296804057141,0.08006879906847647,0.08006879906847647,0.08006879906847647,6.1172695499695715,(undefined)
Backward rate1 [M/s],,0.020851826666485176,0.6250774047811198,0.026060220563474488,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.020851826666485176,0.6250774047811198,0.0682558952057583,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.020851826666485176,0.6250774047811198,0.0682558952057583,0.032168830250007066,0.032168830250007066,0.08594986460214413,,,0.015969135992538137,0.38303423365846007,,,0.015969135992538137,0.38303423365846007,,,0.03659345784068923,0.8777265335737028,0.03659345784068923,0.04517109851965829,0.04517109851965829,0.04517109851965829,2.3748748652733362,
Backward rate2 [M/s],,0.04715889623443666,1.414099654533233,0.06949883843692752,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.04715889623443666,1.414099654533233,0.46323629272268874,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.04715889623443666,1.414099654533233,0.46323629272268874,0.1286929841309614,0.1286929841309614,0.48610649221767105,,,0.042697725035849884,0.8665307330897983,,,0.042697725035849884,0.8665307330897983,,,0.09762501426183001,1.9856626465545115,0.09762501426183001,0.1807750316139521,0.1807750316139521,0.1807750316139521,6.716768675346617,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W stack [lambda],(undefined),14.939641165980985,1.380992051789291,12.215342316776525,9.578250574530525,14.444304742361558,13.139531009979336,(undefined),(undefined),14.939641165980985,1.380992051789291,5.193357786512406,9.578250574530525,14.444304742361558,13.139531009979336,(undefined),(undefined),14.939641165980985,1.380992051789291,5.193357786512406,9.578250574530525,14.444304742361558,13.139531009979336,(undefined),(undefined),81.87317171892978,3.6251073756971555,(undefined),(undefined),81.87317171892978,3.6251073756971555,(undefined),(undefined),12.366139472310971,1.5104593439568548,12.366139472137412,9.687914884457927,9.714896369568603,14.670950483361077,22.70615586008186,(undefined)
Delta W theory [lambda],(undefined),30.708349873065497,12.587303150687525,19.465458608651947,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),30.708349873065497,12.587303150687525,3.4612509132075626,12.587303150687525,12.587303150687525,12.587303150687525,(undefined),(undefined),136.45307426027873,89.35330487828081,(undefined),(undefined),136.45307426027873,89.35330487828081,(undefined),(undefined),23.371898624330846,15.152462172657435,23.371898624330846,15.152462172657435,15.152462172657435,15.152462172657435,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),4.615860333628388,0.18455205923435844,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.615860333628388,0.18455205923435844,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.615860333628388,0.18455205923435844,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.439307211390678,0.08981558727294352,(undefined),(undefined),4.439307211390678,0.08981558727294352,(undefined),(undefined),4.8976978462033,0.17264561380323334,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,(undefined)
W kernel support pred1 [uv-pixels],,4.615860333628388,0.5223241974335304,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,0.5223241974335304,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,0.5223241974335304,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,5.457383246580568,0.254136932091098,,,5.457383246580568,0.254136932091098,,,4.8976978462033,0.4886127695866622,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,
W kernel support pred2 [uv-pixels],,4.615860333628388,1.479230299767761,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,1.479230299767761,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,1.479230299767761,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,5.457383246580568,0.7193727937410405,,,5.457383246580568,0.7193727937410405,,,4.8976978462033,1.3836824205431593,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,
AW kernel support pred0 [uv-pixels],(undefined),10.114651087386257,9.001891993496013,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.114651087386257,9.001891993496013,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.114651087386257,9.001891993496013,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.03531008574749,9.000448146604544,(undefined),(undefined),10.03531008574749,9.000448146604544,(undefined),(undefined),10.246338086980366,9.001655764800468,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,(undefined)
AW kernel support pred1 [uv-pixels],,10.114651087386257,9.015144068023794,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.015144068023794,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.015144068023794,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.525351865855043,9.003587372833826,,,10.525351865855043,9.003587372833826,,,10.246338086980366,9.013253709876537,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,
AW kernel support pred2 [uv-pixels],,10.114651087386257,9.12075228694163,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.12075228694163,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.12075228694163,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.525351865855043,9.028704071813118,,,10.525351865855043,9.028704071813118,,,10.246338086980366,9.105744178315145,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,
W kernel support bw0 [uv-pixels],(undefined),4.615860333628388,0.18455205923435844,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.615860333628388,0.18455205923435844,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.615860333628388,0.18455205923435844,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,(undefined),(undefined),4.439307211390678,0.08981558727294352,(undefined),(undefined),4.439307211390678,0.08981558727294352,(undefined),(undefined),4.8976978462033,0.17264561380323334,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,(undefined)
W kernel support bw1 [uv-pixels],,4.615860333628388,0.5223241974335304,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,0.5223241974335304,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,0.5223241974335304,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,5.457383246580568,0.254136932091098,,,5.457383246580568,0.254136932091098,,,4.8976978462033,0.4886127695866622,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,
W kernel support bw2 [uv-pixels],,4.615860333628388,1.479230299767761,5.550674070482867,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,1.479230299767761,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,4.615860333628388,1.479230299767761,9.707639119596339,6.348177649229229,8.651909258227935,8.055851460184279,,,5.457383246580568,0.7193727937410405,,,5.457383246580568,0.7193727937410405,,,4.8976978462033,1.3836824205431593,4.897697846151554,5.597402403737576,5.609137805252108,7.651869066159708,10.637108060452372,
AW kernel support bw0 [uv-pixels],(undefined),10.114651087386257,9.001891993496013,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.114651087386257,9.001891993496013,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.114651087386257,9.001891993496013,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,(undefined),(undefined),10.03531008574749,9.000448146604544,(undefined),(undefined),10.03531008574749,9.000448146604544,(undefined),(undefined),10.246338086980366,9.001655764800468,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,(undefined)
AW kernel support bw1 [uv-pixels],,10.114651087386257,9.015144068023794,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.015144068023794,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.015144068023794,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.525351865855043,9.003587372833826,,,10.525351865855043,9.003587372833826,,,10.246338086980366,9.013253709876537,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,
AW kernel support bw2 [uv-pixels],,10.114651087386257,9.12075228694163,10.574023956693631,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.12075228694163,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.114651087386257,9.12075228694163,13.23775877089159,11.013598842620588,12.484211381285172,12.078772402382336,,,10.525351865855043,9.028704071813118,,,10.525351865855043,9.028704071813118,,,10.246338086980366,9.105744178315145,10.24633808695563,10.598627914469267,10.60483035782791,11.813174857152156,13.933702590831366,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.009508967690367267,1.5667881420624776,0.002657284439410198,1.5667881420624776,0.05803956400320534,0.04643165120256428,0.05846142856030224,0.018482111057389915,0.009508967690367267,1.5667881420624776,0.002657284439410198,1.0445803491791799,0.05803956400320534,0.04643165120256428,0.05846142856030224,0.018482111057389915,0.009508967690367267,1.5667881420624776,0.002657284439410198,1.0445803491791799,0.05803956400320534,0.04643165120256428,0.05846142856030224,0.018482111057389915,0.009533598035264549,0.962582010989489,0.0016283284038212163,(undefined),0.009533598035264549,0.962582010989489,0.0016283284038212163,(undefined),0.009512430973099667,2.20086740744237,0.0037313285776517896,2.20086740744237,0.08152817411446764,0.4076408705723382,0.06522253929157412,0.018488842469060206,0.018488842469060206
Snapshot vis size1 [GB],0.0026837801858555018,0.44220520123969687,0.0007499833377176814,0.44220520123969687,0.01638089821519612,0.013104718572156898,0.016499963898908378,0.005216331053354136,0.0026837801858555018,0.44220520123969687,0.0007499833377176814,0.2948189682567769,0.01638089821519612,0.013104718572156898,0.016499963898908378,0.005216331053354136,0.0026837801858555018,0.44220520123969687,0.0007499833377176814,0.2948189682567769,0.01638089821519612,0.013104718572156898,0.016499963898908378,0.005216331053354136,0.0026907317744777953,0.2716760233575634,0.0004595741250302124,,0.0026907317744777953,0.2716760233575634,0.0004595741250302124,,0.002684757651536098,0.6211656756150854,0.0010531180701941673,0.6211656756150854,0.02301024731622942,0.11505123658114712,0.01840819785298354,0.005218230905141609,0.005218230905141609
Snapshot vis size2 [GB],0.0030361735597038146,0.5002688920067019,0.0008484597927199399,0.5002688920067019,0.018531789714858443,0.014825431771886756,0.018666489301158568,0.005901260657011386,0.0030361735597038146,0.5002688920067019,0.0008484597927199399,0.33353013076033594,0.018531789714858443,0.014825431771886756,0.018666489301158568,0.005901260657011386,0.0030361735597038146,0.5002688920067019,0.0008484597927199399,0.33353013076033594,0.018531789714858443,0.014825431771886756,0.018666489301158568,0.005901260657011386,0.0030440379256769234,0.30734840478776876,0.0005199184398538791,,0.0030440379256769234,0.30734840478776876,0.0005199184398538791,,0.003037279371375942,0.7027277459002828,0.0011913975879327071,0.7027277459002828,0.0260316045524091,0.13015802276204552,0.020825283641927286,0.0059034099685663635,0.0059034099685663635
Facet size [GB],(undefined),0.07065108196317871,0.060571915263356244,0.11039231556746673,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),0.07065108196317871,0.060571915263356244,0.545147237370206,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),0.07065108196317871,0.060571915263356244,0.545147237370206,0.16825532017598954,0.16825532017598954,0.16825532017598954,(undefined),(undefined),0.11154052991687369,0.061201936854251675,(undefined),(undefined),0.11154052991687369,0.061201936854251675,(undefined),(undefined),0.11055322839494298,0.06066020762411133,0.11055322839494298,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266,(undefined)
Image size [GB],0.16825532017598957,1.226581284082964,0.06057191526335623,1.226581284082964,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,1.226581284082964,0.06057191526335623,0.5451472373702061,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,1.226581284082964,0.06057191526335623,0.5451472373702061,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.16825532017598957,0.17000538015069902,1.2393392212985963,0.06120193685425166,(undefined),0.17000538015069902,1.2393392212985963,0.06120193685425166,(undefined),0.16850057673364266,1.2283692043882546,0.060660207624111354,1.2283692043882546,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266,0.16850057673364266
Image cube size [GB],88214.24530442922,392.50601090654845,9.691506442136998,392.50601090654845,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,88214.24530442922,392.50601090654845,9.691506442136998,174.44711595846593,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,88214.24530442922,392.50601090654845,9.691506442136998,174.44711595846593,26.920851228158334,673.0212807039583,2019.0638421118747,11026.780663053652,44565.890374224844,198.29427540777542,4.896154948340133,(undefined),44565.890374224844,198.29427540777542,4.896154948340133,(undefined),44171.41518726402,196.53907270212073,4.852816609928908,196.53907270212073,13.480046138691414,13.480046138691414,337.00115346728535,44171.41518726402,11042.853796816005
