,hpso01 (Ingest) [Nf_max=16384] [Na=64],hpso01 (RCAL) [Nf_max=16384] [Na=64],hpso01 (FastImg) [Nf_max=16384] [Na=64],hpso01 (ICAL) [Nf_max=16384] [Na=64],hpso01 (DPrepA) [Nf_max=16384] [Na=64],hpso01 (DPrepB) [Nf_max=16384] [Na=64],hpso01 (DPrepC) [Nf_max=16384] [Na=64],hpso01 (DPrepD) [Nf_max=16384] [Na=64],hpso02a (Ingest) [Nf_max=16384] [Na=64],hpso02a (RCAL) [Nf_max=16384] [Na=64],hpso02a (FastImg) [Nf_max=16384] [Na=64],hpso02a (ICAL) [Nf_max=16384] [Na=64],hpso02a (DPrepA) [Nf_max=16384] [Na=64],hpso02a (DPrepB) [Nf_max=16384] [Na=64],hpso02a (DPrepC) [Nf_max=16384] [Na=64],hpso02a (DPrepD) [Nf_max=16384] [Na=64],hpso02b (Ingest) [Nf_max=16384] [Na=64],hpso02b (RCAL) [Nf_max=16384] [Na=64],hpso02b (FastImg) [Nf_max=16384] [Na=64],hpso02b (ICAL) [Nf_max=16384] [Na=64],hpso02b (DPrepA) [Nf_max=16384] [Na=64],hpso02b (DPrepB) [Nf_max=16384] [Na=64],hpso02b (DPrepC) [Nf_max=16384] [Na=64],hpso02b (DPrepD) [Nf_max=16384] [Na=64],hpso04a (Ingest) [Nf_max=16384] [Na=64],hpso04a (RCAL) [Nf_max=16384] [Na=64],hpso04a (FastImg) [Nf_max=16384] [Na=64],hpso04a (PSS) [Nf_max=16384] [Na=64],hpso05a (Ingest) [Nf_max=16384] [Na=64],hpso05a (RCAL) [Nf_max=16384] [Na=64],hpso05a (FastImg) [Nf_max=16384] [Na=64],hpso05a (PST) [Nf_max=16384] [Na=64],max_low (Ingest) [Nf_max=16384] [Na=64],max_low (RCAL) [Nf_max=16384] [Na=64],max_low (FastImg) [Nf_max=16384] [Na=64],max_low (ICAL) [Nf_max=16384] [Na=64],max_low (DPrepA) [Nf_max=16384] [Na=64],max_low (DPrepA_Image) [Nf_max=16384] [Na=64],max_low (DPrepB) [Nf_max=16384] [Na=64],max_low (DPrepC) [Nf_max=16384] [Na=64],max_low (DPrepD) [Nf_max=16384] [Na=64]
Frequencies predict ifft,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,200.0,200,200.0,200.0,16384.0,16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,(undefined),16384.0,200.0,40.0,200.0,200,200.0,200.0,200.0,16384.0
Frequencies predict kernels0,(undefined),192.3867842059064,364.52288461678205,199.4667596878358,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),192.3867842059064,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),192.3867842059064,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),271.08861703840586,511.6591552951528,277.9976118807018,277.48520338519785,269.57301555724183,277.48520338519785,841.0439984309672,(undefined)
Frequencies predict kernels1,,200.4605351511323,365.0584953999703,219.22988385217613,201.15295772586504,218.15734719428568,423.36862546111905,,,200.4605351511323,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,200.4605351511323,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,119.61211079831409,222.83688638800666,,,119.61211079831409,222.83688638800666,,,284.2047257022032,512.317136997464,302.5614934178292,301.22257589075963,280.08387328371566,301.22257589075963,1237.7927625562772,
Frequencies predict kernels2,,221.79005112820772,369.3268941633874,243.4014887834239,223.5641243989481,265.056189563791,511.08213424548916,,,221.79005112820772,369.3268941633874,234.38188913035688,223.5641243989481,265.056189563791,511.08213424548916,,,221.79005112820772,369.3268941633874,234.38188913035688,223.5641243989481,265.056189563791,511.08213424548916,,,127.96663287659288,223.45734073105942,,,127.96663287659288,223.45734073105942,,,309.277744194754,517.5643890331957,326.25148211300433,324.3728072364853,305.07255787459036,360.2545022701573,1973.620379632879,
Frequencies predict kernels3,,227.26131397243134,402.0118333134956,243.4014887834239,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,402.0118333134956,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,402.0118333134956,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,143.65594258404366,228.37652250683485,,,143.65594258404366,228.37652250683485,,,309.277744194754,557.966411514353,326.25148211300433,324.3728072364853,305.07255787459036,376.5333487236756,2470.6976389020047,
Frequencies predict kernels4,,227.26131397243134,604.4805306201595,243.4014887834239,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,604.4805306201595,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,604.4805306201595,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,143.65594258404366,264.6765079351172,,,143.65594258404366,264.6765079351172,,,309.277744194754,813.8877108528902,326.25148211300433,324.3728072364853,305.07255787459036,376.5333487236756,2470.6976389020047,
Frequencies predict de-grid0,16384.0,180.42193493103704,1186.6956875807953,247.8208046142168,183.75027833146083,500.0,1500.0,(undefined),16384.0,180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),16384.0,180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),16384.0,151.85837503115962,727.1815092638062,(undefined),16384.0,151.85837503115962,727.1815092638062,(undefined),16384.0,278.5836390858683,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,500.0,16384.0,16384.0
Frequencies predict de-grid1,16384.0,360.1520532979532,2372.6984303939844,494.94943095103616,366.8087160120356,500.0,1500.0,,16384.0,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,16384.0,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,16384.0,303.29369179712205,1453.9394929925988,,16384.0,303.29369179712205,1453.9394929925988,,16384.0,556.1960211322845,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,16384.0,16384.0
Frequencies predict de-grid2,16384.0,719.611626215311,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,606.1640304773304,2907.4553987723175,,16384.0,606.1640304773304,2907.4553987723175,,16384.0,1111.4199379380743,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,16384.0,16384.0
Frequencies predict de-grid3,16384.0,1438.530439024606,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1211.9045600514535,5814.487179478897,,16384.0,1211.9045600514535,5814.487179478897,,16384.0,2221.867346610081,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,16384.0,16384.0
Frequencies predict de-grid4,16384.0,2876.367897849623,16384.0,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2876.367897849623,16384.0,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2876.367897849623,16384.0,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2423.3855452164803,11628.550725478857,,16384.0,2423.3855452164803,11628.550725478857,,16384.0,4442.761951158458,16384.0,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,16384.0,16384.0
Frequencies total0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16153.503118368213,11628.550725478857,(undefined),16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total1,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total2,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total3,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies total4,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16384.0,16384.0,16384.0,9763.786609120725,9763.786609120725,16384.0,16384.0,16384.0,16153.503118368213,11628.550725478857,,16384.0,16153.503118368213,11628.550725478857,,16384.0,16384.0,16384.0,16384.0,13710.1984478155,13710.1984478155,13710.1984478155,16384.0,16384.0
Frequencies backward kernels0,(undefined),192.3867842059064,364.52288461678205,199.4667596878358,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),192.3867842059064,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),192.3867842059064,364.52288461678205,196.07115992175898,192.64130052215603,199.05237204583554,386.2353290267752,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),116.52572507444233,222.75933872570835,(undefined),(undefined),271.08861703840586,511.6591552951528,277.9976118807018,277.48520338519785,269.57301555724183,277.48520338519785,841.0439984309672,(undefined)
Frequencies backward kernels1,,200.4605351511323,365.0584953999703,219.22988385217613,201.15295772586504,218.15734719428568,423.36862546111905,,,200.4605351511323,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,200.4605351511323,365.0584953999703,210.3501053290118,201.15295772586504,218.15734719428568,423.36862546111905,,,119.61211079831409,222.83688638800666,,,119.61211079831409,222.83688638800666,,,284.2047257022032,512.317136997464,302.5614934178292,301.22257589075963,280.08387328371566,301.22257589075963,1237.7927625562772,
Frequencies backward kernels2,,221.79005112820772,369.3268941633874,243.4014887834239,223.5641243989481,265.056189563791,511.08213424548916,,,221.79005112820772,369.3268941633874,234.38188913035688,223.5641243989481,265.056189563791,511.08213424548916,,,221.79005112820772,369.3268941633874,234.38188913035688,223.5641243989481,265.056189563791,511.08213424548916,,,127.96663287659288,223.45734073105942,,,127.96663287659288,223.45734073105942,,,309.277744194754,517.5643890331957,326.25148211300433,324.3728072364853,305.07255787459036,360.2545022701573,1973.620379632879,
Frequencies backward kernels3,,227.26131397243134,402.0118333134956,243.4014887834239,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,402.0118333134956,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,402.0118333134956,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,143.65594258404366,228.37652250683485,,,143.65594258404366,228.37652250683485,,,309.277744194754,557.966411514353,326.25148211300433,324.3728072364853,305.07255787459036,376.5333487236756,2470.6976389020047,
Frequencies backward kernels4,,227.26131397243134,604.4805306201595,243.4014887834239,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,604.4805306201595,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,227.26131397243134,604.4805306201595,234.38188913035688,228.38760577618143,286.36479909468125,511.08213424548916,,,143.65594258404366,264.6765079351172,,,143.65594258404366,264.6765079351172,,,309.277744194754,813.8877108528902,326.25148211300433,324.3728072364853,305.07255787459036,376.5333487236756,2470.6976389020047,
Frequencies backward grid0,16384.0,180.42193493103704,1186.6956875807953,247.8208046142168,183.75027833146083,500.0,1500.0,(undefined),16384.0,180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),16384.0,180.42193493103704,1186.6956875807953,220.3620236804831,183.75027833146083,500.0,1500.0,(undefined),16384.0,151.85837503115962,727.1815092638062,(undefined),16384.0,151.85837503115962,727.1815092638062,(undefined),16384.0,278.5836390858683,1666.3443177517802,347.98681916370214,343.7026748873344,258.01971053861473,500.0,16384.0,16384.0
Frequencies backward grid1,16384.0,360.1520532979532,2372.6984303939844,494.94943095103616,366.8087160120356,500.0,1500.0,,16384.0,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,16384.0,360.1520532979532,2372.6984303939844,440.0319897527685,366.8087160120356,500.0,1500.0,,16384.0,303.29369179712205,1453.9394929925988,,16384.0,303.29369179712205,1453.9394929925988,,16384.0,556.1960211322845,3331.7159644487933,695.0020427868894,686.4337711722908,515.0682992841859,686.4337711722908,16384.0,16384.0
Frequencies backward grid2,16384.0,719.611626215311,4744.703814848597,989.2061999638064,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,719.611626215311,4744.703814848597,879.3713781111805,732.92493954654,977.0023310935779,1898.2973433839127,,16384.0,606.1640304773304,2907.4553987723175,,16384.0,606.1640304773304,2907.4553987723175,,16384.0,1111.4199379380743,6662.459115881312,1389.0318113753438,1371.8952766430345,1029.1645621519401,1371.8952766430345,16384.0,16384.0
Frequencies backward grid3,16384.0,1438.530439024606,9488.714533153065,1977.719495566752,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1438.530439024606,9488.714533153065,1758.04988218571,1465.1570596251374,1953.3117608590187,3795.901666127971,,16384.0,1211.9045600514535,5814.487179478897,,16384.0,1211.9045600514535,5814.487179478897,,16384.0,2221.867346610081,13323.945347729323,2777.0910083918284,2742.8179431826493,2057.3566290643917,2742.8179431826493,16384.0,16384.0
Frequencies backward grid4,16384.0,2876.367897849623,16384.0,3954.7459654110153,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2876.367897849623,16384.0,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2876.367897849623,16384.0,3515.4067538246277,2929.621136016344,3905.930497514414,7591.110248363827,,16384.0,2423.3855452164803,11628.550725478857,,16384.0,2423.3855452164803,11628.550725478857,,16384.0,4442.761951158458,16384.0,5553.209232136797,5484.663103847904,4113.740533099671,5484.663103847904,16384.0,16384.0
Frequencies backward fft,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,40,200,500,1500,8192,65536,40,40,(undefined),65536,40,40,(undefined),65536,40,40,40,200,40,500,65536,16384
Channels out,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,40,40,500,1500,8192,65536,40,40,128,65536,40,40,4096,65536,40,40,40,40,40,500,65536,16384
-- Visibility --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingest rate [M/s],37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,(undefined),37.86524444444445,37.86524444444445,37.86524444444445,(undefined),37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445,37.86524444444445
Averaged rate0 [M/s],16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,10.126362188784258,10.126362188784258,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,10.126362188784258,10.126362188784258,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,10.126362188784258,10.126362188784258,16.992415416582144,16.992415416582144,16.992415416582144,16.75335909548143,12.060373817146875,(undefined),16.992415416582144,16.75335909548143,12.060373817146875,(undefined),16.992415416582144,16.992415416582144,16.992415416582144,16.992415416582144,14.21932296564091,14.21932296564091,14.21932296564091,16.992415416582144,16.992415416582144
Averaged rate1 [M/s],4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,2.8580316057426716,2.8580316057426716,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,2.8580316057426716,2.8580316057426716,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,2.8580316057426716,2.8580316057426716,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7284137091476985,3.403880772174454,,4.7958841895157756,4.7284137091476985,3.403880772174454,,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.7958841895157756,4.013215574401983,4.013215574401983,4.013215574401983,4.7958841895157756,4.7958841895157756
Averaged rate2 [M/s],5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,3.2333050373824257,3.2333050373824257,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,3.2333050373824257,3.2333050373824257,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,3.2333050373824257,3.2333050373824257,5.425607077789697,5.425607077789697,5.425607077789697,5.349277395636993,3.850826850622229,,5.425607077789697,5.349277395636993,3.850826850622229,,5.425607077789697,5.425607077789697,5.425607077789697,5.425607077789697,4.5401702719951835,4.5401702719951835,4.5401702719951835,5.425607077789697,5.425607077789697
Averaged rate3 [M/s],6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,4.0652949272755565,4.0652949272755565,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,4.0652949272755565,4.0652949272755565,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,4.0652949272755565,4.0652949272755565,6.821717306507264,6.821717306507264,6.821717306507264,6.725746568804412,4.841716658544722,,6.821717306507264,6.725746568804412,4.841716658544722,,6.821717306507264,6.821717306507264,6.821717306507264,6.821717306507264,5.708441041693849,5.708441041693849,5.708441041693849,6.821717306507264,6.821717306507264
Averaged rate4 [M/s],2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,1.58788824524551,1.58788824524551,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,1.58788824524551,1.58788824524551,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,1.58788824524551,1.58788824524551,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.627050216074261,1.89115552658436,,2.6645360096051194,2.627050216074261,1.89115552658436,,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.6645360096051194,2.2296946693747937,2.2296946693747937,2.2296946693747937,2.6645360096051194,2.6645360096051194
Predict rate0 [M/s],(undefined),0.016840966929629886,1.1076869803952336,0.023132120695732224,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.016840966929629886,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.016840966929629886,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.02600358905791771,1.5554012076946693,0.03248182941682255,0.03208193828325473,0.024084108254544538,0.046671062850719994,1.5293173874923929,(undefined)
Predict rate1 [M/s],,0.009488054104064742,0.6250774047811198,0.013039234225202112,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.009488054104064742,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.009488054104064742,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.007990144526017574,0.38303423365846007,,,0.007990144526017574,0.38303423365846007,,,0.014652749838976532,0.8777265335737028,0.01830953599740313,0.018083808491719918,0.013569257334912268,0.018083808491719918,0.5994855236894719,
Predict rate2 [M/s],,0.021447124873096867,1.414099654533233,0.029482054101106995,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.021447124873096867,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.021447124873096867,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.01806596111238647,0.8665307330897983,,,0.01806596111238647,0.8665307330897983,,,0.03312448177188758,1.9856626465545115,0.041398356594029524,0.04088762360013813,0.030672963130857604,0.04088762360013813,1.3564017694474242,
Predict rate3 [M/s],,0.0539057812051299,3.5556881916861283,0.08234523504836747,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.0539057812051299,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.0539057812051299,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.05045941352012982,2.178851870034437,,,0.05045941352012982,2.178851870034437,,,0.0832596181519777,4.992857038122916,0.11562823360407863,0.11420122455815267,0.07709493890338992,0.11420122455815267,3.410858653253632,
Predict rate4 [M/s],,0.06682639718795777,2.6645360096051194,0.12863236125095473,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.06682639718795777,2.6645360096051194,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.06682639718795777,2.6645360096051194,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.07882321838849911,1.8911555265843598,,,0.07882321838849911,1.8911555265843598,,,0.12042133790044364,2.6645360096051194,0.1806240962878429,0.17839455982367336,0.09557416455615439,0.17839455982367336,2.6645360096051194,
Backward rate0 [M/s],(undefined),0.016840966929629886,1.1076869803952336,0.023132120695732224,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.016840966929629886,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.016840966929629886,1.1076869803952336,0.020569059714207354,0.017151641577689804,0.046671062850719994,0.14001318855216,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.014174783530974918,0.6787666784546506,(undefined),(undefined),0.02600358905791771,1.5554012076946693,0.03248182941682255,0.03208193828325473,0.024084108254544538,0.046671062850719994,1.5293173874923929,(undefined)
Backward rate1 [M/s],,0.009488054104064742,0.6250774047811198,0.013039234225202112,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.009488054104064742,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.009488054104064742,0.6250774047811198,0.011592457374773091,0.009663421078667194,0.013172289338879999,0.03951686801664,,,0.007990144526017574,0.38303423365846007,,,0.007990144526017574,0.38303423365846007,,,0.014652749838976532,0.8777265335737028,0.01830953599740313,0.018083808491719918,0.013569257334912268,0.018083808491719918,0.5994855236894719,
Backward rate2 [M/s],,0.021447124873096867,1.414099654533233,0.029482054101106995,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.021447124873096867,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.021447124873096867,1.414099654533233,0.026208564549420964,0.02184391153285561,0.02911833304649972,0.06286264344490437,,,0.01806596111238647,0.8665307330897983,,,0.01806596111238647,0.8665307330897983,,,0.03312448177188758,1.9856626465545115,0.041398356594029524,0.04088762360013813,0.030672963130857604,0.04088762360013813,1.3564017694474242,
Backward rate3 [M/s],,0.0539057812051299,3.5556881916861283,0.08234523504836747,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.0539057812051299,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.0539057812051299,3.5556881916861283,0.06654451852699592,0.05490355556247855,0.08132898342319424,0.31609580187530434,,,0.05045941352012982,2.178851870034437,,,0.05045941352012982,2.178851870034437,,,0.0832596181519777,4.992857038122916,0.11562823360407863,0.11420122455815267,0.07709493890338992,0.11420122455815267,3.410858653253632,
Backward rate4 [M/s],,0.06682639718795777,2.6645360096051194,0.12863236125095473,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.06682639718795777,2.6645360096051194,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.06682639718795777,2.6645360096051194,0.11434238139617627,0.06806362489027454,0.12704458571340327,0.617272540577633,,,0.07882321838849911,1.8911555265843598,,,0.07882321838849911,1.8911555265843598,,,0.12042133790044364,2.6645360096051194,0.1806240962878429,0.17839455982367336,0.09557416455615439,0.17839455982367336,2.6645360096051194,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.22656956841670498,0.22656956841670498,0.22656956841670498,(undefined),0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373
Delta W earth1 [lambda],0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.9062782736668199,0.9062782736668199,0.9062782736668199,,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493
