,hpso01 (Ingest) [Bmax=32500],hpso01 (RCAL) [Bmax=32500],hpso01 (FastImg) [Bmax=32500],hpso01 (ICAL) [Bmax=32500],hpso01 (DPrepA) [Bmax=32500],hpso01 (DPrepB) [Bmax=32500],hpso01 (DPrepC) [Bmax=32500],hpso01 (DPrepD) [Bmax=32500],hpso02a (Ingest) [Bmax=32500],hpso02a (RCAL) [Bmax=32500],hpso02a (FastImg) [Bmax=32500],hpso02a (ICAL) [Bmax=32500],hpso02a (DPrepA) [Bmax=32500],hpso02a (DPrepB) [Bmax=32500],hpso02a (DPrepC) [Bmax=32500],hpso02a (DPrepD) [Bmax=32500],hpso02b (Ingest) [Bmax=32500],hpso02b (RCAL) [Bmax=32500],hpso02b (FastImg) [Bmax=32500],hpso02b (ICAL) [Bmax=32500],hpso02b (DPrepA) [Bmax=32500],hpso02b (DPrepB) [Bmax=32500],hpso02b (DPrepC) [Bmax=32500],hpso02b (DPrepD) [Bmax=32500],hpso04a (Ingest) [Bmax=32500],hpso04a (RCAL) [Bmax=32500],hpso04a (FastImg) [Bmax=32500],hpso04a (PSS) [Bmax=32500],hpso04b (Ingest) [Bmax=32500],hpso04b (RCAL) [Bmax=32500],hpso04b (FastImg) [Bmax=32500],hpso04b (PSS) [Bmax=32500],hpso04c (Ingest) [Bmax=32500],hpso04c (RCAL) [Bmax=32500],hpso04c (FastImg) [Bmax=32500],hpso04c (PSS) [Bmax=32500],hpso05a (Ingest) [Bmax=32500],hpso05a (RCAL) [Bmax=32500],hpso05a (FastImg) [Bmax=32500],hpso05a (PST) [Bmax=32500],hpso05b (Ingest) [Bmax=32500],hpso05b (RCAL) [Bmax=32500],hpso05b (FastImg) [Bmax=32500],hpso05b (PST) [Bmax=32500],hpso13 (Ingest) [Bmax=32500],hpso13 (RCAL) [Bmax=32500],hpso13 (FastImg) [Bmax=32500],hpso13 (ICAL) [Bmax=32500],hpso13 (DPrepA) [Bmax=32500],hpso13 (DPrepB) [Bmax=32500],hpso13 (DPrepC) [Bmax=32500],hpso14 (Ingest) [Bmax=32500],hpso14 (RCAL) [Bmax=32500],hpso14 (FastImg) [Bmax=32500],hpso14 (ICAL) [Bmax=32500],hpso14 (DPrepA) [Bmax=32500],hpso14 (DPrepB) [Bmax=32500],hpso14 (DPrepC) [Bmax=32500],hpso15 (Ingest) [Bmax=32500],hpso15 (RCAL) [Bmax=32500],hpso15 (FastImg) [Bmax=32500],hpso15 (ICAL) [Bmax=32500],hpso15 (DPrepA) [Bmax=32500],hpso15 (DPrepB) [Bmax=32500],hpso15 (DPrepC) [Bmax=32500],hpso18 (Ingest) [Bmax=32500],hpso18 (RCAL) [Bmax=32500],hpso18 (FastImg) [Bmax=32500],hpso18 (SinglePulse) [Bmax=32500],hpso22 (Ingest) [Bmax=32500],hpso22 (RCAL) [Bmax=32500],hpso22 (FastImg) [Bmax=32500],hpso22 (ICAL) [Bmax=32500],hpso22 (DPrepA) [Bmax=32500],hpso22 (DPrepB) [Bmax=32500],hpso27and33 (Ingest) [Bmax=32500],hpso27and33 (RCAL) [Bmax=32500],hpso27and33 (FastImg) [Bmax=32500],hpso27and33 (ICAL) [Bmax=32500],hpso27and33 (DPrepA) [Bmax=32500],hpso27and33 (DPrepB) [Bmax=32500],hpso32 (Ingest) [Bmax=32500],hpso32 (RCAL) [Bmax=32500],hpso32 (FastImg) [Bmax=32500],hpso32 (ICAL) [Bmax=32500],hpso32 (DPrepB) [Bmax=32500],hpso37a (Ingest) [Bmax=32500],hpso37a (RCAL) [Bmax=32500],hpso37a (FastImg) [Bmax=32500],hpso37a (ICAL) [Bmax=32500],hpso37a (DPrepA) [Bmax=32500],hpso37a (DPrepB) [Bmax=32500],hpso37b (Ingest) [Bmax=32500],hpso37b (RCAL) [Bmax=32500],hpso37b (FastImg) [Bmax=32500],hpso37b (ICAL) [Bmax=32500],hpso37b (DPrepA) [Bmax=32500],hpso37b (DPrepB) [Bmax=32500],hpso37c (Ingest) [Bmax=32500],hpso37c (RCAL) [Bmax=32500],hpso37c (FastImg) [Bmax=32500],hpso37c (ICAL) [Bmax=32500],hpso37c (DPrepA) [Bmax=32500],hpso37c (DPrepB) [Bmax=32500],hpso38a (Ingest) [Bmax=32500],hpso38a (RCAL) [Bmax=32500],hpso38a (FastImg) [Bmax=32500],hpso38a (ICAL) [Bmax=32500],hpso38a (DPrepA) [Bmax=32500],hpso38a (DPrepB) [Bmax=32500],hpso38b (Ingest) [Bmax=32500],hpso38b (RCAL) [Bmax=32500],hpso38b (FastImg) [Bmax=32500],hpso38b (ICAL) [Bmax=32500],hpso38b (DPrepA) [Bmax=32500],hpso38b (DPrepB) [Bmax=32500],max_low (Ingest) [Bmax=32500],max_low (RCAL) [Bmax=32500],max_low (FastImg) [Bmax=32500],max_low (ICAL) [Bmax=32500],max_low (DPrepA) [Bmax=32500],max_low (DPrepA_Image) [Bmax=32500],max_low (DPrepB) [Bmax=32500],max_low (DPrepC) [Bmax=32500],max_low (DPrepD) [Bmax=32500],max_mid_band1 (Ingest) [Bmax=32500],max_mid_band1 (RCAL) [Bmax=32500],max_mid_band1 (FastImg) [Bmax=32500],max_mid_band1 (ICAL) [Bmax=32500],max_mid_band1 (DPrepA) [Bmax=32500],max_mid_band1 (DPrepA_Image) [Bmax=32500],max_mid_band1 (DPrepB) [Bmax=32500],max_mid_band1 (DPrepC) [Bmax=32500],max_mid_band1 (DPrepD) [Bmax=32500],max_mid_band2 (Ingest) [Bmax=32500],max_mid_band2 (RCAL) [Bmax=32500],max_mid_band2 (FastImg) [Bmax=32500],max_mid_band2 (ICAL) [Bmax=32500],max_mid_band2 (DPrepA) [Bmax=32500],max_mid_band2 (DPrepA_Image) [Bmax=32500],max_mid_band2 (DPrepB) [Bmax=32500],max_mid_band2 (DPrepC) [Bmax=32500],max_mid_band2 (DPrepD) [Bmax=32500],max_mid_band5a_1 (Ingest) [Bmax=32500],max_mid_band5a_1 (RCAL) [Bmax=32500],max_mid_band5a_1 (FastImg) [Bmax=32500],max_mid_band5a_1 (ICAL) [Bmax=32500],max_mid_band5a_1 (DPrepA) [Bmax=32500],max_mid_band5a_1 (DPrepA_Image) [Bmax=32500],max_mid_band5a_1 (DPrepB) [Bmax=32500],max_mid_band5a_1 (DPrepC) [Bmax=32500],max_mid_band5a_1 (DPrepD) [Bmax=32500],max_mid_band5a_2 (Ingest) [Bmax=32500],max_mid_band5a_2 (RCAL) [Bmax=32500],max_mid_band5a_2 (FastImg) [Bmax=32500],max_mid_band5a_2 (ICAL) [Bmax=32500],max_mid_band5a_2 (DPrepA) [Bmax=32500],max_mid_band5a_2 (DPrepA_Image) [Bmax=32500],max_mid_band5a_2 (DPrepB) [Bmax=32500],max_mid_band5a_2 (DPrepC) [Bmax=32500],max_mid_band5a_2 (DPrepD) [Bmax=32500],max_mid_band5b_1 (Ingest) [Bmax=32500],max_mid_band5b_1 (RCAL) [Bmax=32500],max_mid_band5b_1 (FastImg) [Bmax=32500],max_mid_band5b_1 (ICAL) [Bmax=32500],max_mid_band5b_1 (DPrepA) [Bmax=32500],max_mid_band5b_1 (DPrepA_Image) [Bmax=32500],max_mid_band5b_1 (DPrepB) [Bmax=32500],max_mid_band5b_1 (DPrepC) [Bmax=32500],max_mid_band5b_1 (DPrepD) [Bmax=32500],max_mid_band5b_2 (Ingest) [Bmax=32500],max_mid_band5b_2 (RCAL) [Bmax=32500],max_mid_band5b_2 (FastImg) [Bmax=32500],max_mid_band5b_2 (ICAL) [Bmax=32500],max_mid_band5b_2 (DPrepA) [Bmax=32500],max_mid_band5b_2 (DPrepA_Image) [Bmax=32500],max_mid_band5b_2 (DPrepB) [Bmax=32500],max_mid_band5b_2 (DPrepC) [Bmax=32500],max_mid_band5b_2 (DPrepD) [Bmax=32500]
Kernel time backward1 [s],10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kernel time backward2 [s],10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kernel time backward3 [s],10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kernel time backward4 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,10,10,10,,,,,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kernel time backward5 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,10,10,10,,,,,,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Visibilities kernel pred0,(undefined),7.2956913084917,32.5547650822623,7.29569130850114,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.2956913084917,32.5547650822623,5.32554987966872,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.2956913084917,32.5547650822623,5.32554987966872,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.70135526131038,32.6442659339733,(undefined),(undefined),6.37407660742105,107.904777530088,(undefined),(undefined),6.93017059539095,109.297667343186,(undefined),(undefined),7.70135526131038,32.6442659339733,(undefined),(undefined),10.6365879701462,108.773656877724,(undefined),(undefined),6.24316197942311,107.622815659401,6.24316197942311,13.6164537589858,12.4672369686831,91.5944224767341,(undefined),6.9450171389728,109.736570420712,8.40648421237407,15.0606413754495,13.994445746721,361.813075463476,(undefined),6.75365843007931,107.521637417041,8.20574694934416,14.3832329487135,13.8833769471769,174.940809803345,(undefined),6.37407660742105,107.904777530088,(undefined),(undefined),107.692625548597,108.634737612438,107.692625550361,18.0365778023332,20.1694001617826,(undefined),11.0779150112246,112.072429730957,16.1715875466036,16.7694329008588,14.1001047589985,(undefined),11.0383898996419,112.554132691989,16.0660023096126,13.7113932739947,(undefined),11.0779150112246,112.072429730957,8.82488856596631,16.7694329008614,14.1001047589985,(undefined),11.0779150112246,112.072429730957,11.0779151282801,16.7694329008614,14.1001047589985,(undefined),11.0779150112246,112.072429730957,11.0779151282801,16.7694329008614,14.1001047589985,(undefined),109.423495240248,109.905162500062,56.4172797225508,18.3799228866455,18.3799228866455,(undefined),109.423495240248,109.905162500062,109.423494200026,18.3799228866455,18.3799228866455,(undefined),7.56606732993268,32.5674680205916,7.56606732993242,3.16622641114389,3.16018790798489,3.08399032302341,109.467817788793,(undefined),(undefined),11.0383898996419,112.554132691989,11.0383898990761,16.6966845282188,16.0660023095239,14.1987123006534,242.500717797515,(undefined),(undefined),10.6365879701462,108.773656877724,10.6365880326515,16.1079480501673,15.5976337825372,14.0176843830451,648.77753423613,(undefined),(undefined),102.369863210226,109.412548713173,102.369862565437,17.8553022801973,17.8553022801973,17.8553022801973,1214.98530314655,(undefined),(undefined),99.5718931046612,107.093363702186,99.5718919163524,17.3540283294275,17.3540283294275,17.3540283294275,1503.43032649277,(undefined),(undefined),108.57537234534,111.97372533356,108.57537234534,19.1139602419207,19.1139602419207,19.1139602419207,2095.13525093286,(undefined),(undefined),114.728343629839,107.254016165553,114.728343629839,16.1256152935641,16.1256152935641,20.9034295560632,3016.8248253164,(undefined)
Visibilities kernel pred1,,25.8011068151087,64.9950202581747,25.8011068151421,6.27857709054246,6.07471403868744,8.48428798729729,,,25.8011068151087,64.9950202581747,12.5545012730412,6.27857709054246,6.07471403868744,8.48428798729729,,,25.8011068151087,64.9950202581747,12.5545012730412,6.27857709054246,6.07471403868744,8.48428798729729,,,35.9321218765415,65.2468052556155,,,14.3399895116347,161.749555333963,,,14.5936462302629,163.893986345635,,,35.9321218765415,65.2468052556155,,,23.9300937696088,163.100866659886,,,13.254138198154,161.34254828502,13.2541381979872,31.5630085601641,28.8991182380697,115.553645980343,,14.5726004356226,164.549134051086,17.6685589407081,34.9106937672215,29.1030634493349,555.598792333472,,14.28373503636,161.234121184353,17.0620447554765,33.3404039136706,28.1346257057306,270.363069696079,,14.3399895116347,161.749555333963,,,242.301625019719,162.940302327005,242.301625023687,41.153992223628,41.153992223628,,24.9230554577005,168.044357131032,37.4859348456783,38.8717475825429,30.8744937500112,,24.8341424517238,168.61466150079,37.2411996954598,31.7831857097581,,24.9230554577005,168.044357131032,19.8539799623706,38.871747582549,30.874493899297,,24.9230554577005,168.044357131032,24.9230557210515,38.871747582549,30.8744934973908,,24.9230554577005,168.044357131032,24.9230557210515,38.871747582549,30.8744934973908,,246.196052489521,164.845376709809,119.897425839083,41.7942945352316,41.7942945352316,,246.196052489521,164.845376709809,246.196050149087,41.7942945352316,41.7942945352316,,26.7670350856709,65.0322958934182,26.76703508567,6.32886357975576,6.31679341870072,6.16448462655916,152.038635817768,,,24.8341424517238,168.61466150079,24.8341424504509,38.7031291782804,37.241199695254,32.9127974723765,320.418626101907,,,23.9300937696088,163.100866659886,23.9300939102328,37.3383347871343,36.1554227916351,32.4930891758798,849.285884525983,,,230.325790870048,164.103987686694,230.325789419315,40.0012630932748,40.0012630932748,40.0012630932748,1814.69393942533,,,224.030398221549,160.627080423515,224.03039554793,39.2930130134341,39.2930130134341,39.2930130134341,2269.49645283848,,,223.180677724989,167.948399328688,223.180674780957,43.5262791229958,43.5262791229958,43.5262791229958,3180.86479409681,,,230.643147298151,160.870282588875,230.643147298151,37.3792472618755,37.3792472618755,37.3792472618755,4621.51150603521,
Visibilities kernel pred2,,103.193575615983,128.468949589942,103.193575616117,17.7619714931654,17.185246916348,33.9321955659736,,,103.193575615983,128.468949589942,50.2100859260032,17.7619714931654,17.185246916348,33.9321955659736,,,103.193575615983,128.468949589942,50.2100859260032,17.7619714931654,17.185246916348,33.9321955659736,,,215.570120859996,130.112324314804,,,26.4722732948858,215.405475650887,,,26.4193808833038,218.407368552285,,,215.570120859996,130.112324314804,,,44.6674277207033,217.33146075387,,,24.467738529812,214.904020666146,24.467738529504,57.8633092185062,52.9796965192378,157.123562848576,,26.5849812117609,219.272584325658,31.4091399745703,64.0005448475175,53.3536208105425,672.161277166355,,25.4417444505919,214.871721013679,29.900969023944,61.121740657532,51.5781782468836,371.749220832108,,26.4722732948858,215.405475650887,,,430.752415537538,217.241436098243,430.752415544592,74.0927739389655,74.0927739389655,,46.5209336629092,223.910676782901,68.7216971969188,71.2622608420967,56.6011657260575,,46.3549799817316,224.277979397803,68.2730441639192,58.2670499172159,,46.5209336629092,223.910676782901,35.2941693430971,71.2622608421079,56.6011659997381,,46.5209336629092,223.910676782901,46.5209341544756,71.2622608421079,56.6011652629369,,46.5209336629092,223.910676782901,46.5209341544756,71.2622608421079,56.6011652629369,,437.675816074466,219.780073334254,239.789875808801,74.9628715222021,74.9628715222021,,437.675816074466,219.780073334254,437.675811913751,74.9628715222021,74.9628715222021,,107.056886537554,128.727154670102,107.05688653755,17.9107537751379,17.8765950861476,17.445559523529,304.077271635536,,,46.3549799817316,224.277979397803,46.3549799793558,70.9531505235785,68.273044163542,60.3379293300167,440.575610890122,,,44.6674277207033,217.33146075387,44.6674279831891,68.4510309605696,66.2824407947476,59.5684158348991,1010.3193341667,,,409.462382487275,218.785144562493,409.462379908229,72.8870250054082,70.6228710172332,70.6228710172332,2402.90244541661,,,398.270608967737,214.154125026964,398.270604214704,70.1506096438347,70.1506096438347,70.1506096438347,3038.86624819562,,,396.76026172414,223.917900078961,396.760256490376,78.1931106337342,78.1931106337342,78.1931106337342,4285.78168727629,,,371.507367767882,214.484168867594,371.507362714951,68.5259973710405,68.5259973710405,68.5259973710405,6289.84811417739,
Visibilities kernel pred3,,412.752598033515,242.536083682375,412.752598034049,88.7972524258366,85.9140388226877,135.718868773654,,,412.752598033515,242.536083682375,301.236756184371,88.7972524258366,85.9140388226877,135.718868773654,,,412.752598033515,242.536083682375,301.236756184371,88.7972524258366,85.9140388226877,135.718868773654,,,431.117630134583,254.600918232889,,,57.3532260996539,321.543787369574,,,57.2386749266141,326.915758102718,,,431.117630134583,254.600918232889,,,95.7114578718467,325.189229656711,,,53.0103140475937,321.04192233975,53.0103140469265,138.866646449527,127.146422921612,251.397700557721,,57.5974682212579,328.162676063076,70.6668939956277,153.59556254907,128.04390059412,927.932158786163,,55.1205326128039,321.678710640305,67.273613579386,146.686577793508,123.782902359581,594.798753331373,,57.3532260996539,321.543787369574,,,969.179369716673,325.815905526704,969.179369732544,175.760013265701,170.70213935224,,99.6832080173497,334.983943466804,164.926033076769,171.023162525968,135.837822863578,,99.3276299808297,333.162761287106,163.849333181698,139.835822355874,,99.6832080173497,334.983943466804,79.4078420575663,171.023162525995,135.837823520387,,99.6832080173497,334.983943466804,99.6832090706585,171.023162525995,135.837821752129,,99.6832080173497,334.983943466804,99.6832090706585,171.023162525995,135.837821752129,,984.756962251363,329.614851943493,479.569799741206,179.508035733104,171.344423507986,,984.756962251363,329.614851943493,984.756952889884,179.508035733104,171.344423507986,,428.205037356568,246.241325356173,428.205037356553,89.5410628759466,89.3702936633806,87.2154216295876,608.154543271073,,,99.3276299808297,333.162761287106,99.3276299757389,170.281353977957,163.849333180793,144.805751777396,704.920977424195,,,95.7114578718467,325.189229656711,95.7114584342902,164.276275391623,159.071855380808,142.958803498132,1398.59711749302,,,921.277557593936,328.082963110837,921.277551791163,174.922297160319,168.838854216067,156.444847972735,3548.49369674186,,,896.096147351118,321.16635813311,896.096136656946,168.082225070052,162.915924090622,158.828159150241,4586.77930560803,,,892.698466751979,335.824446810219,892.698454976171,182.122293949676,179.32016053874,179.32016053874,6552.32122459616,,,835.879727314116,321.697009233597,835.879715945181,164.456099268036,164.456099268036,164.456099268036,9828.29137012896,
Visibilities kernel pred4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.051599520319,645.935740276803,,,171.708063733908,674.178406053576,,,,,,,279.148014932681,666.217554739683,,,159.023455237633,645.646489816451,159.023455235631,385.728916146379,353.173732925627,480.778252219707,,172.78442581739,678.97081795526,235.546523821162,426.641573272289,355.666858409034,1546.55359797694,,165.353804690599,653.157509310568,224.235867030183,407.450271841952,343.83089424034,991.331255552289,,172.051599520319,645.935740276803,,,3230.56172475993,674.551426909704,3230.56172481283,488.207499736827,433.063908488945,,290.732173491053,706.578046397245,458.114446705106,475.050421165905,377.316230202467,,289.695157208775,682.333616109726,455.123763409752,388.421511972389,,290.732173491053,706.578046397245,264.682035958132,475.05042116598,377.316232026884,,290.732173491053,706.578046397245,290.732176563093,475.05042116598,377.3162271152,,290.732173491053,706.578046397245,290.732176563093,475.05042116598,377.3162271152,,3282.48687675542,690.306930541815,2397.80919070694,498.618532795171,428.177481232736,,3282.48687675542,690.306930541815,3282.48684555083,498.618532795171,428.177481232736,,,,,,,,,,,289.695157208775,682.333616109726,289.695157193928,472.989966794765,455.123763407237,402.226468869561,1174.86829570699,,,279.148014932681,666.217554739683,279.148016573081,456.309211522174,441.852925695726,397.095799432231,2330.9951958217,,,3070.89105034711,683.596459375428,3070.89103100475,485.880685444217,468.982740038749,421.832793196443,5041.94552588655,,,2986.95323000504,655.290134048133,2986.95319435821,466.880751925987,452.530355951951,409.030972821286,6759.0549867984,,,2975.62922989718,716.591910316772,2975.62919064491,505.880423451511,480.457231413053,450.906411264518,9884.97057535427,,,2786.23415701879,657.72980571693,2786.23411912277,456.80851004009,455.523000717696,455.523000717696,15497.5740580879,
Visibilities kernel pred5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.579304811715,1216.27273552603,,,279.021125385818,1293.85589199245,,,,,,,483.850316796075,1275.26362925481,,,258.408903287608,1222.04381076604,258.408903284355,752.163442680867,688.68150585056,937.512158507862,,280.770203759355,1301.65706393345,408.274767481972,831.942449943986,693.543189612813,2319.83039696541,,268.695548883623,1255.09748782806,388.669795802513,794.51963010745,670.463155359764,1486.99688332843,,279.579304811715,1216.27273552603,,,4199.71396366389,1314.19775104659,4199.71396373266,951.99466180084,787.52850978542,,503.929457346831,1351.0688180696,893.314110464575,926.338925702585,735.759186315586,,502.132014253098,1246.97862484974,887.482379120165,757.414301912325,,503.929457346831,1351.0688180696,458.77573300234,926.338925702731,735.759189873162,,503.929457346831,1351.0688180696,503.929462671633,926.338925702731,735.759180295476,,503.929457346831,1351.0688180696,503.929462671633,926.338925702731,735.759180295476,,4267.2165908857,1344.61863370513,3117.13403418364,972.296081452513,771.147735217997,,4267.2165908857,1344.61863370513,4267.21655031989,972.296081452513,771.147735217997,,,,,,,,,,,502.132014253098,1246.97862484974,502.132014227362,922.321124008335,887.482379115261,784.333696098569,1762.30244356049,,,483.850316796075,1275.26362925481,483.850319639397,889.79366376265,861.604200992427,774.328716842907,3496.49279373254,,,3992.14300165421,1330.28553367017,3992.14297650924,947.457491984443,914.50684082012,822.565399802416,6772.37570617356,,,3883.02393138409,1276.0756820435,3883.02388504338,910.407801665791,882.424826574482,797.601929921668,9265.62898020987,,,3868.30345212382,1395.93950778903,3868.30340109606,986.456810273361,936.882089128557,815.279308889437,13747.6315471264,,,3622.09018373134,1281.94305513593,3622.09013446671,890.767152598156,848.995643940528,848.995642065425,22217.7982108167,
Visibilities kernel bw0,(undefined),7.2956913084917,32.5547650822623,7.29569130850114,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.2956913084917,32.5547650822623,5.32554987966872,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.2956913084917,32.5547650822623,5.32554987966872,3.14106955492536,3.03908020027994,3.86186078639567,(undefined),(undefined),7.70135526131038,32.6442659339733,(undefined),(undefined),6.37407660742105,107.904777530088,(undefined),(undefined),6.93017059539095,109.297667343186,(undefined),(undefined),7.70135526131038,32.6442659339733,(undefined),(undefined),10.6365879701462,108.773656877724,(undefined),(undefined),6.24316197942311,107.622815659401,6.24316197942311,13.6164537589858,12.4672369686831,91.5944224767341,(undefined),6.9450171389728,109.736570420712,8.40648421237407,15.0606413754495,13.994445746721,361.813075463476,(undefined),6.75365843007931,107.521637417041,8.20574694934416,14.3832329487135,13.8833769471769,174.940809803345,(undefined),6.37407660742105,107.904777530088,(undefined),(undefined),107.692625548597,108.634737612438,107.692625550361,18.0365778023332,20.1694001617826,(undefined),11.0779150112246,112.072429730957,16.1715875466036,16.7694329008588,14.1001047589985,(undefined),11.0383898996419,112.554132691989,16.0660023096126,13.7113932739947,(undefined),11.0779150112246,112.072429730957,8.82488856596631,16.7694329008614,14.1001047589985,(undefined),11.0779150112246,112.072429730957,11.0779151282801,16.7694329008614,14.1001047589985,(undefined),11.0779150112246,112.072429730957,11.0779151282801,16.7694329008614,14.1001047589985,(undefined),109.423495240248,109.905162500062,56.4172797225508,18.3799228866455,18.3799228866455,(undefined),109.423495240248,109.905162500062,109.423494200026,18.3799228866455,18.3799228866455,(undefined),7.56606732993268,32.5674680205916,7.56606732993242,3.16622641114389,3.16018790798489,3.08399032302341,109.467817788793,(undefined),(undefined),11.0383898996419,112.554132691989,11.0383898990761,16.6966845282188,16.0660023095239,14.1987123006534,242.500717797515,(undefined),(undefined),10.6365879701462,108.773656877724,10.6365880326515,16.1079480501673,15.5976337825372,14.0176843830451,648.77753423613,(undefined),(undefined),102.369863210226,109.412548713173,102.369862565437,17.8553022801973,17.8553022801973,17.8553022801973,1214.98530314655,(undefined),(undefined),99.5718931046612,107.093363702186,99.5718919163524,17.3540283294275,17.3540283294275,17.3540283294275,1503.43032649277,(undefined),(undefined),108.57537234534,111.97372533356,108.57537234534,19.1139602419207,19.1139602419207,19.1139602419207,2095.13525093286,(undefined),(undefined),114.728343629839,107.254016165553,114.728343629839,16.1256152935641,16.1256152935641,20.9034295560632,3016.8248253164,(undefined)
