,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) []
-- Parameters --,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Snapshot vis size1 [GB],0.27351527018332167,360.50742455816413,0.21626779412673736,360.50742455816413,13.352723662029764,10.682178929623813,6.920569412055595,1.2671941062113519,0.27351527018332167,360.50742455816413
Snapshot vis size2 [GB],0.3094291536551937,407.8438004308853,0.24466480593445347,407.8438004308853,15.106001134650695,12.084800907720556,7.829273789902511,1.4335828472721885,0.3094291536551937,407.8438004308853
Snapshot vis size3 [GB],0.3890510651367424,512.7896421287635,0.3076216388334998,512.7896421287635,18.993057900231403,15.194446320185122,9.843892442671994,1.8024705400400383,0.3890510651367424,512.7896421287635
Snapshot vis size4 [GB],0.15196181929779204,200.29362188627337,0.1201558049354692,200.29362188627337,7.418613881787025,5.934891105429621,3.844985757935014,0.7040379195437649,0.15196181929779204,200.29362188627337
Facet size [GB],(undefined),19.62530054532742,0.9691506442136999,19.62530054532742,2.6920851228158327,2.6920851228158327,2.6920851228158327,(undefined),(undefined),19.62530054532742
Image size [GB],2.692085122815833,19.625300545327423,0.9691506442136997,19.625300545327423,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,2.692085122815833,19.625300545327423
Image cube size [GB],1411427.9248708675,6280.096174504775,155.06410307419196,6280.096174504775,430.73361965053334,10768.340491263332,32305.021473789995,176428.49060885844,1411427.9248708675,6280.096174504775
Calibration output [GB],0.0,2.359296,0.0,11.8784,0.0,0.0,0.0,0.0,0.0,2.359296
Calibration process interval [s],600,10,600,600,600,600,600,600,600,10
Calibration process in [MB],0.0,100.466688,0.0,31395.84,0.0,0.0,0.0,0.0,0.0,100.466688
Calibration process out [MB],0.0,0.262144,0.0,81.92,0.0,0.0,0.0,0.0,0.0,0.262144
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.006378222677231412,0.0008749276649151458,0.08749276649151458,0.2624782994745437,(undefined),(undefined),(undefined)
Working (cache) memory [TeraBytes],(undefined),7.183262341663025e-05,6.411143561492966e-05,7.183262341681829e-05,5.259670000505676e-06,1.6004106559174578e-05,1.3509603373269619e-05,(undefined),(undefined),7.183262341663025e-05
-- I/O --,,,,,,,,,,
Input Buffer Size [PetaBytes],8.26244333568,8.26244333568,4.13122166784,8.26244333568,4.13122166784,8.26244333568,8.26244333568,8.26244333568,8.26244333568,8.26244333568
Total buffer ingest rate [TeraBytes/s],0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.45902462976,0.45902462976
Output size [TB],0.0,0.0,0.0,0.0,0.09497676313294258,4.748838156647129,14.246514469941387,205.755777024,0.0,0.0
Buffer Read Rate [TeraBytes/s],0.45723506005333336,0.735668593577022,0.2647958068595379,3.6783429678851105,0.8174460857975916,1.6348921715951832,3.177549682314455,3.177549682314455,0.45723506005333336,0.735668593577022
Facet visibility rate [TeraBytes/s],0.0,0.06738461016369374,0.030488680411558052,0.6064614914732437,0.05113142918147895,0.1022628583629579,0.3892917209690761,(undefined),0.0,0.06738461016369374
Image Write Rate [TeraBytes/s],0.0,0.010466826957507957,0.155064103074192,0.09420144261757163,0.039483915134632216,0.19741957567316107,0.5922587270194831,(undefined),0.0,0.010466826957507957
-- Compute --,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.6324280932397511,0.7480448678218885,0.380692614816198,6.878779923892501,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,0.6324280932397511,0.7480448678218885
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-> Degridding Kernel Update [PetaFLOP/s],,0.02120157211604704,0.0028386259800844255,0.1908141490447009,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704
-> IFFT [PetaFLOP/s],,0.08542125756767707,0.0018307069149650983,0.7687913181082043,0.02552766676021069,0.031192056505201845,0.03362149400286418,,,0.08542125756767707
-> Identify Component [PetaFLOP/s],,,,8.515362628408296e-05,1.0463395335770655e-05,0.0010463395335770654,0.0031390186007311965,,,
-> DFT [PetaFLOP/s],,0.501349268591246,0.3609102937222483,4.512143417321214,2.0426253564266146,2.0426253564266146,3.9700132309447316,,,0.501349268591246
-> Subtract Image Component [PetaFLOP/s],,,,0.00033570818,2.0515499888888888e-05,0.004103099977777778,0.012309299933333333,,,
-> Average [PetaFLOP/s],0.00030601641983999994,,,,,,,,0.00030601641983999994,
-> Demix [PetaFLOP/s],0.62133495250944,,,,,,,,0.62133495250944,
-> Source Find [PetaFLOP/s],,,,3e-12,,,,,,
-> Subtract Visibility [PetaFLOP/s],,6.130571613141851e-05,2.206631723829483e-05,0.0005517514451827665,0.0001248875964412987,0.0002497751928825974,0.0004854589792424863,,,6.130571613141851e-05
-> Solve [PetaFLOP/s],,0.0012301408544683702,,0.15702651937643136,,,,,,0.0012301408544683702
-> Gridding Kernel Update [PetaFLOP/s],,0.02120157211604704,0.0028386259800844255,0.1908141490447009,0.02504667562632663,0.06382334053649799,0.15599375745402555,,,0.02120157211604704
-> Phase Rotation Predict [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-> Receive [PetaFLOP/s],0.00015305372103111112,,,,,,,,0.00015305372103111112,
-> FFT [PetaFLOP/s],,0.017084251513535414,0.0018307069149650983,0.15375826362164088,0.02552766676021069,0.0779801412630046,0.2521612050214814,,,0.017084251513535414
-> Correct [PetaFLOP/s],,0.029426743743080883,0.0026479580685953795,0.26484069368772795,0.059946046291823374,0.11989209258364675,0.23302031003639337,0.23302031003639337,,0.029426743743080883
-> Degrid [PetaFLOP/s],,0.031017128022765433,0.002327364044696331,0.27915415220514744,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433
-> Visibility Weighting [PetaFLOP/s],,8.984614688492499e-05,4.0651573882077406e-05,0.0008086153219643249,6.817523890863862e-05,0.00013635047781727723,0.0005190556279587681,,,8.984614688492499e-05
-> Grid [PetaFLOP/s],,0.031017128022765433,0.002327364044696331,0.27915415220514744,0.06615325754321748,0.031270291820095455,0.11530553363337567,,,0.031017128022765433
-> Flag [PetaFLOP/s],0.01063407058944,0.008552147400332883,0.003078251254742129,0.07696932660299594,0.01742181970356117,0.03484363940712234,0.06772152760432684,0.06772152760432684,0.01063407058944,0.008552147400332883
-> Reprojection Predict [PetaFLOP/s],,0.00032708834242212365,,0.002943795081799113,0.00024677446959145134,0.0004935489391829027,0.0004935489391829027,,,0.00032708834242212365
-> Reprojection [PetaFLOP/s],,6.541766848442473e-05,,0.0005887590163598227,0.00024677446959145134,0.0012338723479572565,0.00370161704387177,,,6.541766848442473e-05
-> Phase Rotation [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-> Degridding Kernel Update [Tera/s],,102.94965704044932,7.5700644567839666,926.5469133669142,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932
-> IFFT [Tera/s],,0.05233624804241522,0.1550922798058644,0.4710262323817371,0.03948821991308217,0.07897643982616434,0.07897643982616434,,,0.05233624804241522
-> Identify Component [Tera/s],,,,8e-10,9.777777777777777e-11,9.777777777777777e-09,2.933333333333333e-08,,,
-> DFT [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104
-> Subtract Image Component [Tera/s],,,,0.0004906325136331855,8.225815653048378e-05,0.008225815653048378,0.024677446959145134,,,
-> Average [Tera/s],0.4572350600533334,,,,,,,,0.4572350600533334,
-> Demix [Tera/s],0.45902462976,,,,,,,,0.45902462976,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,
-> Subtract Visibility [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,,,0.36783429678851104
-> Solve [Tera/s],,2.62144e-07,,5.461333333333334e-06,,,,,,2.62144e-07
-> Gridding Kernel Update [Tera/s],,102.94965704044932,7.5700644567839666,926.5469133669142,31.111182609324114,205.7608391898719,331.76452029926696,,,102.94965704044932
-> Phase Rotation Predict [Tera/s],,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
-> Receive [Tera/s],0.45902462976,,,,,,,,0.45902462976,
-> FFT [Tera/s],,0.010466826957507957,0.155064103074192,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957
-> Correct [Tera/s],,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,,0.36783429678851104
-> Degrid [Tera/s],,0.06738461016369374,0.030488680411558056,0.6064614914732437,0.2556571459073948,0.10226285836295793,0.38929172096907616,,,0.06738461016369374
-> Visibility Weighting [Tera/s],,0.0041437903801186384,0.0050638575518127445,0.03729411342106775,0.009496888916882554,0.01899377783376511,0.031988171970087076,,,0.0041437903801186384
-> Grid [Tera/s],,13.36580067462845,142.56682726009865,120.29220607165603,18.677393784802003,7.470957513920801,14.643358433238642,,,13.36580067462845
-> Flag [Tera/s],0.45902462976,0.36783429678851104,0.13239790342976898,3.310508671096599,0.7493255786477921,1.4986511572955843,2.9127538754549174,2.9127538754549174,0.45902462976,0.36783429678851104
-> Reprojection Predict [Tera/s],,0.05233413478753979,,0.4710072130878581,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.05233413478753979
-> Reprojection [Tera/s],,0.010466826957507957,,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957
Total visibilities [Mvis/s],,,,,,,,,,
-> Phase Rotation [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,283.835446457497,1419.1772322874854,2758.2896547868536,,,3831.6072582136567
-> Degridding Kernel Update [Mvis/s],,2550.885749586411,4767.065864600354,2550.885749589998,448.39059207236755,575.8647155427426,1794.384734678654,,,2550.885749586411
-> IFFT [Mvis/s],,0.24764705571467674,0.011006535809541189,0.24764705571467674,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24764705571467674
-> Identify Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,
-> DFT [Mvis/s],,0.02929005059177514,0.02108526216049148,0.02929005059177514,0.010848651787911917,0.010848651787911917,0.02108526216049148,,,0.02929005059177514
-> Subtract Image Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,
-> Demix [Mvis/s],0.0,,,,,,,,0.0,
-> Source Find [Mvis/s],,,,9e-06,,,,,,
-> Subtract Visibility [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,3831.6072582136567
-> Solve [Mvis/s],,3831.607258213656,,3831.607258213656,,,,,,3831.607258213656
-> Gridding Kernel Update [Mvis/s],,2550.885749586411,4767.065864600354,2550.885749589998,448.39059207236755,575.8647155427426,1794.384734678654,,,2550.885749586411
-> Phase Rotation Predict [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874851,1419.1772322874854,2758.2896547868536,,,3831.6072582136567
-> Receive [Mvis/s],0.0,,,,,,,,0.0,
-> FFT [Mvis/s],,0.049529411142935346,0.011006535809541189,0.049529411142935346,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.049529411142935346
-> Correct [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567
-> Degrid [Mvis/s],,5615.384180307812,2540.7233676298383,5615.384180307812,387.35931198090117,774.7186239618023,2949.1797043111833,,,5615.384180307812
-> Visibility Weighting [Mvis/s],,2.677360750670678e-11,9.297967372029738e-12,2.1686622080432496e-09,2.1866366526672335e-09,8.746546610668934e-09,4.500216208062393e-09,,,2.677360750670678e-11
-> Grid [Mvis/s],,0.40861318644917183,0.14707819364167513,3.677518678042546,4.162280945254915,1.6649123781019661,3.2632910396097423,,,0.40861318644917183
-> Flag [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567
-> Reprojection Predict [Mvis/s],,12265.812840829638,,12265.812840829638,336.5106403519791,134.60425614079162,44.86808538026387,,,12265.812840829638
-> Reprojection [Mvis/s],,2453.1625681659275,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,2453.1625681659275
